participant	content
CHI:	mhm [/?] .
CHI:	car .
CHI:	and christmas tree .
CHI:	time to eat &mm [/?] .
MOT:	he's coming to town .
MOT:	and choo_choo train ?
MOT:	say +/.
CHI:	cooking .
MOT:	okay .
MOT:	wanna play with the beads ?
MOT:	put the bridge here .
MOT:	fix the tower .
MOT:	put this one first , roger .
CHI:	nice , yeah .
CHI:	and goldfish .
CHI:	<better watch out> [/?] .
CHI:	go over the bridge .
CHI:	good job .
CHI:	good job Jose .
CHI:	mhm [/?] .
CHI:	toys .
CHI:	mhm [/?] .
MOT:	no , that's wrong .
MOT:	good boy .
MOT:	what's this ?
MOT:	oh , what is [/?] +/.
CHI:	<he's making his list> [/?] .
MOT:	<and we wish you a merry christmas> [/?] .
MOT:	<oh jingle bells> [/?] +/.
MOT:	what's that ?
MOT:	she has a booboo on her back ?
MOT:	sit down here .
CHI:	it's a plane .
CHI:	<laughing to new snow laughing to new way> [/?] .
CHI:	house .
MOT:	purple cat .
MOT:	it's a +/.
MOT:	you play with the police car ?
CHI:	&-um [/?] wanna make a belt .
MOT:	are they eating breakfast ?
MOT:	that's right .
MOT:	that's a boy .
CHI:	cooking supper .
MOT:	here's Scott .
CHI:	give me the belt .
MOT:	what's joy's name ?
CHI:	purple , purple .
CHI:	meatballs .
MOT:	look_it .
MOT:	what brown +/.
MOT:	okay , count the tower .
CHI:	go Doctore_Skier .
MOT:	that's a stove .
MOT:	put him in the chair .
MOT:	no , what color is that , roger ?
MOT:	roger , go under the bridge .
CHI:	&mm [/?] .
CHI:	setting the table .
MOT:	sit .
MOT:	put the letters in .
MOT:	roger , let's put them away quickly .
CHI:	<time it's> [/?] go to [/?] to your school .
MOT:	okay .
CHI:	blue present .
MOT:	give me the girl roger .
MOT:	and a red .
CHI:	white car .
MOT:	what are they doing ?
MOT:	what's it say ?
MOT:	I don't think it's a book you can read , roger .
MOT:	nice .
MOT:	mommy will help .
CHI:	you dancing .
CHI:	I play car .
CHI:	cups away .
CHI:	and orange .
MOT:	and what else ?
CHI:	yellow .
CHI:	pick up the refrigerator .
CHI:	nice play the beads .
CHI:	police car .
CHI:	now let's go in line .
MOT:	good boy .
CHI:	<and checking in twice> [/?] .
MOT:	good boy .
MOT:	let's do it again .
MOT:	are you singing christmas songs ?
CHI:	a red bead .
MOT:	okay , put them in the chairs .
CHI:	do you see a +/.
CHI:	if [/?] if +/.
CHI:	and black .
CHI:	it's not .
CHI:	and hi Ann and hi Kathy .
MOT:	what's she cooking ?
CHI:	and mother .
CHI:	orange , orange .
CHI:	pulling apart the beads .
CHI:	<i want> [/?] I wanna go walk .
MOT:	it's a duck .
CHI:	oh , .
CHI:	yellow ye [/?] .
MOT:	blue horse , blue horse , what do you see ?
MOT:	whoop [/?] .
CHI:	oh , Martha eating breakfast .
CHI:	abc [/?] puzzle .
MOT:	good job .
CHI:	I wanna yellow present please .
CHI:	cooking the supper .
CHI:	<and wish you a very christmas> [/?] .
CHI:	very shiny .
CHI:	go sit down and eat .
MOT:	look at me .
CHI:	<oh , oh> [/?] make the supper first .
MOT:	come here .
MOT:	what do you see ?
MOT:	that's right .
CHI:	wanna play the piano .
MOT:	that's not nice .
CHI:	<then is naughty and nice and quiet> [/?] .
MOT:	roger , they're eating cookies .
CHI:	and green .
MOT:	okay , put the letters in .
MOT:	what's her last name ?
CHI:	<and wish you a berry christmas> [/?] .
CHI:	mhm [/?] a [/?] go sit there .
CHI:	playing with car .
CHI:	<oh what fun it is to ride in a one horse open sleigh ah> [/?] .
MOT:	roger .
MOT:	put the cups away .
MOT:	okay .
CHI:	go sit down and eat .
MOT:	oh , .
CHI:	gonna make a tower .
MOT:	that's right .
MOT:	some toys .
MOT:	she's all better .
CHI:	police man .
CHI:	&-um [/?] c@l .
CHI:	purple , purple .
MOT:	that's right .
CHI:	<i want purple> [/?] +/.
MOT:	Santa_Claus is going to bring roger what ?
MOT:	roger , come ask me .
CHI:	meatballs .
CHI:	&mm [/?] look_it .
MOT:	<you better> [/?] +/.
MOT:	what did roger have for breakfast ?
CHI:	finger .
MOT:	a brown bear .
MOT:	oh , get some strawberry milk in the refrigerator .
CHI:	it's spinning around .
MOT:	I did it .
CHI:	<a one horse open sleigh> [/?] .
CHI:	what do you see ?
CHI:	Roger's house .
CHI:	tower .
CHI:	<oh , oh> [/?] .
CHI:	green car .
CHI:	and Scott .
MOT:	and what color is this ?
CHI:	it's the green tower ?
CHI:	yellow pre [/?] +/.
CHI:	go here .
CHI:	good job Jose .
CHI:	<and wish you a very christmas> [/?] .
MOT:	sit down .
CHI:	<oh jingle bells , jingle bells , jingle all the way> [/?] .
MOT:	put the bridge here .
MOT:	it's a punch out book .
CHI:	and green .
CHI:	red .
MOT:	good boy .
MOT:	okay , play the piano .
MOT:	roger .
CHI:	<and better , better my pout> [/?] .
MOT:	daddy's a +/.
MOT:	oh , nice cleaning up , roger .
CHI:	you sit at the table .
CHI:	let's play .
MOT:	and spaghetti ?
CHI:	booboo on the back .
CHI:	eat .
MOT:	what's that ?
MOT:	that's a mother ?
MOT:	joy +/.
CHI:	all done .
CHI:	bird .
CHI:	oh , oh , .
MOT:	it's cold , oh , ?
CHI:	yes .
MOT:	it's time to eat .
CHI:	and truck .
MOT:	well , pick it up .
MOT:	put the q@l in .
MOT:	put the puzzle down .
MOT:	roger , you wanna hold the microphone .
MOT:	we did it .
CHI:	they're sitting on .
MOT:	brown bear , brown bear +/.
MOT:	do you want some hot chocolate ?
MOT:	that's right .
CHI:	all better .
CHI:	brown , red , yellow .
MOT:	let's build a tower .
MOT:	roger , where are you going ?
CHI:	and play the piano .
MOT:	here's Scott .
CHI:	blue , blue .
CHI:	quickly .
MOT:	are you singing a christmas song ?
MOT:	and what's that ?
CHI:	say Donna and dot .
CHI:	and red bead .
MOT:	no , it's a police car .
CHI:	and Kim !
CHI:	time for people .
MOT:	that's yellow .
MOT:	looking +/.
CHI:	good [/?] you did a good job .
CHI:	I done .
MOT:	sit up roger .
CHI:	&mm [/?] it's good .
MOT:	wanna build a tower ?
CHI:	it's cooking the stove .
CHI:	and purple cat .
MOT:	no .
CHI:	nice , good .
CHI:	<an wish you a berry christmas> [/?] .
CHI:	go down the hill .
CHI:	and choo_choo train .
CHI:	and .
MOT:	that's a boy .
MOT:	what's this , roger ?
MOT:	they're eating oreo cookies .
MOT:	she cooking hotdogs ?
MOT:	Donna and dot .
CHI:	and duck .
CHI:	house !
MOT:	look at the pictures .
CHI:	yes .
CHI:	red , red .
CHI:	s@l .
MOT:	come here .
MOT:	oh , it broke .
CHI:	wanna for the r@l ?
MOT:	what do you +/.
MOT:	roger , what's this ?
CHI:	apart .
MOT:	roger , what is it ?
MOT:	and +/.
MOT:	yeah .
CHI:	<oh jingle bells jing> [/?] +/.
CHI:	come on .
CHI:	whatcha do ?
CHI:	it's time to be eating the supper .
MOT:	you forgot one .
MOT:	what are you doing ?
CHI:	say joy .
CHI:	to town .
CHI:	and a rectangle !
CHI:	hi joy .
CHI:	Ernie .
MOT:	&mm [/?] get the present .
MOT:	put the puzzle down .
MOT:	what is it ?
MOT:	what's that ?
MOT:	it's time for Scott and Martha to eat breakfast .
CHI:	orange .
MOT:	and ?
CHI:	yellow , yellow .
CHI:	police car .
MOT:	okay , after we play you can have peanut+butter and jelly .
CHI:	tower .
CHI:	roger .
CHI:	time to eat .
MOT:	oh , good .
MOT:	it's time to read the story .
MOT:	goldfish .
MOT:	he's all better .
CHI:	yellow present please .
CHI:	duck .
CHI:	Ernie .
CHI:	time for spaghetti .
CHI:	<and better my pout my telling you why> [/?] .
MOT:	what's Scott doing ?
CHI:	cooking supper .
MOT:	and he's gonna come to Roger's house .
CHI:	this is car's supper .
CHI:	cat .
MOT:	looking at +/.
CHI:	taxi .
MOT:	we forgot .
MOT:	aha [/?] .
MOT:	good .
MOT:	all done .
MOT:	and Martha .
MOT:	<what's> [/?] what's this ?
CHI:	build a tower .
MOT:	and what's next ?
CHI:	jump .
MOT:	go ahead singing .
CHI:	goldfish what do you see ?
MOT:	good job .
MOT:	what do you want ?
CHI:	naughty and nice .
CHI:	I see a and brown bear , and red bird and yellow duck and blue
MOT:	they're eating supper .
CHI:	going Doctore_Skier .
CHI:	I see a mother what do you see ?
MOT:	white car .
MOT:	yellow duck what do you see ?
CHI:	orange , orange .
MOT:	<and a happy new year> [/?] .
MOT:	oh , okay .
CHI:	oh , .
CHI:	good .
MOT:	wanna sing a song to Kathy ?
CHI:	ern [/?] +/.
CHI:	read .
MOT:	and then you can go for a walk .
MOT:	do the puzzle .
CHI:	yellow , yellow .
MOT:	oh , it's time to go to school , okay .
CHI:	good .
MOT:	okay .
CHI:	q@l ?
CHI:	<my telling you why> [/?] .
CHI:	go up the hill .
MOT:	what are you doing ?
MOT:	what do you want ?
MOT:	and a +/.
CHI:	jump .
MOT:	turn the +/.
CHI:	ask me .
CHI:	<snowing is to me> [/?] .
CHI:	reindeer .
MOT:	that's right .
CHI:	Kim .
MOT:	oh , it's all_gone .
CHI:	nice singing .
MOT:	look_it she's gonna wash the dishes .
MOT:	no red , yellow and +/.
CHI:	oh , he fell over .
MOT:	sit here .
MOT:	oh , you did .
MOT:	roger , no that's wrong .
MOT:	is Jose home ?
CHI:	yellow duck , yellow duck .
CHI:	joy .
CHI:	and presents .
CHI:	I see a yellow duck .
MOT:	and what is that ?
CHI:	listen , listen to the xxx .
MOT:	all done .
CHI:	green .
CHI:	yes .
MOT:	what's he doing ?
MOT:	what's Santa_Claus going to bring roger ?
MOT:	then you can have peanut+butter and jelly .
MOT:	wait a minute .
MOT:	roger , let's play with the people .
MOT:	roger , sit down .
CHI:	<oh oh> [/?] where is it ?
CHI:	wanna make a chair roger .
MOT:	what's she doing ?
CHI:	eating spaghetti .
CHI:	yeah .
CHI:	and purple .
CHI:	police car !
MOT:	get the beads .
CHI:	macaroni .
CHI:	go jump xxx .
CHI:	meatballs .
MOT:	hey [/?] let's do the puzzle and put it away .
MOT:	what are you doing roger ?
MOT:	and he's gonna bring joy some toys .
CHI:	joy .
CHI:	nice .
MOT:	what are you doing ?
MOT:	what's daddy ?
MOT:	sit up .
CHI:	eating the supper .
MOT:	have them drink hot chocolate .
CHI:	<if your a , you're the wake> [/?] .
CHI:	I want Ernie , please .
CHI:	and the birthday .
MOT:	looking at me .
MOT:	children .
MOT:	roger .
CHI:	ah [/?] <we wish the berry> [/?] +/.
CHI:	wash the dishes ?
MOT:	are they having bacon ?
CHI:	and black sheep .
CHI:	blue present .
CHI:	time to eat .
CHI:	I get pres [/?] +/.
CHI:	<and wish very christmas> [/?] .
MOT:	let's do the pattern .
CHI:	blue horse .
MOT:	and what else do you want ?
MOT:	come here .
MOT:	what's this ?
MOT:	read the book to mama .
MOT:	what do you want ?
CHI:	<better watch out> [/?] .
MOT:	where's Scott ?
CHI:	and green frog .
CHI:	and a orange bead .
MOT:	you wanna sing another song .
