participant	content
INV:	what is happening in the picture ?
INV:	the children are taking the donuts from the bag and then xxx +...
CHI:	daddy's here [^ ns] .
INV:	tell me something about the picture .
INV:	tell me something else about the picture .
INV:	oh_no, the dog ate some of the cake and then xxx +...
INV:	now I'll start the start the story .
INV:	now I'll start the start the story .
CHI:	the xxx .
INV:	the boys are throwing snowballs and then xxx +...
CHI:	I don't know [^ ns] .
INV:	mhm .
CHI:	I don't know [^ ns] .
INV:	what else is happening in this picture ?
INV:	tell me one more thing about this picture .
CHI:	she 0is [^ ev] holding that [^ eu] .
CHI:	she's holding the shopping cart and pushing it .
CHI:	I don't know [^ ns] .
CHI:	I don't know [^ ns] .
INV:	what did you say ?
CHI:	a boy has 0a [^ emorph] pail 0of [^ emorph] water and put it in
INV:	just tell me anything else about the picture .
INV:	what else is happening in the picture ?
CHI:	I don't know either [^ ns] .
CHI:	I don't know [^ ns] .
INV:	can you say that again ?
CHI:	xxx falling down .
INV:	and you finish it .
CHI:	a dog's running .
INV:	tell me one more thing about the story .
INV:	okay, she's tired .
CHI:	I don't know [^ ns] .
INV:	and you finish it .
CHI:	[^ earg] is sad [^ eu] .
CHI:	they're crawling .
CHI:	a dog's barking .
INV:	can you look at the picture ?
INV:	tell me one more thing about the picture .
INV:	tell me anything else about the picture .
INV:	what else is happening in this picture ?
INV:	I'm sorry I can't hear you .
CHI:	the door's opened .
INV:	now I'll start the start the story .
INV:	the dog and the girl have daddy's shoes and then xxx +...
CHI:	there's a xxx there .
CHI:	I don't know [^ ns] .
CHI:	and her [^ ew:she] [^ epronoun] has <the> [/?] the daddy's hat
INV:	tell me one more thing about the story .
CHI:	<xxx> [/?] he 0is [^ ev] gonna fall down [^ eu] .
INV:	tell me something about this picture .
INV:	tell me one more thing about the story .
INV:	tell me one more thing about the story .
INV:	what else is happening in this picture ?
CHI:	she has 0to [^ emorph] stop [^ eu] .
INV:	the dog is in front of the bus .
CHI:	&=laughs look [^ ns] .
CHI:	look [^ ns] .
CHI:	someone can turn the sink off .
INV:	what did you say ?
CHI:	<she the> [/?] her mom's <&ha> [/?] here .
INV:	tell me one more thing about the story .
INV:	now I'm going to start the story .
CHI:	the peoples [^ ew:people] [^ emorph] are mad [^ eu] .
INV:	just tell me anything about the picture .
INV:	what's happening in the picture ?
CHI:	<the &bf> [/?] they's [^ ew:they] [^ ev] are falling down [^ eu] .
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the story .
CHI:	the boy's going on the leash [^ ns] .
INV:	the little girl is still in her pajamas and then xxx +...
CHI:	it's <&d> [/?] dirty .
INV:	tell me one more thing about this picture .
INV:	what else is happening in this picture ?
CHI:	the water 0is [^ ev] spilling out 0of [^ emorph] her hair [^ eu] .
INV:	they raked the leaves into a big pile and then xxx +...
CHI:	daddy's here .
INV:	now I'll start the start the story .
CHI:	there's a dog under the couch .
CHI:	a kitty 0is [^ ev] stuck in the tree [^ eu] .
INV:	and you finish it .
INV:	what did you say ?
INV:	what else is happening in this picture ?
INV:	and what else is happening in the picture ?
CHI:	I don't know [^ ns] .
INV:	what ?
INV:	the boy knocks the boxes off the shelf and then xxx +...
CHI:	they're fighting 0over the [/] the bucket .
INV:	the children are trying to wash the dog and then xxx +...
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the picture .
INV:	okay, I'll start the start the story .
INV:	what did you say ?
INV:	what did you say ?
INV:	what else is happening here ?
CHI:	stop boys [^ ns] .
CHI:	I don't know [^ ns] .
INV:	and you finish it .
INV:	tell me one more thing about the story .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	the boy is taking his grandma's scissors and then xxx +...
CHI:	they're putting snow on them [^ ns] .
INV:	tell me something else about the picture .
INV:	and here comes the mom and then xxx +...
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
CHI:	the boy's going on the leash [^ other] [^ eu] .
CHI:	<it's dirty it's> [/?] they're dirty [^ ns] .
CHI:	I don't know [^ ns] .
INV:	the boys are fighting .
INV:	tell me anything you see here .
CHI:	I don't know [^ ns] .
CHI:	she push [^ ev] the apple [^ eu] .
CHI:	<the &s> [/?] they can't turn the water off .
CHI:	I don't know [^ ns] .
INV:	it's snowing .
INV:	and what else is happening in this picture ?
CHI:	[^ imperative to boys] stop, boys .
CHI:	I don't know [^ ns] .
INV:	now I'll start the start the story .
CHI:	I see a dog .
INV:	tell me what's happening here .
CHI:	it's snowing .
INV:	what is happening in the picture ?
CHI:	look [^ ns] &=points:sink .
INV:	what is happening in this picture ?
INV:	and you finish it .
INV:	now I'll start the start the story .
INV:	sorry I can't hear you .
CHI:	and he xxx .
INV:	and you finish it .
INV:	and what else can you tell me about this story ?
INV:	just tell me anything about the picture .
CHI:	they're cleaning [^ earg] [^ eu] .
INV:	and the cat is stuck in this tree and then xxx +...
CHI:	he fall down [^ ns] .
CHI:	I don't know [^ ns] .
INV:	and you finish it .
CHI:	I don't know [^ ns] .
CHI:	look [^ ns] .
CHI:	and the mom's running .
INV:	what is happening in the picture ?
INV:	and you finish it .
CHI:	she's awake .
CHI:	the girl know [^ ev] what [^ earg] [^ eu] .
CHI:	xxx .
INV:	just tell me anything else in the picture .
CHI:	I don't know [^ ns] .
INV:	what do you see here ?
INV:	just tell me anything else about the picture .
CHI:	xxx .
INV:	tell me one more thing about this story .
CHI:	I don't know [^ ns] .
INV:	what else is happening in the picture ?
CHI:	her [^ ew:she] has the daddy's hat [^ ns] .
INV:	tell me something that's happening in the picture .
INV:	what is happening in the picture ?
INV:	what is happening in this picture ?
INV:	what is happening in the picture ?
CHI:	and nobody 0is [^ ev] holding that [^ eu] .
INV:	tell me one more thing about the picture .
INV:	now I'll start the story .
CHI:	their grandma's looking down .
INV:	okay .
INV:	now I'll start the start the story .
INV:	the daddy is hiding a doll behind his back and then xxx +...
CHI:	she's tired .
CHI:	the people get mad .
INV:	anything about this picture .
CHI:	I don't know [^ ns] .
INV:	I want you to tell me about the picture .
INV:	and then what happens in the story ?
INV:	what else is happening in this picture ?
CHI:	I don't know [^ ns] .
CHI:	she asked the mom [^ earg] [^ eu] .
CHI:	I don't know [^ ns] .
INV:	and you finish it .
INV:	what ?
CHI:	I don't know [^ ns] .
INV:	just tell me anything about this picture .
CHI:	they's [^ ew:are] [^ ev] making a snowman [^ eu] .
INV:	now I'll start the story .
INV:	just tell me anything else about the picture .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
CHI:	water spilling out xxx .
CHI:	the girl's taking this out .
INV:	what did you say ?
INV:	now I'm gonna start the story .
CHI:	the daddy say [^ ev] ssh [^ eu] .
INV:	and you finish it .
INV:	what's happening in the picture ?
INV:	and you finish it .
CHI:	xxx .
INV:	now I'll start the start the story .
CHI:	the girl has her shoes .
CHI:	xxx .
INV:	oh_no, the bubbles spilled and then xxx +...
CHI:	xxx .
INV:	and you finish it .
CHI:	they're gonna snow on them [^ other] [^ eu] .
INV:	they're cleaning, okay .
INV:	and you finish it .
INV:	tell me one more thing about this picture .
CHI:	I don't know [^ ns] .
CHI:	look [^ ns] .
INV:	the children see the cat .
INV:	the boy is trying to get the cookies and then xxx +...
INV:	what else is happening in this picture ?
CHI:	there's a squirrel <xxx> [/?] there .
CHI:	I don't know [^ ns] .
INV:	tell me something about this picture .
INV:	and the bus can't move and then xxx +...
INV:	tell me anything about the picture .
CHI:	I don't know [^ ns] .
