participant	content
INV:	what is happening in the picture ?
CHI:	<&um he has> [/?] they have pimples all over <her his> [/?] their
INV:	they have what all over their face ?
CHI:	I think that he has pimples over his face [^ ns] .
INV:	pimples ?
CHI:	yeah [^ ns] .
INV:	very good &=laughs .
INV:	what else is happening in the picture ?
CHI:	&um they're pulling [^ earg] [^ eu] .
INV:	they're pulling, very good .
CHI:	and they're pulling the dog .
INV:	good job .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the dog is in front of the bus .
INV:	and the bus can't move and then xxx +...
CHI:	I can't do it [^ ns] .
INV:	I think you can .
INV:	the dog is in front of the bus .
INV:	and the bus can't move .
INV:	and then what happens in the story ?
CHI:	I can't do it [^ ns] .
CHI:	I can't do this one [^ ns] .
INV:	okay, tell me one more thing about the story .
CHI:	&um the back of the bus cannot move .
INV:	the back of the bus cannot move, very good .
INV:	what is happening in the picture ?
CHI:	&um the car can't move .
INV:	the car can't move, very good .
INV:	and what else is happening in the picture ?
CHI:	<they &c> [/?] they can not come out .
INV:	they can not come out .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the children are taking the donuts from the bag and then xxx +...
CHI:	can't do it [^ ns] .
INV:	can you try ?
INV:	the children are taking the donuts from the bag .
INV:	and then what happens in the story ?
CHI:	can't do it [^ ns] .
INV:	okay, tell me one more thing about the story .
CHI:	<the> [/?] the back of the car cannot really move .
INV:	okay, good job .
INV:	what is happening in the picture ?
CHI:	<&um he's gonna &f> [/?] he's falling on [^ ew:off] [^ emorph] the
INV:	he's falling on the chair .
INV:	very good .
INV:	and what else is happening in the picture ?
CHI:	and <she cooks> [/?] she burns herself .
INV:	she burns herself ?
CHI:	uhhuh [^ ns] .
INV:	very good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the boy is trying to get the cookies and then xxx +...
CHI:	can't do it [^ ns] .
INV:	I think you can .
INV:	can you try ?
INV:	can you take your hand out of your mouth ?
CHI:	no [^ ns] .
INV:	the boy is trying to get the cookies .
INV:	and then what happens in the story ?
CHI:	can't do it [^ ns] .
INV:	okay, tell me one more thing about the story .
