participant	content
CHI:	the mom says “no” !
CHI:	he's brooming [^ ew:sweeping] [^ elexical] [^ eu] .
CHI:	&um 0the [^ emorph] firetruck is coming [^ eu] .
INV:	say that again .
CHI:	<&um &ma> [/?] momma is pouring [^ earg] .
INV:	what's happening in the picture ?
CHI:	the mom is going to wipe it [^ ns] .
CHI:	and he is grabbing the sandbucket from him [^ ns] .
INV:	tell me about what else you see in the picture .
CHI:	&um that is their dog .
CHI:	they are building a snowman .
CHI:	and a girl is too .
INV:	look, the children see the cat .
INV:	what is going to happen in just a little bit while ?
INV:	can you say that again ?
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
INV:	a girl and a boy think what ?
CHI:	a tree is [^ earg] [^ eu] .
CHI:	a doggy is there .
CHI:	&um two girls in green are coming .
CHI:	mm they're going 0to [^ emorph] eat them [^ eu] .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	look, the water is spilling all over the floor .
INV:	tell me one more thing about the picture .
INV:	the girl and dog have the daddy's shoe .
CHI:	but one of them are [^ ew:is] [^ ev] falling [^ eu] .
INV:	what's happening in the picture ?
CHI:	&um the water is falling out of the dishwasher [^ ew:sink] .
CHI:	<a bucket> [/?] a [^ ew:the] [^ emorph] water is &um pouring
INV:	look the dog is in front of the bus .
INV:	what else is happening in this picture ?
CHI:	<&uh two girls are two one> [/?] one boy and one girl are fighting
INV:	what's going to happen next ?
INV:	what's going to happen next ?
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
CHI:	&um they're going to pull him up .
CHI:	&um she is &um falling .
INV:	what's happening in the picture ?
INV:	and what's going to happen next ?
CHI:	they are going to grab it [^ ns] .
INV:	the daddy, okay .
INV:	look the children are taking the donuts from the bag .
INV:	tell me one more thing about the picture .
CHI:	and the girl is trying to reach it .
INV:	what's happening in the picture ?
INV:	look, the bubbles spilled .
INV:	what else is happening in this picture ?
INV:	the dog is crawling what ?
INV:	and the bus can't move .
CHI:	<and> [/?] (.) a boy is too .
INV:	can you take a look ?
INV:	tell me one more thing about the picture .
CHI:	is too [^ ns] .
INV:	they raked the leaves into a big pile .
INV:	look, the boy knocked the boxes off the shelf .
CHI:	sitting in the back seat [^ ns] .
CHI:	<&s> [/?] some people are walking in .
CHI:	he's bringing a thing for her .
CHI:	a cat is in the tree .
CHI:	I say [^ ew:said] the shoe is on the wrong foot [^ ns] .
INV:	what's happening in the picture ?
INV:	he's what ?
INV:	what's going to happen next ?
CHI:	he's going 0to [^ emorph] put them all up [^ eu] .
INV:	what's happening in the picture ?
CHI:	the boy [^ frag] .
CHI:	a c_d [^ ns] .
CHI:	&um the girl is running for [^ ew:to] [^ emorph] her dad [^ eu] .
INV:	what else is happening in this picture ?
INV:	what's going to happen next ?
CHI:	<&um he> [/?] I don't know [^ ns] .
INV:	what else is happening in this picture ?
CHI:	he is a dog .
INV:	tell me one more thing about the picture .
INV:	the boy what ?
INV:	the daddy is hiding a doll behind his back .
INV:	what's happening in the picture ?
INV:	say that again .
CHI:	&um the shoe is <on the wrong feet> [/?] on the wrong foot .
CHI:	&um he is picking out something .
CHI:	not in the back seat, the front seat [^ ns] .
CHI:	I don't know [^ ns] .
INV:	what's happening in the picture ?
CHI:	<&um boy is xxxing in> [/?] a girl is trying to reach it .
INV:	tell me one more thing about the picture .
CHI:	&um it's driving .
INV:	what's going to happen next ?
CHI:	<&uh he is waving in to> [/?] he [^ ew:she] is driving the car
INV:	say that again .
INV:	what's going to happen next ?
INV:	what else is happening in this picture ?
CHI:	there is a truck in it .
CHI:	&um he's trying to get one of them [^ ew:those] [^ emorph] &uh
CHI:	it's going 0to [^ emorph] fall out [^ eu] .
INV:	and what's going to happen next ?
CHI:	she's yawning [^ ns] .
CHI:	<two> [/?] one boy and one girl and another boy [^ frag] [^ eu] .
INV:	just tell me what you see in the picture .
CHI:	<he> [/?] he is wearing a hat .
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
CHI:	&um the daddy is saying, ssh [^ ns] .
CHI:	&um she's going to get them back in the box .
INV:	what else is happening in this picture ?
CHI:	<&ma> [/?] the momma is going to wipe it .
INV:	tell me one more thing about the picture .
INV:	what's going to happen next ?
INV:	good job .
CHI:	but two boys are fighting .
CHI:	is trying to reach a cookie [^ ns] .
CHI:	up the tree [^ ns] .
CHI:	&um he 0is looking [^ ev] in the mirror [^ eu] .
INV:	what's going to happen next ?
INV:	what's happening in the picture ?
CHI:	it's snowing [^ ns] .
CHI:	he is going to sweep them .
INV:	tell me one more thing about the picture .
CHI:	&um a girl [^ ns] .
INV:	the boys are fighting .
INV:	tell me one more thing about the picture .
INV:	what's going to happen next ?
CHI:	he's going 0to [^ emorph] give it to her [^ eu] .
INV:	look, the boy is taking his grandma's scissors .
CHI:	mm xxx daddy is saying ssh .
CHI:	there's [^ ew:are] [^ okay] two guys in this picture .
CHI:	&um he's going to wipe [^ earg] [^ eu] .
CHI:	my daddy [^ ns] .
INV:	and the cat is stuck in the tree .
CHI:	&um he is brooming [^ ew:sweeping] [^ elexical] [^ eu] .
CHI:	&um she's yawning .
