participant	content
INV:	and what's gonna happen next ?
INV:	okay, what else is happening in this picture ?
CHI:	they hafta make another one .
INV:	the boy knocked down the boxes off the shelf .
CHI:	the dog's in the road .
CHI:	she's washing the plate .
INV:	and what's gonna happen next ?
INV:	what's happening in the picture ?
INV:	what else is happening in the picture ?
CHI:	the bus is driving .
CHI:	the mommy spilled it .
INV:	what's happening in the picture ?
CHI:	he's falling .
CHI:	<and &uh &uh> [/?] and that's not good .
CHI:	the boy got some dirt <and mud> [/?] and &uh some water and mud .
CHI:	the boy's trying to get (.) some <<what's that what's that> [/?]>
INV:	and what's going to happen next ?
INV:	and what's gonna happen next ?
INV:	and what's gonna happen next ?
CHI:	she's trying to get oranges .
INV:	what else is happening in this picture ?
CHI:	they're pulling him and giving [^ ew:taking] [^ elexical] him for
INV:	what else is happening in this picture ?
CHI:	these lights are flashing .
CHI:	he's pointing to go this way and ride <her thing (.) and> [/?] that
CHI:	the girl is standing in love with her dress [^ other] [^ eu] .
INV:	what else is happening in this picture ?
CHI:	she's sitting .
CHI:	he's gonna [^ cat] carry the bucket .
CHI:	he's saying ssh .
CHI:	they're sharing the cake .
CHI:	<the plate> [/?] that plate 0is [^ ev] already washed [^ eu] .
CHI:	and <she xxx> [>] xxx +/.
CHI:	she has different scissors in her hand .
INV:	and tell me one more thing about the picture .
CHI:	and <&th> [/?] they're wearing their shoes on their foot
INV:	what else is happening in this picture ?
CHI:	&um the cat needs help .
INV:	what else is happening in this picture ?
CHI:	the daddy's pushing the cart .
CHI:	the daddy is looking <in the in in the> [/?] in <<I don't know what
CHI:	he was throwing a circle [^ ew:round] [^ elexical] one [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	the girl's pushing the cart .
CHI:	&um the buckets and the shovel and the other shovel's [^ ew:are]
CHI:	I'm done [^ ns] .
INV:	what's happening in the picture ?
INV:	just tell me anything else about the picture .
INV:	and what's gonna happen next ?
CHI:	but [^ emorph] they're mad at her [^ eu] .
INV:	what's happening in the picture ?
CHI:	the wagon's down there .
CHI:	there's a bag .
INV:	tell me one more thing about the picture .
CHI:	<and> [/?] but [^ econj] the dog splashed the girl [^ eu] .
CHI:	she's running .
CHI:	but he's too short to .
CHI:	that person and that person and that person 0are [^ ev] crawling
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
CHI:	<&uh they're &p> [/?] they're making a snowman .
CHI:	she's gonna <skip> [/?] (.) trip .
CHI:	the girl is sitting in the back .
INV:	and what's going to happen next ?
CHI:	&uh the branch is falling .
CHI:	and xxx .
CHI:	the cake is all dirty .
CHI:	but <it> [/?] she forgot to put her in her desk drawer .
CHI:	he's trying to get a cookie [^ ns] .
CHI:	the boy, <he> [/?] he was making something with water and mud .
CHI:	the dog will wants [^ ev] to play [^ eu] .
CHI:	the cake has black on it .
CHI:	the plate 0is already washed [^ ns] .
INV:	can you say that again ?
INV:	and what's going to happen next ?
CHI:	the bread falled [^ ew:fell] [^ ev] [^ eu] .
CHI:	he's shoveling .
CHI:	<he wants> [/?] she wants to ride [^ elexical] her dolly [^ eu] .
INV:	what's happening in the picture ?
CHI:	<and> [/?] and <the &g> [/?] the other girl was playing .
CHI:	the girl is raking the leaf pile .
CHI:	he's saying ssh [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	the mommy, she stand [* m:03s] [^ ev] like this [^ eu] .
CHI:	he was throwing an oval one .
CHI:	<the girl> [/?] but the daddy's holding the doll .
CHI:	<he> [/?] he's mad
CHI:	the girl is trying to clean it up [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	he [^ ew:she] [^ epronoun] tripped on the feet and the leg [^ eu] .
CHI:	she looks tired .
CHI:	the boy's carrying it .
CHI:	mother's raking [^ earg] [^ eu] .
INV:	and then what will happen in just a little while ?
CHI:	the girl is trying to clean it up .
