participant	content
CHI:	and then the doggy jumped over [^ earg] [^ eu] .
CHI:	and that water's falling down to the ground .
INV:	the children see the cat .
INV:	what will happen in just a little while ?
CHI:	I don't know [^ ns] .
INV:	oh_no, the dog ate some of the cake .
CHI:	there's some doggy prints going on the cake .
CHI:	<when> [/?] I think the boys are gonna throw some snow to [^ ew:at]
CHI:	and the puppy dog's down there waiting for him .
INV:	<pick a sticker> [>] .
INV:	no we didn't .
INV:	what's happening in the picture ?
INV:	what will happen in just a little while ?
CHI:	<this the this the sink the floor has> [/?] there's so much water .
CHI:	this girl can't play with the gate .
INV:	what will happen in just a little while ?
CHI:	and that squirrel's climbing down the tree .
INV:	and what's going to happen next ?
INV:	what's happening in the picture ?
CHI:	wait, <is that> [/?] is that their cat [^ ns] ?
CHI:	<the the he's the the he's> [/?] he's picking up <his> [/?] his <<I
CHI:	he can't play with the gate [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	I don't know [^ ns] .
INV:	what else is happening in this picture ?
CHI:	the mommies <hafta pick all of the box hafta> [/?] hafta catch them
CHI:	the doggy's in the middle [^ ew:front] of [^ emorph] the bus [^ eu]
CHI:	<&th> [/?] they're brushing the leafs .
CHI:	<the> [/?] they're blowing bubbles to her .
CHI:	I don't know [^ ns] .
CHI:	and look, he had <his> [/?] his paw print .
INV:	what will happen in just a little while ?
CHI:	can you tell me [^ ns] ?
CHI:	they still hafta make some more .
INV:	oh_no, the bubbles spilled .
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
CHI:	&um she's washing the doggy .
CHI:	<the mommy> [/?] the wagons [^ ew:wagon] [^ emorph] is out of the
INV:	tell me one more thing about the picture .
INV:	and what's going to happen next ?
CHI:	the dog's running away .
INV:	just tell me what you see in the picture .
CHI:	<the daddy wants his and the boy the girl he has a baby brother
CHI:	can I put a sticker on this yet [^ ns] ?
INV:	what else is happening [% unrelated utterance] .
CHI:	they're trying to make pancakes <for their xxx> [/?] for tomorrow .
CHI:	I don't know [^ ns] .
CHI:	I don't know [^ ns] .
INV:	you tell me .
CHI:	I don't know [^ ns] .
INV:	what will happen in just a little while ?
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
CHI:	the little boys wanna get <it to> [/?] him down .
INV:	the boy knocked down the boxes off the shelf .
INV:	the boy is taking his grandma's scissors .
INV:	the little girl is still in her pajamas .
CHI:	she's taking the leafs away .
CHI:	the cake fell apart .
INV:	tell me one more thing about the picture .
