participant	content
INV:	okay, the daddy is hiding a doll behind his back .
CHI:	I don't know [^ ns] .
CHI:	<coming> [/?] [^ earg] coming home from school [^ eu] .
INV:	can you tell me just one more thing about the picture ?
CHI:	the wagon is still out of the sandbox .
INV:	and what's going to happen next ?
INV:	what's happening in the picture ?
INV:	what's going to happen next ?
INV:	tell me what else you see in the picture .
CHI:	the dog is on the road .
INV:	look, the little girl is still in her pajamas .
INV:	what else is happening in the picture ?
INV:	what else is happening in the picture ?
INV:	and what's going to happen next ?
CHI:	look, he's cutting something .
INV:	and then what will happen in just a little while ?
CHI:	and 0the [^ emorph] children play [^ ev] with the leafs [^ eu] .
INV:	and what's going to happen next ?
INV:	what's happening in the picture ?
INV:	and here comes the mom .
CHI:	and there's some children picking some food .
CHI:	0 .
CHI:	look [^ ns] .
CHI:	and then she 0is [^ ev] waving goodbye and scrape [* m:0ing]
CHI:	<&um he's> [//] the dog is taking the girles [: girl's] [*] hat
CHI:	<he's> [/?] the girl is wet .
CHI:	the cake was eated [^ ew:eaten] [^ emorph] [^ eu] .
CHI:	look, he's throwing the snowball on her knee .
CHI:	they're pulling [^ earg] [^ eu] .
CHI:	look at the girls [^ ns] .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
CHI:	and the water's going to splash on her .
INV:	and what's going to happen next ?
CHI:	what happened [^ ns] ?
INV:	the little girl is still in her pajamas .
CHI:	he's sad because he got a boo_boo .
INV:	what else is happening in the picture ?
CHI:	they hafta share .
CHI:	&um the wheels move the wagon .
CHI:	the squirrel [^ frag] [^ eu] .
CHI:	the dog went on the cake and <sniff> [/?] eat [^ ew:ate] [^ ev] it
CHI:	but he's almost fall [* m:0ing] [^ emorph] down [^ eu] .
INV:	what else is happening in the picture ?
CHI:	he's going on the road with the bus .
CHI:	he's taking the boot away .
INV:	tell me one more thing about the picture .
CHI:	and the xxx +/.
INV:	okay, the boy is taking his grandma's scissors .
CHI:	and the bike 0is [^ ev] outside [^ eu] .
INV:	can you tell me one more thing about the picture ?
INV:	tell me one more thing about the picture .
CHI:	I'm getting thirsty [^ ns] .
INV:	and then what will happen in just a little while ?
CHI:	and he's <mean him> [/?] meaning to put the shoes <on> [/?] on him
INV:	tell me what else you see in the picture .
CHI:	they take the xxx out of the papa's shirt .
CHI:	it's cutting [^ earg] [^ eu] .
CHI:	I don't know [^ ns] .
INV:	tell me what else you see in the picture .
INV:	just tell me anything else about the picture .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
INV:	what else is happening in the picture ?
INV:	and what's going to happen next ?
CHI:	opened and closed [^ ns] .
INV:	okay, just tell me anything else about this picture .
CHI:	he is eating some cheerios .
INV:	and what's going to happen next ?
INV:	look, the boys are throwing snowballs .
INV:	tell me one more thing about the picture .
CHI:	they 0are [^ ev] playing [^ eu] .
INV:	can you tell me ?
INV:	what's happening in the picture ?
INV:	<just say one thing at a time, okay> [<] ?
INV:	tell me one more thing about the picture .
CHI:	they're driving to Dunkin_donuts .
CHI:	<the &c> [/?] he's bringing [^ ew:taking] [^ elexical] cookies
CHI:	he's drinking some water .
CHI:	look, they're pulling the dog away from the bus [^ ns] .
CHI:	the mom [^ frag] [^ eu] .
INV:	what's happening in the picture ?
INV:	what else is happening in the picture ?
CHI:	<the girl is> [/?] the girl is climbing up the tree .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	and then what will happen in just a little while ?
INV:	what else is happening in the picture ?
CHI:	the dog is spraying the girl .
CHI:	the father is looking at <the> [/?] some stuff .
INV:	tell me anything else about the picture .
INV:	can you tell me ?
CHI:	they're giving [^ ew:taking] [^ elexical] a donut [^ eu] .
CHI:	[^ earg] shoveling [^ earg] [^ eu] .
CHI:	I know what's going to happen [^ ns] .
CHI:	they bring [^ ew:brought] [^ ev] a present [^ eu] .
INV:	what's happening in the picture ?
INV:	what else is happening in the picture ?
CHI:	he's taking some toast out .
CHI:	<the sink is too> [/?] the water's falling down on [^ ew:from]
INV:	just tell me what you see in the picture .
INV:	the boy is taking his grandma's scissors .
INV:	and what's going to happen next ?
CHI:	and they're pulling the dog away from the bus .
CHI:	[^ earg] playing [^ eu] .
CHI:	he's dumping the water on the dog .
INV:	look, the boy knocked the boxes off the shelf .
CHI:	and all the bubbles came out .
CHI:	&um they're shoveling [^ earg] [^ eu] .
INV:	look, he brought her a surprise .
CHI:	right there [% whispered] [^ ns] .
INV:	and what's going to happen next ?
INV:	and what's going to happen next ?
CHI:	he's all [^ other] waking up [^ eu] .
INV:	and what's going to happen next ?
CHI:	and he's waving goodbye .
INV:	can you tell me ?
CHI:	yeah [^ ns] .
INV:	what else is happening in the picture ?
CHI:	I don't know [^ ns] .
CHI:	what [^ ns] ?
INV:	look, they raked the leaves into a big pile .
CHI:	he brought her a surprise .
INV:	tell me what else you see in the picture .
CHI:	he's falling on [^ ew:off] [^ emorph] the chair [^ eu] .
CHI:	and they all was [^ ew:were] [^ ev] sad [^ eu] .
INV:	what's happening in the picture ?
CHI:	[^ earg] pulling [^ earg] [^ eu] .
INV:	and what's going to happen next ?
INV:	just tell me anything else about the picture .
CHI:	0 .
CHI:	what [^ ns] ?
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	what else is happening in the picture ?
CHI:	&um there's a dog in the house .
CHI:	he's knocking over the cheerios (.) all off the shelfs .
CHI:	0the [^ emorph] watermelon 0is [^ ev] in the wagon [^ eu] .
INV:	what else is happening in the picture ?
CHI:	the cat is stuck in the tree .
INV:	tell me one more thing about the picture .
CHI:	&um the curtains opened and closed .
INV:	what else is happening in the picture ?
INV:	and what's going to happen next ?
CHI:	<uh:> [/?] .
CHI:	[^ earg] scraping some leafs [^ eu] .
INV:	and what's going to happen next ?
INV:	what else is happening in the picture ?
CHI:	the mother is saying give those to him .
CHI:	<&um the> [/?] there's a girl blowing bubbles up there .
CHI:	0the [^ emorph] dog 0is [^ ev] barking in [^ ew] [^ emorph] the
INV:	and what's going to happen next ?
INV:	tell me one more thing about the picture .
CHI:	&um it's taking the lunchbox away .
INV:	can you tell me one more thing about the picture ?
INV:	tell me what else you see in the picture .
INV:	and then what will happen in just a little while ?
INV:	tell me one more thing about the picture .
CHI:	&uh [% watch this] .
