participant	content
INV:	the little girl is still in her pajamas .
INV:	and what's going to happen in a little while ?
CHI:	why [^ ns] ?
INV:	what's going to happen next ?
CHI:	cake is on the table [^ ns] .
INV:	what else is happening in this picture ?
INV:	what ?
INV:	the children see the cat .
CHI:	snow is white .
CHI:	I don't know [^ ns] .
INV:	the boys are fighting and the mom says stop .
INV:	the dog is in front of the bus .
CHI:	&um it has the <&f> [/?] flood .
CHI:	grass is green [^ ns] .
INV:	the boy is taking his grandma's scissors .
INV:	and the bus can't move .
CHI:	xxx is not this grass .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	they raked the leaves into a big pile .
CHI:	they're fighting .
INV:	tell me one more thing about the picture .
INV:	so the dog spilled the water .
INV:	the boy is taking his grandma's scissors .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
CHI:	dog xxx the water .
CHI:	he's blowing (.) the bubbles .
CHI:	her [^ ew:she] [^ epronoun] is putting the leafs <in in> [/?] in
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
INV:	you hafta tell me .
INV:	let's see .
CHI:	&um they are so angry .
CHI:	&um they are gonna shop .
INV:	what else is happening in this picture ?
CHI:	I don't know [^ ns] .
INV:	what's gonna happen in just a little while ?
CHI:	the doggy's behind the bus [^ ns] .
CHI:	this is snow [^ ns] ?
INV:	and what's going to happen in just a little while ?
CHI:	they're gonna xxx .
INV:	what is going to happen in just a little bit while ?
INV:	what's going to happen next ?
INV:	what else is happening in this picture ?
CHI:	<and> [/?] and xxx spilled .
CHI:	the girl have [^ ew:has] [^ ev] daddy's shoes [^ eu] .
INV:	tell me one more thing about the story .
CHI:	<grass is grass is grass is> [/?] grass is green .
CHI:	<water's he's &um he he's knock> [/?] he is all muddy .
CHI:	dad's looking in the mirror .
CHI:	[^ earg] climbing up there and getting a cookie [^ eu] .
CHI:	&um &um they all came in from the door .
INV:	what's going to happen next ?
CHI:	they're going shopping for food .
CHI:	the sand spilled .
CHI:	why <are> [/?] are xxx daddy's shoes [^ ns] ?
INV:	tell me anything else you see in the picture .
INV:	and what's going to happen next ?
INV:	what's happening in the picture ?
CHI:	the girl's xxx daddy's shoes .
INV:	tell me one more thing about the picture .
CHI:	her's [: she's] [*] taking the donut [^ ns] .
CHI:	<hm> [/?] the water spilled .
INV:	just tell me anything else about the picture .
INV:	what's happening in the picture ?
