participant	content
CHI:	in the book [^ ns] .
INV:	okay good and tell me one more thing about the story .
INV:	what is happening in the picture ?
INV:	and you finish it .
CHI:	they get bad .
INV:	she spilled on the floor .
INV:	what is happening in the picture ?
CHI:	&um this one happen [^ ev] in the trees [^ eu] .
INV:	alright good job .
CHI:	I no see it [^ ns] .
CHI:	yeah [^ ns] .
INV:	take a walk for the school bus ?
CHI:	&um in the back there [^ frag] [^ eu] .
INV:	she's walking, good .
INV:	the bucket goes in the house ?
INV:	okay, now I'll start the start the story .
CHI:	she's all wet [^ ns] .
CHI:	and the mommy finished a [^ emorph] bread [^ eu] .
INV:	the boy knocked the boxes off the shelf and then xxx +...
INV:	now I'll start the start the story .
INV:	now I'm gonna start the start the story .
INV:	okay, good .
INV:	and you finish it .
INV:	where do you see a pocketbook ?
INV:	and tell me one more thing about the story .
CHI:	yes [^ ns] .
CHI:	she throw [^ ev] it in [^ ew:at] [^ emorph] the snowman [^ eu] .
INV:	oh_no, the bubbles spilled and then xxx +...
INV:	she's all clean ?
INV:	and you finish it .
INV:	okay good, moving in the school bus .
INV:	the baby's crying .
CHI:	he can't reach it [^ ns] .
INV:	they went to what ?
CHI:	that mama [^ ns] .
CHI:	yeah [^ ns] .
INV:	she's all what ?
INV:	what else is happening in the picture ?
INV:	very good stories .
CHI:	0the [^ emorph] baby's all_done to get <&ba> [/?] back home
INV:	good job .
INV:	the children see the cat .
INV:	they can't reach it, okay good .
INV:	<mhm> [<] .
CHI:	[^ earg] stand up [^ eu] .
INV:	there's a dog .
CHI:	mommy's to get in the house for in the cage to go xxx to get out .
INV:	this one what in the tree ?
INV:	tell me something else about the picture .
INV:	she's all clean ?
INV:	alright good job .
INV:	in the bucket .
INV:	that's right, good .
CHI:	it xxx +/.
CHI:	right there [^ earg] spilled in [^ ew:on] [^ emorph] the bread
CHI:	yes [^ ns] .
CHI:	the girls <&d> [/?] move it in 0the [^ emorph] schoolbus [^ eu] .
INV:	she's all what ?
INV:	a pocketbook ?
INV:	grandma ?
INV:	the girl is what in the leaf ?
INV:	I can't hear you .
INV:	alright good .
CHI:	yeah [^ ns] .
INV:	look, look at what the boys are doing .
INV:	now I'll start the start the story .
CHI:	she's trip [* m:0ing] [^ elexical] [^ emorph] back in the tree
INV:	and you finish it .
CHI:	thanks [^ ns] .
INV:	what do you think ?
CHI:	they 0are [^ ev] sitting in [^ ew:on] [^ emorph] 0the [^ emorph]
CHI:	she fell there .
CHI:	she is fill [* m:0ing] [^ emorph] the bucket 0and [^ emorph] go
INV:	a bag ?
INV:	now I'll start the start the story .
INV:	okay good .
CHI:	<she's reap> [/?] she's real yucky [^ ns] .
CHI:	she's back .
INV:	that one what ?
CHI:	and <it &ho> [/?] it hoppid [: hopped] [*] back in the tree .
INV:	mhm, okay good .
INV:	and tell me one more thing about the story .
INV:	and here comes mommy .
INV:	and the donut, alright good .
INV:	okay, good .
CHI:	right there [^ ns] .
CHI:	yeah [^ ns] .
CHI:	<&h> [/?] he can't reach that .
INV:	this one xxx +...
INV:	what's happening in the picture ?
INV:	okay .
INV:	what about the sink ?
INV:	and what else is happening in this picture ?
INV:	and you finish it .
CHI:	here comes mommy .
CHI:	and the bubble xxx .
INV:	she xxx +...
INV:	spilled ?
CHI:	she's opening the door .
INV:	the water is spilling all over the floor and then xxx +...
CHI:	yes [^ ns] .
INV:	now I'll start the start the story .
INV:	what is happening in the picture ?
INV:	alright, good .
INV:	alright good job .
INV:	what ?
INV:	she what ?
CHI:	<xxx> [<] .
CHI:	yeah [^ ns] .
INV:	okay, good job .
INV:	and tell me one more thing about the story .
CHI:	okay [^ ns] .
INV:	okay good .
CHI:	she's all clean .
CHI:	she's xxx in the window .
INV:	okay good job .
INV:	what else is happening in this picture ?
CHI:	okay [^ ns] .
INV:	and you finish it .
CHI:	the dog's moving into schoolbus [^ ns] .
INV:	okay good job .
CHI:	a kid jumped into 0the [^ emorph] tree [^ eu] .
INV:	okay good .
INV:	what about the mommy ?
INV:	she what ?
CHI:	&um .
CHI:	yeah [^ ns] .
CHI:	okay [^ ns] .
INV:	and you finish it .
INV:	hm ?
CHI:	she's can't reach it [^ ns] .
CHI:	but [^ emorph] she's all wet [^ eu] .
INV:	and you finish it .
INV:	she what the doggy ?
INV:	this is the last one .
INV:	the boy is taking his grandma's scissors and then xxx +...
INV:	the floor, okay good .
INV:	what else is happening in this picture ?
CHI:	bubbles [^ ns] .
INV:	in the back there ?
CHI:	and the girl's felling [: falling] [*] in the leaf [* m:0s]
CHI:	she's all clean [^ ns] .
INV:	tell me something else about the picture .
CHI:	&um she fell down .
CHI:	good [^ ns] .
INV:	in the backpack ?
CHI:	she's all <clean> [>] xxx to all the house and <&g> [/?] get him a
CHI:	and she's crying .
INV:	the dog and the girl have daddy's shoes and then xxx +...
INV:	he has one ?
INV:	she can't what ?
INV:	we're all done with that .
CHI:	no, I can't reach that .
CHI:	okay [^ ns] .
INV:	what is happening in the picture ?
INV:	dog finished eating the cake ?
INV:	the dog is finished .
CHI:	she's yucky .
CHI:	ducking [^ ns] .
INV:	good job .
INV:	okay .
INV:	what is happening in the picture ?
INV:	okay .
CHI:	take a <&f> [/?] walk [^ ns] .
INV:	okay, good job .
CHI:	&um the dog is putting daddy's shoes [^ earg] [^ eu] .
INV:	what ?
INV:	what is happening in the picture ?
INV:	what is happening in the picture ?
CHI:	&um the girls 0are [^ ev] washing the dog [^ eu] .
INV:	alright good .
INV:	good job .
INV:	the little girl is still in her pajamas and then xxx +...
INV:	what's happening in the picture ?
INV:	can you look ?
CHI:	she's [^ ew:her] [^ epronoun] dog is finish [* m:0ed] [^ emorph]
CHI:	&um the babies cry .
CHI:	xxx .
CHI:	she's walking .
INV:	<very good job> [>] .
INV:	what else is happening in the picture ?
CHI:	oh, this one <(.)> [>] and this one [^ ns] .
INV:	what ?
CHI:	she's all clean .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	good okay and can you tell me one more thing about the story .
CHI:	her pocketbook [^ ns] .
CHI:	and the donut [^ frag] [^ ns] .
INV:	and tell me one more thing about the story .
CHI:	okay [^ ns] .
CHI:	in a backpack [^ frag] [^ eu] .
INV:	the dog moving ?
INV:	what else is happening in this picture ?
INV:	okay, good .
INV:	tell me anything else about the picture .
CHI:	<&um she> [/?] she spill [^ ev] [^ earg] on the floor [^ eu] .
INV:	up the steps ?
CHI:	stand up [^ ns] .
CHI:	mommy's all_done .
CHI:	yes [^ ns] .
CHI:	yes [^ ns] .
CHI:	<spilled> [/?] but [^ ew] [^ emorph] they spilled .
CHI:	yes [^ ns] .
INV:	and what else is happening in this picture ?
CHI:	&um grandma [^ frag] [^ eu] .
INV:	okay good .
CHI:	she's get [* m:0ing] [^ emorph] down [^ eu] .
INV:	the children are taking the donuts from the bag and then xxx +...
INV:	the cat is stuck up in the tree and then xxx +...
CHI:	no, in the sink [^ ns] .
INV:	and tell me one more thing about the story .
INV:	and you finish it .
INV:	the girls see the cat ?
INV:	and you finish it .
INV:	I don't know what you said .
CHI:	she's blowing 0out [^ emorph] the candle [^ eu] .
CHI:	in a floor and the baby [^ frag] [^ eu] .
INV:	and tell me one more thing about the story .
INV:	take a walk ?
CHI:	yeah [^ ns] .
CHI:	okay [^ ns] .
CHI:	right there [^ ns] .
INV:	okay .
INV:	alright good job .
INV:	alright, good job .
INV:	the daddy is hiding a doll behind his back and then xxx +...
INV:	what else is happening in the picture ?
CHI:	she's filled the bucket go in the house [^ ns] .
INV:	what's happening in the picture ?
CHI:	<an upstairs up steps a oh up the floor floor> [/?] up steps
CHI:	yeah [^ ns] .
INV:	they raked the leaves into a big pile and then xxx +...
INV:	okay .
INV:	stories ?
INV:	and tell me one more thing about the story .
CHI:	<she's finish> [/?] 0the [^ emorph] dog is finish [* m:0ed]
INV:	okay, tell me something about the picture here .
INV:	<she's> [<] .
CHI:	xxx .
CHI:	yeah [^ ns] .
INV:	okay, good .
CHI:	the girl's fun in the shoes [^ other] [^ eu] .
CHI:	in the book [^ frag] [^ eu] .
INV:	and you finish it .
INV:	she can't ?
CHI:	yes [^ ns] .
INV:	good job .
INV:	the boys are throwing snowballs and then xxx +...
INV:	good job .
INV:	alright good and tell me one more thing about the story .
INV:	she goes in the house ?
CHI:	girl and doggy [^ ns] .
CHI:	yes [^ ns] .
INV:	and you finish it .
INV:	oh_no, the doggy ate some of the cake and then xxx +...
CHI:	&um the little xxx finish .
INV:	now I'll start the start the story .
INV:	okay, good job .
CHI:	yes [^ ns] .
CHI:	she's hop [* m:0ing] [^ emorph] into a tree [^ eu] .
INV:	a backpack ?
CHI:	[^ earg] make there [^ eu] .
CHI:	yes [^ ns] .
INV:	now I'll start the start the story .
INV:	now I'll start the start the story .
CHI:	&um this one [^ ns] .
CHI:	and the donut [^ ns] .
CHI:	she's all clean [^ ns] .
INV:	now I'll start the start the story .
INV:	she's what in the tree ?
INV:	okay good job and what else is happening in the picture ?
CHI:	okay [^ ns] .
INV:	let's look at the picture, .
CHI:	she's back get [^ other] the house 0and [^ emorph] get it in the
INV:	what about a bag ?
INV:	now I'll start the start the story .
INV:	and you finish it .
CHI:	no no, <the baby fill the> [/?] she's go to house [^ ns] .
INV:	the daddy what ?
CHI:	she xxx back in sky .
INV:	<she's in the car> [>] .
CHI:	in a floor [^ frag] [^ eu] .
CHI:	she's in the stories .
CHI:	this one tripped .
INV:	and tell me one more thing about the story .
CHI:	yes [^ ns] .
CHI:	she's [^ ew:she] [^ ev] can't reach it [^ eu] .
CHI:	the girl still went to shave .
INV:	okay good job .
INV:	the children are trying to wash the dog and then xxx +...
INV:	yeah, what's happening in the picture ?
CHI:	she's all clean [^ ns] .
CHI:	she's <&t &t> [/?] take [* m:0ing] [^ emorph] the shoes [^ eu] .
CHI:	this one [^ ns] .
CHI:	yes [^ ns] .
INV:	okay alright and what else is happening in this picture ?
INV:	she fell in the leaf ?
INV:	and it fell down ?
INV:	okay good .
INV:	what is happening in the picture ?
INV:	he can't reach it, good job .
INV:	okay alright and what else is happening in this picture ?
CHI:	&um this one [^ ns] .
INV:	what is happening in the picture ?
INV:	what ?
CHI:	she's fell [^ ns] .
CHI:	her pocketbook [^ frag] [^ eu] .
INV:	she jumped into a tree ?
CHI:	they went to xxx .
INV:	okay .
CHI:	she's all clean [^ ns] .
INV:	and then xxx +...
INV:	now I'll start the start the story .
INV:	and here comes the mommy and then xxx +...
INV:	she what ?
CHI:	the baby [^ ns] .
CHI:	yes [^ ns] .
CHI:	yes [^ ns] .
INV:	that's right .
INV:	what is happening in this picture ?
INV:	it's all clean ?
INV:	hopped back in the tree ?
CHI:	this one [^ ns] .
INV:	she get down, okay good job .
INV:	she's walking, very good job .
INV:	just tell something about <the picture> [>] .
INV:	she's what ?
INV:	now I'll start the start the story .
CHI:	she's xxx the house 0and go night_night .
INV:	and goes night_night ?
INV:	the boys are fighting .
CHI:	right there [^ ns] .
INV:	okay, good .
INV:	okay good job .
CHI:	yes [^ ns] .
INV:	they're making a snowman ?
INV:	now I'll start the start the story .
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
INV:	okay, what did the daddy do ?
INV:	alright good .
INV:	tell me one more thing about the story .
INV:	go to the house and get in the cage ?
CHI:	she's all clean .
CHI:	no take a walk a school bus [^ ns] .
CHI:	okay [^ ns] .
INV:	good job .
CHI:	&um she's walking [^ ns] .
CHI:	she's still looking in 0the [^ emorph] tree [^ eu] .
CHI:	and the dog [^ frag] [^ eu] .
INV:	and you finish it .
INV:	alright, that's very good .
INV:	she's really yucky ?
CHI:	she stand up [^ ns] .
INV:	what about the snowman ?
CHI:	<she's &um> [/?] she's in the car .
CHI:	yeah [^ ns] .
INV:	what did you say ?
INV:	okay good .
CHI:	the girl xxx .
CHI:	<yeah> [/?] no, a bag [^ ns] .
CHI:	in the backpack [^ ns] .
CHI:	she take a walk a doggy [^ ns] .
CHI:	yes [^ ns] .
CHI:	yeah [^ ns] .
INV:	yeah, this one is what, crying ?
INV:	that was really good .
INV:	bubbles, okay good .
CHI:	she's [^ ew:she] [^ ev] fell on a sandcastle [^ eu] .
CHI:	yes [^ ns] .
CHI:	<&um the girls> [/?] the girls, they see 0the [^ emorph] cat [^ eu]
CHI:	no no no, in the bucket [^ ns] .
CHI:	yes [^ ns] .
INV:	you can't reach it ?
INV:	he can't reach that ?
