participant	content
CHI:	<the dad &uh> [/?] the girls picked apples .
CHI:	momma's cooking bread [^ eu] .
INV:	what else is happening in this picture ?
CHI:	he is throwing a ball .
INV:	oh_no, the bubbles spilled .
CHI:	I just did this [^ ns] .
INV:	just tell me anything else about the picture .
CHI:	he's crawling .
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
INV:	let me see .
CHI:	&um the mom drived [^ ew:drove] [^ ev] [^ earg] [^ eu] .
INV:	the children are taking the donuts from the bag .
INV:	and what's going to happen next ?
CHI:	then the mom looked at the dog .
CHI:	he have [^ ew:has] [^ ev] yellow hair [^ eu] .
INV:	and what's going to happen next ?
CHI:	and everything [^ ew:everyone] [^ elexical] cried about him [^ eu]
CHI:	the dad say [* m:03s] [^ ev] “ssh, the mom is reading” [^ eu] .
CHI:	and the cat said “I will fall when I get down 0from [^ emorph] this
CHI:	the boy said “I can do it” .
CHI:	the cat is stuck in the tree .
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
CHI:	and the dad is cooking bread .
CHI:	shoes on [^ frag] [^ eu] .
CHI:	and <said> [/?] the dad said “why 0do [^ ev] you have a silly face
INV:	and what's going to happen next ?
INV:	and what's going to happen next ?
CHI:	the mom said “don't do that” .
CHI:	and this one fall [^ ev] asleep [^ eu] .
CHI:	he's trying to xxx +...
CHI:	and the girl is riding the <<what 0is this> [/?]> [/?] xxx +...
INV:	a shopping cart .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
CHI:	he's trying to pull it from the other boy .
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
CHI:	&uh they spilled the water .
INV:	what's happening in the picture ?
CHI:	and the cat <said> [/?] said “you are not coming here” .
INV:	tell me about what else you see in the picture .
INV:	what else is happening in this picture ?
CHI:	all the dog xxx out and said xxx .
INV:	okay .
INV:	and what's going to happen next ?
CHI:	he's spilling [^ earg] [^ eu] .
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the picture .
CHI:	and then [^ earg] said woof_woof [^ eu] .
CHI:	the mom is making a mad face .
INV:	what's happening in the picture ?
CHI:	&um the girl is picking apples and strawberries .
CHI:	the dad is making bread .
CHI:	he said “I'm stuck in the tree” .
CHI:	“I'm trying to stripe [^ elexical] you out” they said [^ eu] .
CHI:	<and the boy> [>] xxx +/.
CHI:	but &uh the girl said (.) “don't do that”, said [^ other] [^ eu] .
CHI:	he just fall [^ ev] asleep [^ eu] .
INV:	okay .
INV:	what else is happening in this picture ?
INV:	okay .
INV:	what else is happening in this picture ?
CHI:	<then he puts> [/?] then he brings the lunch box .
CHI:	he 0is [^ ev] eating Dunkin_donuts [^ eu] .
INV:	and what's going to happen next ?
CHI:	<his> [/?] the girl's running to the dad .
INV:	what's happening in the picture ?
INV:	and what's going to happen next ?
INV:	tell me that again .
INV:	okay .
CHI:	he's running .
CHI:	and the lights came [^ ew:went] [^ elexical] off [^ eu] .
INV:	what's happening in the picture ?
INV:	tell me what else is happening in the picture .
CHI:	all the bubbles came out .
CHI:	he's yawning [^ eu] .
INV:	and what's going to happen next ?
INV:	and what's going to happen next ?
CHI:	0 .
CHI:	&um the mom is picking out something .
CHI:	&uh he spilled all the water .
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
INV:	let me see .
CHI:	but the little old guy said “give me that”, he said [^ eu] .
CHI:	he washes the towel off .
INV:	what else is happening in this picture ?
CHI:	he's making a mad face [^ ns] .
INV:	tell me one more thing about the picture .
