participant	content
INV	what's happening in the picture 
CHI	the boy spilled it 
INV	the boy spilled it 
INV	okay good job 
INV	what else is happening in this picture 
CHI	 
INV	tell me something else about the picture 
CHI	I don't know  
INV	you don't know 
INV	okay 
INV	now I'll start the start the story 
INV	and you finish it 
INV	I'll start the story 
INV	and you finish it 
INV	the boy knocked the boxes off the shelf and then  
CHI	they started to fall 
INV	that's right good job 
INV	and tell me one more thing about the story 
INV	just tell me anything else about the picture 
MOT	there's a lot going on in that picture 
CHI	I don't know  
INV	you don't know okay 
INV	what is happening in the picture 
CHI	he's cutting his toys 
INV	he's cutting the toys 
INV	that's right 
INV	what else is happening in this picture 
CHI	I don't know  
INV	hm 
CHI	they break 
INV	what 
CHI	they break  
INV	it breaks 
CHI	yeah  
INV	okay good 
INV	now I'll start the start the story 
INV	and you finish it 
INV	the boy is taking his grandma's scissors and then  
CHI	he   tries to cut it 
INV	he tries to cut it good job 
INV	and tell me one more thing about the story 
CHI	I don't know  
INV	just tell me anything else about the picture 
CHI	he might cut hisself  
INV	he may cut himself 
INV	that's right 
INV	what is happening in the picture 
CHI	he's scared 
INV	he's scared 
INV	okay very good 
INV	what else is happening in this picture 
CHI	he leave  
INV	okay good 
INV	now I'll start the start the story 
INV	and you finish it 
INV	the daddy is hiding a doll behind his back and then  
CHI	what  
INV	the daddy is hiding a doll behind his back 
INV	and then what happens in the story 
CHI	I don't know  
INV	you don't know 
INV	okay 
INV	tell me one more thing about the story 
CHI	 
MOT	what else is happening in that picture 
INV	just tell me anything else about the picture 
CHI	she got scared 
INV	she got scared okay 
INV	good 
INV	what is happening in the picture 
CHI	she took the d_v_d 
INV	she took the d_v_d 
INV	 okay good 
INV	what else is happening in this picture 
CHI	they're driving their car 
INV	okay 
INV	good 
INV	now I'll start the start the story 
INV	and you finish it 
INV	the children are taking the d_v_ds from the bag and then what
CHI	I don't know  
INV	the children are taking the d_v_ds 
INV	and then what happens in the story 
CHI	can you tell me  
INV	what 
CHI	tell me  
INV	you want me to tell you 
CHI	yeah  
INV	I want you to make up the story 
CHI	can't you tell me  
INV	okay 
INV	I think maybe the mom isn't very happy about that 
CHI	why  
INV	I don't know 
INV	maybe she doesn't want them to take the d_v_d 
INV	I don't know 
INV	can you tell me one more thing about the story 
CHI	her arm got ripped 
INV	what 
CHI	this got ripped  
INV	her arm got ripped 
CHI	yeah  
INV	okay good job 
INV	what is happening in the picture 
CHI	he took the cookies 
INV	he took the cookies 
INV	that's right 
INV	what else is happening in this picture 
CHI	he fell  he almost fell 
INV	okay good 
INV	now I'll start the start the story 
INV	and you finish it 
INV	the water is spilling all over the floor and then  
CHI	the mom slip  
INV	what 
CHI	slip  
INV	the mom slipped 
CHI	yeah  
INV	okay 
INV	good 
INV	tell me one more thing about the story 
CHI	he opened it 
INV	he opened it good job 
INV	what is happening in the picture 
CHI	they throw snow at each other 
INV	yes that's right 
INV	what else is happening in this picture 
CHI	they gave it back 
INV	okay good 
INV	now I'll start the start the story 
INV	and you finish it 
