participant	content
CHI:	because xxx +/.
CHI:	the girl's <sharing> [/?] sharing the donut because <her> [/?] the
CHI:	and they're really shouting .
CHI:	okay [^ ns] .
INV:	wait wait .
CHI:	“there's a bus” .
INV:	tell me one more thing about this story .
CHI:	because <there> [/?] there xxx on their sand because he want it
CHI:	the dad 0is [^ ev] trying to go to school <and he &lo and there>
INV:	what's happening in the picture ?
CHI:	and he can't do it .
CHI:	and her [: she] [* s:r:gc] 0is [^ ev] trying to slide on the leafs
CHI:	the fire engine's coming to save the cat .
CHI:	the girl has some toys <on> [/?] on her hands .
INV:	<okay> [<] .
CHI:	<the> [/?] the cake is broke [^ ew:broken] [^ emorph] [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	because he's trying 0to [^ emorph] go to work [^ eu] .
INV:	what else is happening in this picture ?
CHI:	&uh the girl say [^ ev] “dada” [^ eu] .
CHI:	so they xxx the dog because <they're they're they're they're
INV:	the dog and the girl has the daddy's shoes .
CHI:	and <they're> [/?] they're fighting .
INV:	okay, the mom's trying to sleep and xxx +...
CHI:	because the boy's brushing the dog because the dog's all wet .
INV:	the daddy is hiding a doll behind his back .
INV:	okay, just tell me one thing, okay ?
INV:	tell me one more thing about the picture .
CHI:	the girl 0is [^ ev] trying 0to [^ emorph] get some vegetables
CHI:	the mommy 0is [^ ev] trying 0to [^ emorph] cut something to
INV:	what else is happening in this picture ?
CHI:	and then the girl has <stuff> [/?] he's [^ ew:his] [^ epronoun]
INV:	what ?
CHI:	and then xxx xxx +/.
INV:	it xxx +...
CHI:	because he likes squirrels and say [^ ev] woof_woof [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	<her the> [/?] the sisters [^ ew:sister] [^ emorph] is really <tire
CHI:	the girl xxx +/.
CHI:	they're trying 0to [^ emorph] get their dog [^ eu] .
INV:	<good job> [<] .
CHI:	the girl want [* m:03s] her cat [^ ns] .
CHI:	the cat is up on a tree .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
CHI:	they're really trying to 0be [^ other] mad [^ eu] .
INV:	okay, good .
CHI:	her's [^ ew:she's] tired [^ ns] .
INV:	the boy is taking his grandma's scissors out of the basket .
CHI:	<the &do> [/?] the dog has 0a [^ emorph] shoe [^ eu] .
CHI:	and the girl <and the and the> [/?] and the boy, they're making a
INV:	look, the little girl is still in her pajamas .
INV:	what else is happening in this picture ?
CHI:	the mommy's trying to sleep [: sweep] .
CHI:	the boy <throwing &s &s> [/?] 0is [^ ev] throwing <&s> [/?] 0a
INV:	the dog is in front of the bus .
CHI:	<&uh the the girl's blowing bubbles because them [^ ew:they]
INV:	what else is happening in this picture ?
INV:	<good job> [<] .
CHI:	the mommy's driving the car <because because: um: uh: &um &um &um
CHI:	the dog say [* m:03s] [^ ev] “watch out behind you” [^ eu] .
CHI:	her [^ ew:she] [^ epronoun] is trying to think [^ eu] .
CHI:	the dog's go [* m:0ing] [^ emorph] <in the> [/?] in the boy <and
CHI:	they're starting to spill .
