participant	content
INV:	look, oh_no, the dog ate some of the cake .
INV:	&=laughs yeah, it's not good to fight .
CHI:	<the the> [/?] the boy <&I is> [/?] is all wet .
INV:	the boy what ?
INV:	look, the children are trying to wash the dog .
INV:	somebody what ?
INV:	okay .
CHI:	and then she stop [* m:0ed] [^ ev] crying [^ eu] .
INV:	look, the little girl is still in her pajamas .
INV:	what is going to happen next ?
CHI:	<&uh &um she> [/?] she splash [^ ev] the girl [^ eu] .
INV:	okay .
CHI:	lying down wagon [^ ns] .
CHI:	xxx again .
INV:	oh, she get him down, okay .
CHI:	&uh &uh &uh &uh &uh somebody <&I &I> [/?] is in the house .
INV:	and what is going to happen next ?
INV:	and here comes the mom .
CHI:	<who> [/?] whose shoes are these [^ ns] ?
INV:	just tell me what you see in the picture .
INV:	she what ?
CHI:	<&uh the the the> [/?] the dad <&I &I is> [/?] is looking for food
INV:	she what ?
CHI:	<I> [/?] I don't know [^ ns] .
INV:	she is what ?
INV:	what's happening in this picture ?
CHI:	<the the> [/?] the girl <&I &I is is &uh &uh &uh &I> [/?] is
INV:	just tell me one more thing about the picture .
CHI:	splash [^ ns] .
CHI:	<she she> [/?] he 0is [^ ev] going to cut that [^ eu] .
INV:	good job .
CHI:	<&uh she she's> [/?] she's small .
INV:	okay .
INV:	oh_no, the bubbles spilled .
CHI:	<they they> [/?] they are crying .
INV:	what else is happening in this picture ?
INV:	okay, and what will happen in just a little bit while ?
CHI:	<&uh the the> [/?] the dad <is> [/?] is quiet .
INV:	okay .
CHI:	<I> [/?] I don't know [^ ns] .
INV:	okay .
CHI:	&uh I don't know [^ ns] .
CHI:	and then it popped .
INV:	tell me one more thing about this picture .
INV:	what's happening in this picture ?
CHI:	<he> [/?] he [^ ew:she] [^ epronoun] stop [^ ev] these guys [^ eu]
INV:	what is going to happen next ?
INV:	okay .
CHI:	<the the> [/?] the mommy and daddy <&a are> [/?] are pulling <the>
CHI:	<she she she she she> [/?] she xxx daddy .
CHI:	[^ imperative said to girl in picture] stop crying .
INV:	okay, tell me one more thing about this picture .
INV:	good job .
INV:	what's happening in this picture ?
INV:	what is happening in this picture ?
INV:	look, the dog is in front of the bus .
INV:	and what will happen in just a little bit while ?
CHI:	<&uh she she> [/?] she 0is [^ ev] putting 0the [^ emorph] snowman
INV:	and the cat is stuck in the tree .
INV:	and what ?
INV:	what is going to happen next ?
INV:	okay, she putting the boy .
INV:	good job .
INV:	what is going to happen next ?
CHI:	<the the> [/?] the girl <&I &I is> [/?] is blowing bubbles .
CHI:	<he he she> [/?] he 0is [^ ev] walking and walking and walking
CHI:	<she she she> [/?] she 0is wearing the hat [^ ns] .
CHI:	she splash [^ ev] [^ earg] [^ eu] .
INV:	what else is happening in this picture ?
CHI:	<I I I> [/?] I don't know [^ ns] .
CHI:	<she she she she she she she she> [/?] she get [^ ev] him down
INV:	look, the dog and the girl have the daddy's shoes .
INV:	look, tell me one more thing about the picture .
INV:	what is going to happen next ?
INV:	what's happening in this picture ?
CHI:	it popped [^ ns] .
INV:	okay .
CHI:	<she's she's she's> [/?] she's driving the car .
CHI:	<she she the> [/?] the little boy is taking 0off [^ emorph] his
INV:	somebody is what ?
INV:	look, the boy knocked the boxes off the shelf .
INV:	mhm .
INV:	and what else is happening in this picture ?
INV:	good job .
INV:	okay, she wearing the hat .
INV:	okay .
CHI:	<she she she the> [/?] the girl <is is> [/?] is xxx +...
INV:	alrighty, tell me one more thing about this picture .
INV:	what's happening in this picture ?
CHI:	<she she> [/] she climb [^ ev] up on the chair [^ eu] .
CHI:	<she she she she> [/?] she get him down [^ ns] .
CHI:	<she she> [/?] she 0is [^ ev] cutting [^ earg] [^ eu] .
CHI:	<she ate it all up she> [/?] he ate it all up .
CHI:	<&uh I> [/?] I don't know [^ ns] .
CHI:	<he he he> [/] he [: she] [^ epronoun] stop [^ ev] them [^ eu] .
INV:	look, the water is spilling all over the floor .
INV:	what else is happening in this picture ?
CHI:	<I &ha I> [/?] I have <a> [/?] a lamp [^ ns] .
CHI:	shoes [^ ns] .
INV:	she what ?
INV:	what's happening in this picture ?
INV:	alrighty and look, they raked the leaves into a big pile .
INV:	and what would happen in just a little bit while ?
CHI:	<she she she she she> [/?] she eat [^ ev] that bagel <for &to &to>
INV:	okay .
CHI:	<some some> [/?] somebody lying [^ ns] .
CHI:	<they they> [/?] they hafta 0be [^ other] quiet [^ eu] .
CHI:	xxx this, right ?
CHI:	<she> [/?] she 0is [^ ev] splashing [^ earg] <in> [/?] in [^ ew:on]
INV:	what else is happening in this picture ?
CHI:	<&uh the the the girl &I &I is> [/?] she is funny .
CHI:	<door or house> [x 4] [^ ns] .
CHI:	<eh eh the the> [/?] the water <is> [/?] is falling <on> [/?] on
INV:	what's happening in this picture ?
CHI:	splashed [^ ns] .
INV:	somebody's singing in the tree, good job .
CHI:	<she she she> [/?] she <is is> [/?] is wearing that scarf .
INV:	look, what else is happening in this picture ?
INV:	look, what else is happening in this picture ?
INV:	she going to what ?
INV:	what is going to happen next ?
CHI:	<and and> [/?] and then <she> [/?] she fall [^ ev] [^ eu] .
INV:	what will happen in just a little bit while ?
CHI:	<the the the> [/?] the girl <&I &I> [/?] is playing 0with
INV:	look, the boys are throwing snowballs .
INV:	what's happening in this picture ?
INV:	what is going to happen next ?
INV:	look, the daddy is hiding a doll behind his back .
INV:	what is happening in this picture ?
INV:	I don't know .
CHI:	it is <a a a gwa> [/?] a wagon where [^ earg] is somebody lying
INV:	what is going to happen next ?
CHI:	splash [^ ns] .
CHI:	splash and splash and splash [^ ns] .
CHI:	he go [^ ev] in 0the [^ emorph] timeout chair [^ eu] .
CHI:	<I> [/?] I don't know [^ ns] .
CHI:	<I I> [/?] I don't know [^ ns] .
INV:	tell me one more thing about this picture .
CHI:	<she she she she> [/?] she 0is [^ ev] putting <the> [/?] the <snow>
CHI:	<and> [/?] and <the> [/?] the house xxx +...
CHI:	is going in the farmer [^ ns] .
CHI:	<she she some> [/?] somebody <is> [/?] is singing <in> [/?] in the
INV:	and then what will happen in just a little bit while ?
CHI:	<she> [/?] she 0is [^ ev] wearing the hat [^ eu] .
INV:	what is going to happen next ?
INV:	tell me one more thing about this picture .
CHI:	he is all wet .
CHI:	stop crying [^ ns] .
CHI:	&um &um &um he splash [^ ev] [^ earg] [^ eu] .
INV:	tell me one more thing about this picture .
CHI:	<the the the dog and and and the girl the the the and the> [/?] the
CHI:	quiet and quiet [^ ns] .
INV:	good job .
CHI:	yeah [^ ns] .
INV:	she going to cut that ?
INV:	look, the children see the cat .
INV:	okay .
INV:	tell me one more thing about this picture .
INV:	okay .
CHI:	<she she she she she> [/?] she want [* m:03s] [^ ev] that bagel
CHI:	<the the> [/?] the boy <will> [/?] will crash <in in> [/?] in
INV:	what is going to happen next ?
INV:	what else is happening in this picture ?
CHI:	+" stop .
INV:	what is going to happen next ?
INV:	mhm .
INV:	okay .
INV:	look, the children are taking the donuts from the bag .
INV:	look, the boy is taking his grandma's scissors .
INV:	what else is happening in this picture ?
CHI:	<she she she she> [/?] she 0is [^ ev] picking up <the> [/?] the
CHI:	<the the the> [/?] the man <&I &I is> [/?] is driving .
INV:	tell me one more thing about the picture .
