participant	content
INV:	bubbles, okay good .
INV:	and you finish it .
CHI:	oh, this one <(.)> [>] and this one [^ ns] .
INV:	she's what ?
INV:	she what ?
CHI:	<she's &um> [/?] she's in the car .
CHI:	they went to xxx .
INV:	dog finished eating the cake ?
CHI:	ducking [^ ns] .
INV:	okay good job .
CHI:	she fell there .
INV:	okay .
CHI:	yeah [^ ns] .
INV:	she's all clean ?
INV:	tell me anything else about the picture .
CHI:	<&h> [/?] he can't reach that .
INV:	alright good job .
INV:	stories ?
INV:	alright good .
INV:	she can't ?
INV:	just tell something about <the picture> [>] .
CHI:	mommy's to get in the house for in the cage to go xxx to get out .
INV:	what about the mommy ?
INV:	and you finish it .
CHI:	yeah [^ ns] .
INV:	she what the doggy ?
CHI:	stories [^ ns] .
INV:	the daddy what ?
INV:	she's walking, very good job .
INV:	what is happening in the picture ?
INV:	now I'll start the start the story .
CHI:	she's take [* m:0ing] [^ emorph] a walk a [^ emorph] Scooby [^ eu]
INV:	what ?
INV:	this is the last one .
CHI:	her pocketbook [^ ns] .
CHI:	no no, <the baby fill the> [/?] she's go to house [^ ns] .
CHI:	she's back get [^ other] the house 0and [^ emorph] get it in the
CHI:	&um the girls 0are [^ ev] washing the dog [^ eu] .
INV:	what is happening in the picture ?
INV:	she can't what ?
INV:	what is happening in the picture ?
INV:	a pocketbook ?
CHI:	they get bad .
INV:	they can't reach it, okay good .
INV:	good job .
INV:	now I'll start the start the story .
INV:	you can't reach it ?
CHI:	<spilled> [/?] but [^ ew] [^ emorph] they spilled .
CHI:	right there [^ ns] .
INV:	it's all clean ?
CHI:	yes [^ ns] .
INV:	look, what are they doing ?
CHI:	okay [^ ns] .
CHI:	&um the dog is putting daddy's shoes [^ earg] [^ eu] .
INV:	alright good job .
INV:	what ?
INV:	okay, good .
INV:	and tell me one more thing about the story .
CHI:	<&um the girls> [/?] the girls, they see 0the [^ emorph] cat [^ eu]
INV:	take a walk for the school bus ?
INV:	a bag ?
CHI:	&um this one [^ ns] .
CHI:	here comes mommy .
INV:	what is happening in the picture ?
INV:	she what ?
INV:	the dog is in front of the bus and the bus can't move .
CHI:	she's filled the bucket go in the house [^ ns] .
CHI:	yeah [^ ns] .
CHI:	no, in the sink [^ ns] .
INV:	and you finish it .
CHI:	in the backpack [^ ns] .
CHI:	but [^ emorph] she's all wet [^ eu] .
CHI:	the girl still went to shave .
CHI:	<xxx> [<] .
INV:	what do you think ?
INV:	she what ?
INV:	yes, there is a girl and a doggy .
INV:	can you look ?
INV:	and you finish it .
CHI:	she's yucky .
CHI:	girl and doggy [^ ns] .
CHI:	she is fill [* m:0ing] [^ emorph] the bucket 0and [^ emorph] go
INV:	okay good .
CHI:	yes [^ ns] .
INV:	there's a dog .
CHI:	in a floor [^ frag] [^ eu] .
INV:	alright good job .
CHI:	and the donut [^ ns] .
CHI:	yes [^ ns] .
CHI:	the girl's fun in the shoes [^ other] [^ eu] .
CHI:	<she's reap> [/?] she's real yucky [^ ns] .
INV:	she's all wet ?
CHI:	she's all wet [^ ns] .
CHI:	okay [^ ns] .
CHI:	her pocketbook [^ frag] [^ eu] .
CHI:	right there [^ ns] .
CHI:	yes [^ ns] .
INV:	yeah, this one is what, crying ?
INV:	now I'll start the start the story .
INV:	what's happening in the picture ?
CHI:	she's all clean [^ ns] .
INV:	okay, tell me something about the picture here .
INV:	hopped back in the tree ?
INV:	what's happening in the picture ?
INV:	and tell me one more thing about the story .
INV:	she's what in the tree ?
CHI:	she's xxx in the window .
INV:	okay, good job .
INV:	alright good .
CHI:	a kid jumped into 0the [^ emorph] tree [^ eu] .
INV:	okay, good .
INV:	what is happening in the picture ?
INV:	the daddy is hiding a doll behind his back and then xxx +...
INV:	and tell me one more thing about the story .
INV:	now I'll start the start the story .
INV:	tell me something else about the picture .
CHI:	yeah [^ ns] .
CHI:	&um she fell down .
INV:	the cat is stuck up in the tree and then xxx +...
CHI:	she throw [^ ev] it in [^ ew:at] [^ emorph] the snowman [^ eu] .
INV:	this one what in the tree ?
INV:	I can't hear you .
INV:	now I'm gonna start the start the story .
INV:	okay good job and what else is happening in the picture ?
CHI:	okay [^ ns] .
CHI:	okay [^ ns] .
INV:	this one xxx +...
INV:	okay alright and what else is happening in this picture ?
INV:	and what else is happening in this picture ?
INV:	and tell me one more thing about the story .
INV:	what is happening in the picture ?
INV:	the children are taking the donuts from the bag and then xxx +...
INV:	okay good .
INV:	look, look at what the boys are doing .
INV:	and tell me one more thing about the story .
CHI:	it xxx +/.
INV:	we're all done with that .
CHI:	she's fell [^ ns] .
INV:	what is happening in the picture ?
