participant	content
INV:	tell me one more thing about this picture .
INV:	mhm .
CHI:	these are [* m:agr] 0the [^ emorph] daughter [* m:0's] [^ emorph]
CHI:	the dog is barking .
INV:	what's happening in the picture ?
INV:	then what is going to happen next ?
CHI:	the birthday cake xxx +/.
CHI:	the boys are fighting again .
INV:	what else is happening in this picture ?
INV:	what's happening in this picture ?
CHI:	the mommy comes and look [* m:03s] [^ ev] at her [^ eu] .
INV:	yeah .
CHI:	then the shoe is <on her> [/?] on him .
INV:	what is going to happen next ?
CHI:	[^ earg] not sharing [^ eu] .
INV:	not yet, we have two more questions .
CHI:	the mommy 0is [^ ev] gonna spill 0a [^ emorph] lot 0of [^ emorph]
CHI:	it's all gonna fall on his head .
INV:	jump off and xxx +...
INV:	and the dog runs away .
INV:	try that again .
CHI:	and xxx +/.
INV:	yeah, it's really funny .
CHI:	yeah, that's what happens .
INV:	the boys are throwing snowballs .
CHI:	then that little boy is raking [^ earg] [^ eu] .
CHI:	the kitty 0is [^ ev] stuck on the tree [^ eu] .
CHI:	throw snow on them [^ ns] .
CHI:	[^ earg] jump off [^ eu] .
CHI:	then the mommy takes them away .
CHI:	and here mommy says xxx +/.
CHI:	the boy's gonna fall down on it .
CHI:	<look at the boy> [<] [^ ns] .
CHI:	[^ earg] getting on the little boy [^ eu] .
CHI:	the dog is still in the street .
CHI:	what's gonna happen next [^ ns] ?
CHI:	yeah, and nothing 0is [^ ev] happening there actually [^ eu] .
CHI:	0 .
CHI:	then she's getting tired .
INV:	just tell me what you see in this picture .
CHI:	the dog is over there .
INV:	look, the little girl is still in her pajamas .
CHI:	the little boy spilled the lid, that little pile .
INV:	tell me one more thing about this picture .
INV:	the dog and the girl have the daddy's shoes .
INV:	tell me one more thing about the picture .
CHI:	then the shoes xxx +/.
CHI:	then the pants [^ ns] .
CHI:	[^ earg] throw snow on them [^ eu] .
INV:	what is going to happen next ?
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
CHI:	she's sharing the donuts .
CHI:	the kitty 0is [^ ev] stuck on the tree branch [^ eu] .
CHI:	she's toasting [^ ew] [^ elexical] with a spoon [^ eu] .
INV:	what else is happening in this picture ?
CHI:	look, the boy spilled the xxx +/.
CHI:	<the dog is in the> [/?] the doll is in the box .
CHI:	then they are raking [^ earg] [^ eu] .
INV:	the girl is going to get the gift .
CHI:	0 .
INV:	and what is going to happen next ?
INV:	what else xxx +/.
INV:	wait wait wait .
INV:	wait, the boy's gonna fall [% said to himself] .
INV:	what is happening in the picture ?
INV:	what is happening in the picture ?
INV:	and the bus can't move .
CHI:	the cat 0is [^ ev] gonna fall [^ eu] .
INV:	what else is happening in this picture ?
CHI:	oh_no, the girl's gonna cut the hair <off> [/?] off the dog .
INV:	say that again .
INV:	wait wait, that's good enough .
CHI:	then this girl sits .
INV:	wait, we hafta finish this one first .
INV:	what's happening in this picture ?
INV:	oh, they raked the leaves into a big pile .
CHI:	then she's gonna fall right on the boys .
CHI:	not sharing again [^ ns] .
CHI:	then <the dog> [/?] the family's pulling the dog .
CHI:	that little boy 0is [^ ev] shoveling [^ earg] [^ eu] .
CHI:	he wants her bubbles .
INV:	what else is happening in this picture ?
CHI:	she doesn't know 0how [^ emorph] to find her doll [^ eu] .
CHI:	the <&mo> [/?] mommy's gonna try to get me .
INV:	then xxx +...
CHI:	it's gonna fall right on his back .
CHI:	the boy got the bowtie [^ ns] .
INV:	good enough .
CHI:	the boy fell [^ ns] ?
CHI:	<this> [/?] she got the scissors .
CHI:	what happens [^ ns] ?
INV:	look, the dog is in front of bus .
INV:	okay, tell me one more thing about this picture .
INV:	tell me one more thing about this picture .
CHI:	she sit [^ ev] down [^ eu] .
CHI:	and who's gonna rescue <him she> [/?] her ?
INV:	and what is going to happen next ?
CHI:	the little girl jump [^ ev] [^ eu] .
INV:	tell me one more thing about this picture .
CHI:	and she's going in the leafs .
INV:	what's happening in the picture ?
INV:	the daddy's hiding the doll behind his back .
CHI:	the dog got &uh one shoe in his mouth .
CHI:	the boy's gonna fall 0and [^ emorph] hurt his head [^ eu] .
