participant	content
INV:	what's happening in the picture ?
CHI:	the peoples [^ ew:people] [^ emorph] are mad [^ eu] .
INV:	what else is happening in this picture ?
CHI:	I don't know [^ ns] .
INV:	tell me something about this picture .
CHI:	the xxx .
INV:	okay .
INV:	now I'm gonna start the story .
INV:	and you finish it .
INV:	the dog is in front of the bus .
INV:	and the bus can't move and then xxx +...
CHI:	the people get mad .
INV:	tell me one more thing about this picture .
CHI:	I don't know [^ ns] .
INV:	tell me anything about the picture .
CHI:	the boy's going on the leash [^ other] [^ eu] .
INV:	what ?
CHI:	the boy's going on the leash [^ ns] .
INV:	tell me something about the picture .
CHI:	daddy's here .
INV:	what did you say ?
CHI:	daddy's here [^ ns] .
INV:	what else is happening in the picture ?
CHI:	&=laughs look [^ ns] .
INV:	what ?
CHI:	look [^ ns] .
INV:	now I'll start the story .
INV:	and you finish it .
INV:	the daddy is hiding a doll behind his back and then xxx +...
CHI:	xxx .
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about this picture .
CHI:	I don't know [^ ns] .
INV:	tell me something about this picture .
INV:	just tell me anything about the picture .
INV:	tell me something that's happening in the picture .
CHI:	xxx falling down .
CHI:	<the &bf> [/?] they's [^ ew:they] [^ ev] are falling down [^ eu] .
INV:	now I'm going to start the story .
INV:	and you finish it .
INV:	the boy knocks the boxes off the shelf and then xxx +...
CHI:	she push [^ ev] the apple [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	she's holding the shopping cart and pushing it .
INV:	what is happening in this picture ?
CHI:	look [^ ns] &=points:sink .
INV:	what else is happening in this picture ?
CHI:	<the &s> [/?] they can't turn the water off .
INV:	now I'll start the story .
INV:	and you finish it .
INV:	the boy is trying to get the cookies and then xxx +...
CHI:	<xxx> [/?] he 0is [^ ev] gonna fall down [^ eu] .
INV:	can you say that again ?
CHI:	he fall down [^ ns] .
INV:	tell me one more thing about this picture .
CHI:	someone can turn the sink off .
INV:	what is happening in the picture ?
CHI:	it's snowing .
INV:	it's snowing .
INV:	and what else is happening in the picture ?
CHI:	they's [^ ew:are] [^ ev] making a snowman [^ eu] .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the boys are throwing snowballs and then xxx +...
CHI:	they're gonna snow on them [^ other] [^ eu] .
INV:	what did you say ?
CHI:	they're putting snow on them [^ ns] .
INV:	tell me one more thing about the story .
INV:	tell me one more thing about the story .
CHI:	I don't know [^ ns] .
INV:	what is happening in the picture ?
CHI:	I don't know [^ ns] .
INV:	just tell me anything about the picture .
CHI:	she 0is [^ ev] holding that [^ eu] .
CHI:	and nobody 0is [^ ev] holding that [^ eu] .
INV:	what else is happening in the picture ?
CHI:	I don't know [^ ns] .
INV:	can you look at the picture ?
CHI:	I don't know [^ ns] .
INV:	what else is happening here ?
CHI:	I don't know [^ ns] .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	oh_no, the bubbles spilled and then xxx +...
CHI:	look [^ ns] .
INV:	mhm .
INV:	and then what happens in the story ?
INV:	I want you to tell me about the picture .
CHI:	I don't know either [^ ns] .
INV:	tell me one more thing about this story .
CHI:	I don't know [^ ns] .
INV:	anything about this picture .
CHI:	I don't know [^ ns] .
INV:	what is happening in this picture ?
CHI:	there's a xxx there .
INV:	what else is happening in this picture ?
CHI:	I don't know [^ ns] .
INV:	just tell me anything else in the picture .
CHI:	I don't know [^ ns] .
INV:	the children are taking the donuts from the bag and then xxx +...
CHI:	the girl know [^ ev] what [^ earg] [^ eu] .
INV:	tell me one more thing about the story .
CHI:	I don't know [^ ns] .
INV:	just tell me anything else about the picture .
CHI:	I don't know [^ ns] .
INV:	what is happening in the picture ?
CHI:	they're crawling .
CHI:	and he xxx .
INV:	what else is happening in this picture ?
CHI:	the daddy say [^ ev] ssh [^ eu] .
INV:	the boy is taking his grandma's scissors and then xxx +...
CHI:	their grandma's looking down .
INV:	tell me one more thing about the story .
CHI:	I see a dog .
INV:	what is happening in the picture ?
CHI:	look [^ ns] .
INV:	tell me what's happening here .
CHI:	she's tired .
INV:	okay, she's tired .
INV:	and what else is happening in this picture ?
CHI:	she's awake .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the little girl is still in her pajamas and then xxx +...
CHI:	she asked the mom [^ earg] [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	the girl's taking this out .
INV:	what's happening in the picture ?
CHI:	water spilling out xxx .
INV:	what did you say ?
CHI:	the water 0is [^ ev] spilling out 0of [^ emorph] her hair [^ eu] .
INV:	what else is happening in this picture ?
CHI:	a dog's running .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the children are trying to wash the dog and then xxx +...
CHI:	it's <&d> [/?] dirty .
INV:	I'm sorry I can't hear you .
CHI:	<it's dirty it's> [/?] they're dirty [^ ns] .
INV:	tell me one more thing about the story .
CHI:	I don't know [^ ns] .
INV:	just tell me anything else about the picture .
CHI:	a boy has 0a [^ emorph] pail 0of [^ emorph] water and put it in
INV:	what's happening in the picture ?
CHI:	there's a dog under the couch .
INV:	what else is happening in this picture ?
CHI:	<she the> [/?] her mom's <&ha> [/?] here .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	oh_no, the dog ate some of the cake and then xxx +...
CHI:	xxx .
INV:	what did you say ?
CHI:	xxx .
INV:	tell me one more thing about the picture .
CHI:	the door's opened .
INV:	what's happening in the picture ?
CHI:	xxx .
INV:	what did you say ?
INV:	sorry I can't hear you .
CHI:	I don't know [^ ns] .
INV:	tell me something else about the picture .
CHI:	I don't know [^ ns] .
INV:	tell me anything you see here .
CHI:	a kitty 0is [^ ev] stuck in the tree [^ eu] .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the children see the cat .
INV:	and the cat is stuck in this tree and then xxx +...
CHI:	[^ earg] is sad [^ eu] .
INV:	tell me one more thing about the story .
CHI:	I don't know [^ ns] .
INV:	just tell me anything about this picture .
CHI:	I don't know [^ ns] .
INV:	what is happening in the picture ?
CHI:	the girl has her shoes .
CHI:	and her [^ ew:she] [^ epronoun] has <the> [/?] the daddy's hat
INV:	what else is happening in this picture ?
CHI:	I don't know [^ ns] .
INV:	tell me something else about the picture .
CHI:	I don't know [^ ns] .
INV:	okay, I'll start the start the story .
INV:	and you finish it .
INV:	the dog and the girl have daddy's shoes and then xxx +...
CHI:	her [^ ew:she] has the daddy's hat [^ ns] .
INV:	and what else can you tell me about this story ?
CHI:	I don't know [^ ns] .
INV:	tell me anything else about the picture .
CHI:	I don't know [^ ns] .
INV:	what's happening in the picture ?
CHI:	xxx .
CHI:	and the mom's running .
INV:	what else is happening in this picture ?
