participant	content
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
CHI:	her [^ ew:she] [^ epronoun] put [^ ev] it in there [^ eu] .
INV:	what's going to happen next ?
INV:	tell me one more thing about the picture .
CHI:	they're punching [^ earg] [^ eu] .
CHI:	<and> [/?] and xxx spilled .
CHI:	dad's looking in the mirror .
CHI:	&um a flood [^ ns] .
INV:	what's happening in the picture ?
CHI:	<&um the wagon the wagon> [/?] the wagon is messy .
INV:	what's happening in the picture ?
CHI:	grass is green [^ ns] .
INV:	what's happening in the picture ?
CHI:	her's [: she's] [*] hugging him [^ eu] .
INV:	what else is happening in this picture ?
CHI:	<playing her's coloring her's coloring her's coloring> [/?] her's
CHI:	0the [^ emorph] cake is on the table [^ eu] .
CHI:	grass is green [^ ns] .
INV:	what's going to happen next ?
INV:	what's happening in the picture ?
INV:	let's see .
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
INV:	no, that's grass .
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
CHI:	they're going shopping for food .
CHI:	they're raking [^ earg] [^ eu] .
INV:	tell me one more thing about the picture .
INV:	and what's going to happen next ?
INV:	the boys are throwing snowballs .
INV:	what's gonna happen in just a little while ?
CHI:	they're raking leafs .
INV:	what else is happening in this picture ?
INV:	what ?
CHI:	they're having the cake .
INV:	you hafta tell me .
INV:	tell me one more thing about the picture .
CHI:	why 0is the mother angry [^ ns] ?
INV:	what's going to happen next ?
CHI:	her's [: she's] [*] taking the donut [^ ns] .
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
INV:	the dog is in front of the bus .
INV:	tell me one more thing about the picture .
CHI:	the girl have [^ ew:has] [^ ev] daddy's shoes [^ eu] .
CHI:	mom's gonna be so angry .
INV:	and what's going to happen next ?
INV:	tell me one more thing about the picture .
CHI:	it's raining on the bus [^ eu] .
CHI:	see [^ ns] .
INV:	and the children are taking the donuts from the bag .
INV:	the children see the cat .
INV:	what's happening in the picture ?
INV:	and the bus can't move .
INV:	tell me anything else you see in the picture .
INV:	and what's going to happen next ?
INV:	and what's going to happen next ?
CHI:	her [^ ew:she] [^ epronoun] stepped in the water [^ eu] .
INV:	the dog is in front of the bus .
INV:	what else is happening in this picture ?
INV:	just tell me anything else you see in the picture .
CHI:	[^ earg] shoveling [^ eu] .
CHI:	they're gonna xxx .
INV:	what's going to happen next ?
INV:	what is going to happen in just a little bit while ?
CHI:	her's [: she's] [*] taking the donut [^ eu] .
INV:	okay .
INV:	I don't know .
CHI:	&um &um they all came in from the door .
INV:	what else is happening in this picture ?
INV:	the little girl is still in her pajamas .
CHI:	<hm> [/?] the water spilled .
CHI:	xxx also .
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the picture .
INV:	I think it has too much water .
CHI:	cake is on the table [^ ns] .
CHI:	he's blowing (.) the bubbles .
INV:	what's happening in the picture ?
INV:	tell me one more thing about the picture .
CHI:	why 0is the mother angry [^ ns] ?
CHI:	the girl [^ frag] [^ eu] .
INV:	look, the water is spilling all over the floor .
INV:	okay .
INV:	tell me about what else you see in the picture .
CHI:	him's [: he's] [*] coloring too [^ eu] .
INV:	and the bus can't move .
CHI:	<he> [/?] her [^ ew:she] [^ epronoun] says “stop” [^ eu] .
INV:	look, tell me one more thing about the picture .
CHI:	xxx is not this grass .
CHI:	they're fighting .
INV:	oh_no, the dog ate some of the cake .
INV:	the boy knocked the boxes off the shelf .
INV:	what is going to happen next ?
INV:	and what's going to happen next ?
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
INV:	what's going to happen next ?
INV:	so the dog spilled the water .
INV:	tell me one more thing about the story .
INV:	tell me one more thing about the picture .
CHI:	shoveling [^ ns] .
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	it's a dog under 0the [^ emorph] couch .
INV:	what else is happening in this picture ?
CHI:	why [^ ns] ?
CHI:	0 .
CHI:	her's [: she's] [*] gonna be angry [^ eu] .
CHI:	why putting leafs <in> [/?] in the bag [^ ns] ?
INV:	the mommy is driving .
CHI:	why <are> [/?] are xxx daddy's shoes [^ ns] ?
CHI:	dog xxx the water .
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
CHI:	it spilled .
INV:	the cat is stuck up in the tree .
CHI:	the girl's xxx daddy's shoes .
CHI:	&um [^ earg] climbing up <on a> [/?] on the chair and getting a
CHI:	&um her [^ ew:she] has xxx .
INV:	what ?
CHI:	hey, what is that water coming down [^ ns] ?
CHI:	&um 0the [^ emorph] boy 0is [^ ev] giving <it> [/?] his tie <back>
INV:	tell me one more thing about the picture .
INV:	just tell me anything else about the picture .
CHI:	her [^ ew:she] [^ epronoun] is putting the leafs <in in> [/?] in
CHI:	snow [^ ns] .
CHI:	<grass is grass is grass is> [/?] grass is green .
CHI:	<why why are &doin> [/?] <why> [/?] why they are doing that [^ ns]
INV:	the boy is trying to get the cookies .
INV:	what's going to happen next ?
CHI:	this is snow [^ ns] ?
CHI:	the doggy's behind the bus [^ ns] .
CHI:	<her> [/?] her [^ ew:she] [^ epronoun] 0is [^ ev] going to her
CHI:	snow is white .
INV:	what's happening in the picture ?
INV:	and what's going to happen in just a little while ?
INV:	oh_no, the bubbles spilled .
CHI:	<thee> [/?] this is the snow ?
CHI:	the sand spilled .
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
INV:	the boy is taking his grandma's scissors .
INV:	they are fighting .
INV:	what's happening in the picture ?
CHI:	it's snowing .
INV:	and what's going to happen in a little while ?
INV:	what's going to happen next ?
CHI:	&um they are so angry .
CHI:	the dog's [* s] on the branch .
INV:	what are they doing ?
CHI:	the bus is gonna crash into the dog .
INV:	so what will happen next ?
INV:	the daddy is hiding a doll behind his back .
INV:	and what's going to happen next ?
CHI:	the mommy is driving [^ earg] [^ eu] .
INV:	what's happening in the picture ?
CHI:	it's white .
INV:	the boys are fighting and the mom says stop .
CHI:	her's [: she's] [*] behind the bus [^ eu] .
INV:	tell me one more thing .
INV:	the boy is taking his grandma's scissors .
INV:	and what's going to happen in a little while ?
CHI:	the cat is gonna fall off the tree .
CHI:	why [^ ns] ?
CHI:	0 .
CHI:	her [: she] [*] <spilled> [/?] spilled it [^ eu] .
INV:	what's happening in the picture ?
INV:	tell me one more thing about the story .
INV:	what ?
CHI:	&um it has the <&f> [/?] flood .
CHI:	a snowman [^ ns] .
CHI:	they're mad .
CHI:	&um they are gonna shop .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	they raked the leaves into a big pile .
INV:	the dog and the girl have the daddy's shoes .
CHI:	what they are doing [^ ns] ?
CHI:	<water's he's &um he he's knock> [/?] he is all muddy .
CHI:	[^ earg] climbing up there and getting a cookie [^ eu] .
CHI:	a snowman [^ frag] [^ eu] .
INV:	tell me about what you see in the picture .
INV:	the dog ate some of the cake .
