participant	content
INV:	what is happening in the picture ?
CHI:	<an upstairs up steps a oh up the floor floor> [/?] up steps
INV:	up the steps ?
CHI:	yes [^ ns] .
INV:	okay .
INV:	what else is happening in this picture ?
CHI:	in a backpack [^ frag] [^ eu] .
INV:	a backpack ?
CHI:	<yeah> [/?] no, a bag [^ ns] .
INV:	a bag ?
CHI:	yes [^ ns] .
INV:	what about a bag ?
INV:	he has one ?
CHI:	yes [^ ns] .
INV:	okay, good job .
INV:	now I'm gonna start the start the story .
INV:	and you finish it .
INV:	the daddy is hiding a doll behind his back and then xxx +...
CHI:	she's back .
INV:	what ?
CHI:	in the backpack [^ ns] .
INV:	in the backpack ?
CHI:	yes [^ ns] .
INV:	and tell me one more thing about the story .
CHI:	&um in the back there [^ frag] [^ eu] .
INV:	in the back there ?
CHI:	yes [^ ns] .
INV:	okay, good job .
INV:	what is happening in the picture ?
CHI:	<&h> [/?] he can't reach that .
INV:	he can't reach that ?
CHI:	yes [^ ns] .
INV:	okay, good .
INV:	what else is happening in this picture ?
CHI:	she's walking .
INV:	she's walking, good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the boy knocked the boxes off the shelf and then xxx +...
CHI:	he can't reach it [^ ns] .
INV:	he can't reach it, good job .
INV:	and tell me one more thing about the story .
CHI:	&um she's walking [^ ns] .
INV:	she's walking, very good job .
INV:	what is happening in the picture ?
CHI:	and the bubble xxx .
INV:	what ?
CHI:	bubbles [^ ns] .
INV:	bubbles, okay good .
INV:	what else is happening in this picture ?
CHI:	in the book [^ frag] [^ eu] .
CHI:	in the book [^ ns] .
INV:	in the book ?
CHI:	no no no, in the bucket [^ ns] .
INV:	in the bucket .
INV:	okay good job .
CHI:	thanks [^ ns] .
INV:	now I'll start the start the story .
INV:	and you finish it .
CHI:	okay [^ ns] .
INV:	oh_no, the bubbles spilled and then xxx +...
CHI:	she's all clean .
CHI:	[^ earg] stand up [^ eu] .
CHI:	stand up [^ ns] .
INV:	she xxx +...
CHI:	she stand up [^ ns] .
INV:	okay, good .
INV:	good job .
INV:	what is happening in the picture ?
CHI:	she's in the stories .
INV:	hm ?
CHI:	stories [^ ns] .
INV:	stories ?
CHI:	yes [^ ns] .
INV:	okay, tell me something about the picture here .
CHI:	this one [^ ns] .
INV:	that one what ?
CHI:	that mama [^ ns] .
INV:	okay, good .
INV:	tell me something else about the picture .
CHI:	no, I can't reach that .
INV:	you can't reach it ?
CHI:	no, in the sink [^ ns] .
INV:	what about the sink ?
CHI:	&um .
INV:	what do you think ?
INV:	let's look at the picture, .
CHI:	I no see it [^ ns] .
INV:	okay, now I'll start the start the story .
INV:	and you finish it .
INV:	the water is spilling all over the floor and then xxx +...
CHI:	she's all clean .
INV:	it's all clean ?
CHI:	yes [^ ns] .
INV:	alright, good job .
CHI:	thank you [^ ns] .
INV:	and tell me one more thing about the story .
CHI:	<&um she> [/?] she spill [^ ev] [^ earg] on the floor [^ eu] .
INV:	she spilled on the floor .
CHI:	okay [^ ns] .
INV:	good job .
INV:	what is happening in the picture ?
CHI:	<she's &um> [/?] she's in the car .
INV:	<she's in the car> [>] .
INV:	<very good job> [>] .
CHI:	and the donut [^ ns] .
INV:	and the donut, alright good .
CHI:	good [^ ns] .
INV:	what else is happening in this picture ?
CHI:	and the donut [^ frag] [^ ns] .
INV:	okay, good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the children are taking the donuts from the bag and then xxx +...
CHI:	she's all clean [^ ns] .
INV:	what ?
CHI:	she's all clean [^ ns] .
INV:	she's all clean ?
CHI:	yes [^ ns] .
INV:	okay good .
INV:	and tell me one more thing about the story .
CHI:	mommy [^ frag] [^ eu] .
INV:	what about the mommy ?
CHI:	right there [^ ns] .
INV:	mhm, okay good .
INV:	good job .
INV:	what's happening in the picture ?
CHI:	in a floor [^ frag] [^ eu] .
INV:	the floor, okay good .
INV:	what else is happening in this picture ?
CHI:	in a floor and the baby [^ frag] [^ eu] .
INV:	okay, good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the boy is taking his grandma's scissors and then xxx +...
CHI:	she's all clean [^ ns] .
CHI:	her pocketbook [^ frag] [^ eu] .
INV:	what did you say ?
CHI:	her pocketbook [^ ns] .
INV:	a pocketbook ?
CHI:	yes [^ ns] .
INV:	where do you see a pocketbook ?
CHI:	right there [^ ns] .
INV:	okay good .
INV:	and tell me one more thing about the story .
CHI:	and the dog [^ frag] [^ eu] .
INV:	there's a dog .
INV:	alright good job .
INV:	what's happening in the picture ?
CHI:	right there [^ ns] .
INV:	just tell something about <the picture> [>] .
CHI:	<xxx> [<] .
CHI:	xxx .
INV:	this is the last one .
CHI:	oh, this one <(.)> [>] and this one [^ ns] .
INV:	<mhm> [<] .
INV:	can you look ?
INV:	look, look at what the boys are doing .
CHI:	xxx .
INV:	okay .
CHI:	okay [^ ns] .
INV:	tell me something else about the picture .
CHI:	&um this one [^ ns] .
INV:	look, what are they doing ?
CHI:	she's xxx in the window .
INV:	okay good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the boys are throwing snowballs and then xxx +...
CHI:	she throw [^ ev] it in [^ ew:at] [^ emorph] the snowman [^ eu] .
INV:	what about the snowman ?
CHI:	right there [^ ns] .
INV:	they're making a snowman ?
CHI:	yes [^ ns] .
INV:	okay .
INV:	and tell me one more thing about the story .
CHI:	&um grandma [^ frag] [^ eu] .
INV:	grandma ?
CHI:	yes [^ ns] .
INV:	okay good job .
INV:	what is happening in the picture ?
CHI:	she's <&t &t> [/?] take [* m:0ing] [^ emorph] the shoes [^ eu] .
CHI:	the girl's fun in the shoes [^ other] [^ eu] .
INV:	she what ?
CHI:	girl and doggy [^ ns] .
INV:	yes, there is a girl and a doggy .
INV:	okay good job and what else is happening in the picture ?
CHI:	the girl xxx .
INV:	what ?
CHI:	the girl still went to shave .
INV:	they went to what ?
CHI:	they went to xxx .
INV:	alright good job .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the dog and the girl have daddy's shoes and then xxx +...
CHI:	right there [^ ns] .
INV:	okay good and tell me one more thing about the story .
CHI:	&um the dog is putting daddy's shoes [^ earg] [^ eu] .
INV:	okay good job .
INV:	what is happening in the picture ?
CHI:	she's still looking in 0the [^ emorph] tree [^ eu] .
INV:	she's what in the tree ?
CHI:	ducking [^ ns] .
INV:	okay good .
INV:	what else is happening in the picture ?
CHI:	she's [^ ew:she] [^ ev] can't reach it [^ eu] .
INV:	she can't ?
INV:	she can't what ?
CHI:	she's can't reach it [^ ns] .
INV:	they can't reach it, okay good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the children see the cat .
INV:	the cat is stuck up in the tree and then xxx +...
CHI:	she's get [* m:0ing] [^ emorph] down [^ eu] .
INV:	she get down, okay good job .
INV:	and tell me one more thing about the story .
CHI:	<&um the girls> [/?] the girls, they see 0the [^ emorph] cat [^ eu]
INV:	the girls see the cat ?
CHI:	yes [^ ns] .
INV:	alright, good .
INV:	what is happening in the picture ?
CHI:	she's blowing 0out [^ emorph] the candle [^ eu] .
CHI:	but [^ emorph] she's all wet [^ eu] .
INV:	she's all what ?
CHI:	she's all wet [^ ns] .
INV:	she's all wet ?
CHI:	yes [^ ns] .
INV:	okay good .
INV:	what else is happening in the picture ?
CHI:	she's opening the door .
INV:	okay, good job .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	oh_no, the doggy ate some of the cake and then xxx +...
CHI:	they 0are [^ ev] sitting in [^ ew:on] [^ emorph] 0the [^ emorph]
INV:	okay good job .
INV:	and tell me one more thing about the story .
CHI:	<she's finish> [/?] 0the [^ emorph] dog is finish [* m:0ed]
INV:	dog finished eating the cake ?
CHI:	yeah [^ ns] .
INV:	alright good .
INV:	what is happening in the picture ?
CHI:	she is fill [* m:0ing] [^ emorph] the bucket 0and [^ emorph] go
INV:	she what ?
CHI:	she's filled the bucket go in the house [^ ns] .
INV:	the bucket goes in the house ?
CHI:	no no, <the baby fill the> [/?] she's go to house [^ ns] .
INV:	okay alright and what else is happening in this picture ?
CHI:	she's [^ ew:her] [^ epronoun] dog is finish [* m:0ed] [^ emorph]
CHI:	&um the little xxx finish .
CHI:	&um she fell down .
INV:	the dog is finished .
INV:	and it fell down ?
CHI:	yeah [^ ns] .
INV:	alright, that's very good .
INV:	now I'll start the start the story .
INV:	and you finish it .
CHI:	okay [^ ns] .
INV:	the children are trying to wash the dog and then xxx +...
CHI:	she's all clean .
INV:	she's all what ?
CHI:	she's all <clean> [>] xxx to all the house and <&g> [/?] get him a
INV:	<she's> [<] .
INV:	alright good job .
INV:	and tell me one more thing about the story .
CHI:	&um the girls 0are [^ ev] washing the dog [^ eu] .
INV:	good job .
INV:	that was really good .
INV:	what is happening in the picture ?
CHI:	she's run [* m:0ing] [^ emorph] in 0the [^ emorph] schoolbus [^ eu]
INV:	that's right, good .
INV:	and what else is happening in this picture ?
CHI:	she's take [* m:0ing] [^ emorph] a walk a [^ emorph] Scooby [^ eu]
INV:	she what ?
CHI:	she take a walk a doggy [^ ns] .
INV:	she what the doggy ?
CHI:	take a <&f> [/?] walk [^ ns] .
INV:	take a walk ?
CHI:	no take a walk a school bus [^ ns] .
INV:	take a walk for the school bus ?
CHI:	yeah [^ ns] .
INV:	okay .
INV:	now I'll start the start the story .
INV:	and you finish it .
CHI:	okay [^ ns] .
INV:	the dog is in front of the bus and the bus can't move .
