participant	content
INV:	what else is happening in this picture ?
INV:	what's going to happen next ?
INV:	say that again .
CHI:	&um the shoe is <on the wrong feet> [/?] on the wrong foot .
INV:	what's going to happen next ?
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
CHI:	a tree is [^ earg] [^ eu] .
INV:	what's happening in the picture ?
CHI:	he's going 0to [^ emorph] put them all up [^ eu] .
INV:	the dog spilled the water on the girl .
INV:	what's going to happen next ?
INV:	look, the bubbles spilled .
INV:	and what is going to happen in just a little bit while ?
CHI:	&um he 0is looking [^ ev] in the mirror [^ eu] .
INV:	what else is happening in this picture ?
INV:	look, the boy knocked the boxes off the shelf .
CHI:	but two boys are fighting .
CHI:	not in the back seat, the front seat [^ ns] .
CHI:	the boy [^ frag] .
INV:	can you take a look ?
INV:	look, the little girl is still in her pajamas .
CHI:	they are going to grab it [^ ns] .
CHI:	and he is grabbing the sandbucket from him [^ ns] .
INV:	look, the boys are throwing snowballs .
INV:	and the boy what ?
CHI:	it's going 0to [^ emorph] fall out [^ eu] .
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
INV:	say that again .
INV:	a girl and a boy think what ?
CHI:	&um it's driving .
INV:	what's happening in the picture ?
INV:	what's going to happen next ?
INV:	look, the boy is taking his grandma's scissors .
INV:	what's going to happen next ?
INV:	what's happening in the picture ?
CHI:	and &um the boy got a cookie in his hand .
INV:	who is looking in the mirror ?
CHI:	&um they're going snowball fight [* m:0ing] [^ emorph] [^ eu] .
INV:	what's happening in the picture ?
CHI:	&um they are going to grab it .
CHI:	he's brooming [^ ew:sweeping] [^ elexical] [^ eu] .
INV:	look the dog is in front of the bus .
INV:	and the cat is stuck in the tree .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
CHI:	he is a dog .
CHI:	a girl and boy think it's raining .
INV:	tell me one more thing about the picture .
INV:	say that again .
CHI:	<a bucket> [/?] a [^ ew:the] [^ emorph] water is &um pouring
CHI:	there's two xxx .
INV:	what's going to happen next ?
