participant	content
INV:	she's taking .
INV:	what is happening in the picture ?
INV:	she can't wake up, very good .
CHI:	<and> [/?] and he wants it back .
CHI:	I can't do this one [^ ns] .
INV:	now I'll start the start the story .
INV:	okay very good .
INV:	and they can't because what ?
CHI:	&um he's holding the plate .
CHI:	and then he just went there .
INV:	they can not come out .
INV:	good job .
CHI:	can't do it [^ ns] .
INV:	and what else is happening in the picture ?
CHI:	can't do it [^ ns] .
CHI:	&um 0the [^ emorph] wagon can't <&m> [/?] move [^ eu] .
CHI:	I can't do <it> [/?] this one [^ ns] .
INV:	look at the picture .
INV:	and then what happens in the story .
INV:	tell me something else about the picture .
INV:	it's gonna go in his way .
CHI:	&um the back of the bus cannot move .
INV:	and then what happens in the story ?
INV:	now I'll start the start the story .
INV:	the car can't move, very good .
INV:	okay good job .
CHI:	<&um &th> [/?] they can't .
CHI:	<and> [/?] and &um she wants to do it [^ ns] .
INV:	now I'll start the start the story .
CHI:	<&um they> [/?] they wanna go on the bike .
INV:	the boy knocked the boxes off the shelf .
CHI:	yeah [^ ns] .
INV:	what else is happening in the picture ?
CHI:	&um they're pulling [^ earg] [^ eu] .
INV:	what else is happening in the picture ?
INV:	the children are taking the donuts from the bag .
CHI:	<and> [/?] and one kid went <on> [/?] back on the tree .
INV:	the birds came .
CHI:	and then &um he can't .
CHI:	and he almost broke it .
INV:	oh_no, this one's gonna fall too ?
INV:	what is happening in the picture ?
INV:	can you take your hand out of your mouth ?
CHI:	and and came the birds [^ ns] .
CHI:	yep [^ ns] .
INV:	what else is happening in the picture ?
CHI:	<he's &ho> [/?] he's holding that guy's tie .
INV:	and you finish it .
INV:	they have what all over their face ?
CHI:	<&um drink> [/?] they wash it with this .
INV:	in the pirate ?
INV:	okay, I'll start the start the story .
CHI:	&um the shovel's going in the sand .
INV:	very good .
CHI:	can't do it [^ ns] .
INV:	and then what happens in the story ?
INV:	okay, tell me one more thing about the story .
INV:	and she wants to do it, very good .
INV:	pimples ?
CHI:	&um the car can't move .
CHI:	<so and then> [/?] and then he <did> [/?] didn't give it to him .
