participant	content
INV:	tell me one more thing about the picture .
CHI:	they're getting groceries .
CHI:	<I can't> [/?] I don't know [^ ns] .
INV:	what's happening in the picture ?
CHI:	I don't know [^ ns] .
CHI:	and there's the mommy .
CHI:	did you say I was going to get another cookie [^ ns] ?
CHI:	and there's a girl .
CHI:	the fire is burning .
CHI:	she splashed [^ ns] .
CHI:	one more thing [^ ns] .
INV:	just tell me one more thing about the picture .
CHI:	0 .
CHI:	the dog's running .
CHI:	0 .
INV:	and what's going to happen next ?
INV:	what else is happening in this picture ?
CHI:	0 .
CHI:	she splashed [^ ns] .
CHI:	I pick one [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	and <he> [/?] he's on this tree .
CHI:	the friends came .
CHI:	and there's a boy .
INV:	tell me what else you see in the picture .
INV:	what else is happening in this picture ?
INV:	and what's going to happen next ?
CHI:	0 .
INV:	what's happening in the picture ?
CHI:	grandpa's sitting on the chair .
CHI:	0 .
CHI:	and he has a ball .
CHI:	and he put a bucket down .
INV:	what's happening in the picture ?
CHI:	a tree [^ ns] .
CHI:	I don't know [^ ns] .
INV:	what else is happening in this picture ?
INV:	<what else is happening in this picture> [<] ?
CHI:	&um they're trying to pull the dog back [^ ns] .
INV:	what else is happening in this picture ?
CHI:	one boy and two girls and a papa [^ ns] .
INV:	and what's going to happen next ?
CHI:	he's crying .
CHI:	0the [^ emorph] bubbles blow [^ ev] [^ eu] .
CHI:	0 .
CHI:	and there's the girl .
INV:	what else is happening in this picture ?
INV:	what will happen in just a little while ?
CHI:	he puts down the bucket [^ ns] .
CHI:	&um the daddy's getting the boy [^ earg] [^ eu] .
CHI:	0 .
INV:	what will happen in just a little while ?
CHI:	they're trying to pull the dog back .
CHI:	0 .
INV:	the cat is stuck up in the tree .
CHI:	they have their seatbelts on .
INV:	what's happening in the picture ?
CHI:	I can't remember about it [^ ns] .
INV:	what else is happening in this picture ?
CHI:	and <she wants to go to sleep> [>] .
CHI:	0 .
INV:	just this one .
INV:	and what's going to happen next ?
INV:	what will happen in just a little while ?
INV:	and what's going to happen next ?
INV:	what else is happening in this picture ?
CHI:	the water spills .
INV:	the children are taking the donuts from the bag .
CHI:	one more thing [^ ns] .
INV:	and what's going to happen next ?
CHI:	he's shoveling the snow .
CHI:	I can't remember [^ ns] .
CHI:	I don't remember when I came here [^ ns] .
CHI:	why is <his> [/?] his face like that [^ ns] ?
INV:	just tell me anything else about the picture .
CHI:	she's looking out of a car .
INV:	what will happen in just a little while ?
INV:	and what's going to happen next ?
CHI:	0 .
INV:	what's happening in the picture ?
CHI:	0 .
INV:	and what's going to happen next ?
CHI:	there's the mommy .
CHI:	they have their seatbelts on [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	the momma's running to put them in time-out .
CHI:	the cat sat .
INV:	what else is happening in the picture ?
CHI:	<the dog's under the couch> [>] .
INV:	and then what will happen in just a little while ?
INV:	tell me one more thing about the picture .
CHI:	and it's falling .
CHI:	it's a very hard picture to understand [^ ns] .
CHI:	0 .
INV:	the children see the cat .
CHI:	they're pulling the bucket from each other .
CHI:	I don't know [^ ns] .
INV:	the little girl is still in her pajamas .
CHI:	I guess that little kid xxx +...
CHI:	the boy's running to his daddy .
INV:	okay, tell me one more thing about the picture .
CHI:	and there's the daddy .
INV:	just tell me anything else about the picture .
CHI:	&um he's driving [^ ew] that cart [^ eu] .
INV:	the children are trying to wash the dog .
INV:	tell me one more thing about the picture .
CHI:	0 .
CHI:	&um the squirrel's climbing down this tree .
CHI:	one more thing [^ ns] ?
INV:	what's happening in the picture ?
CHI:	and she's running .
INV:	what will happen in just a little while ?
CHI:	she splashed [^ earg] [^ eu] again .
INV:	what else is happening in this picture ?
CHI:	and the momma's angry .
INV:	and what's going to happen next ?
CHI:	he's running to his daddy .
INV:	what's happening in the picture ?
INV:	but we're looking at these pictures now, for the first time .
INV:	just tell me anything else about the picture .
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
CHI:	the light's on [^ ns] .
CHI:	he's climbing up .
CHI:	&um the cat sees the kids .
INV:	what's happening in the picture ?
CHI:	she's pushing the groceries <in 0the [^ emorph] cart> [>] [^ eu] .
CHI:	&um she's blowing bubbles .
INV:	and what's going to happen next ?
INV:	just tell me anything else about the picture .
INV:	what's happening in the picture ?
INV:	okay .
INV:	the boy is taking his grandma's scissors .
INV:	tell me one more thing about the picture .
CHI:	the boy's getting some .
CHI:	0 .
CHI:	and they're standing and look [* m:0ing] [^ emorph] at [^ earg]
INV:	just tell me what you see in the picture .
CHI:	and they're eating a lot of donuts from the bag .
INV:	<what else is happening in this picture> [<] ?
CHI:	she's wearing her pajamas .
CHI:	he splashed [^ ns] .
INV:	what will happen in just a little while ?
INV:	the daddy is hiding a doll behind his back .
CHI:	he's getting a cookie .
INV:	what's happening in the picture ?
INV:	one minute .
INV:	tell me one more thing about the picture .
CHI:	they're making a snowman .
CHI:	&um she's throwing the snowball .
CHI:	&um the light's on .
CHI:	<splashed> [/?] he splashed [^ earg] [^ eu] .
CHI:	I don't know [^ ns] .
CHI:	&um the car stopped .
CHI:	I don't remember what else happens in the picture [^ ns] .
INV:	tell me one more thing about the picture .
INV:	just tell me anything else about the picture .
INV:	what's going to happen next ?
CHI:	when another one comes [^ ns] ?
CHI:	and she has candy .
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
CHI:	and she is running .
INV:	in two more pictures you get another cookie .
CHI:	&um the car's driving .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
CHI:	papa's saying ssh .
CHI:	[^ earg] puts down the bucket [^ eu] .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	can you tell me that again ?
CHI:	&um he's not giving him a bath .
CHI:	&um one more [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	the momma's running .
INV:	tell me about what else you see in the picture .
INV:	the boy knocked the boxes off the shelf .
CHI:	<he's> [/?] food [^ frag] [^ eu] .
CHI:	<and this stool> [/?] and this stool is tipping .
CHI:	and all the wood fell out .
INV:	just tell me anything else about the picture .
CHI:	they're brushing [^ earg] [^ eu] .
INV:	just tell me what you see in the picture .
CHI:	a dog is trying to go up the tree .
CHI:	<and she brought> [/?] and they brought a present .
INV:	and what's going to happen next ?
INV:	what else is happening in this picture ?
CHI:	the bucket fell .
INV:	and what's going to happen next ?
CHI:	and she spilled the leafs .
INV:	just tell me what you see in the picture .
INV:	what's happening in the picture ?
INV:	tell me one more thing about the picture .
CHI:	the boy wants the picture .
INV:	<tell me one more> [<] thing about the picture .
INV:	what else is happening in this picture ?
INV:	and what's going to happen next ?
CHI:	0 .
INV:	the dog and the girl have the daddy's shoes .
CHI:	&um she wants to go to bed .
INV:	just tell me what you see in the picture .
CHI:	I can't remember about it [^ ns] .
INV:	just tell me what you see in the picture .
CHI:	he's going in a policeride [: policecar] [^ eu] .
INV:	what else is happening in this picture ?
INV:	now what's going to happen next ?
CHI:	I can't remember about it [^ ns] .
INV:	tell me one more thing about the picture .
