participant	content
INV	and what's going to happen next 
CHI	a truck is coming 
CHI	 she's  she's pushing a cart 
CHI	 she spilled the water 
CHI	she's holding some paper 
INV	what's happening in the picture 
CHI	but she's driving 
CHI	but she's  
CHI	but he's raking 
INV	and then what's going to happen next 
INV	and what is going to happen next 
CHI	he he is is  he   she is putting water with her hands
INV	what's happening in the picture 
CHI	that  that bucket spilled 
INV	okay she's dumping it in the bowl okay 
INV	what's happening in the picture 
INV	yeah and then  
INV	tell me about what else you see in the picture 
CHI	but there's some on the cake 
CHI	she she's  she's in the tree 
CHI	and  and the cheeks  
CHI	she's getting an orange 
INV	tell me one more thing about this picture 
INV	and tell me one more thing about the picture 
INV	what's happening in the picture 
CHI	and  the eyes  
CHI	 they're gon they're   they're gonna do something 
CHI	 that  that wall have 
CHI	she's gonna fall down 
CHI	he's holding the book 
INV	just tell me what you see in the picture 
CHI	he's getting one cookie 
CHI	and there's a pot right there 
INV	what else is happening in this picture 
INV	what's happening in this picture 
INV	tell me one more thing about the picture 
INV	tell me one more thing about the picture 
CHI	 the boy is looking at her 
INV	what's happening in this picture 
INV	okay 
INV	what's happening in the picture 
CHI	because she's washing the 
CHI	she she  she's trying to get her down 
INV	and what is going to happen next 
CHI	he's falling 
INV	and then what will happen in just a little bit while 
INV	what else is happening in the picture 
CHI	he  he's  to the  of the sandwich 
CHI	they're gonna broke  
CHI	she's running out the door 
INV	what else is happening in this picture 
CHI	with her hands  
CHI	 he's make he's  they're making a snowman 
CHI	he's giving it  he's giving it to his daddy 
INV	and what is going to happen next 
INV	and what is going to happen next 
INV	tell me one more thing about the picture 
INV	tell me one more thing about the picture 
CHI	yeah  
INV	so what is going to happen next 
CHI	she's getting the cookie 
INV	and then what will happen in just a little bit while 
CHI	she's she's  she's carrying the snow 
CHI	she's crying 
INV	and then what is going to happen next 
INV	and then what will happen in just a little bit while 
INV	okay 
INV	because she's washing  
INV	what else is happening in this picture 
CHI	there's a wagon 
CHI	 she's  
INV	and what's happening in the picture 
CHI	 she's trying to get those holes 
INV	okay [] 
INV	what is happening in the picture 
CHI	and she wants to go to sleep 
CHI	her hands  
CHI	he's taking it away from her 
CHI	  she's falling on him 
INV	they're gonna broke it okay 
INV	what else is happening in the picture 
CHI	and she's  she's  dumping it in the bowl 
CHI	she's closing her eyes 
CHI	 she's  she's gonna do something 
CHI	 she's running 
INV	just tell me one more thing about the picture 
CHI	 she's   the dog's gonna do something 
CHI	they're brooming  
INV	what else is happening in the picture 
CHI	and 
CHI	he got the shoe 
INV	what else is happening in this picture 
CHI	he got one on his cheek 
CHI	she's gonna do something  
INV	tell me one more thing about this picture 
CHI	 he's  
INV	okay [] 
CHI	 but she's sitting 
INV	what's happening in this picture 
CHI	 she's throwing some snowballs 
INV	what's happening in the picture 
INV	tell me one more thing about this picture 
CHI	 they're coming  
INV	tell me one more thing about the picture 
INV	okay it is going to snow tonight 
INV	tell me one more thing about the picture 
INV	she's crying 
CHI	because she's going to give her daddy a hug 
INV	okay 
INV	what else is happening in the picture 
INV	okay what else is happening in this picture 
INV	and what's going to happen next 
INV	and what is going to happen next 
CHI	   
INV	okay and what is going to happen next 
INV	okay she is trying to get her down 
CHI	 she's gonna do something  
INV	tell me one more thing about the picture 
INV	so then they are making a snowman 
INV	and what else is happening in this picture 
CHI	they're coming 
CHI	 the man is driving the the  the  the the  the school
CHI	the dog is spilling the water 
INV	just tell me what you see in this picture 
INV	tell me one more thing about the picture 
CHI	but she's jumping in the leafs 
INV	tell me one more thing about this picture 
CHI	he spilled that 
CHI	 
INV	just tell me one more thing about the picture 
CHI	she's yawning 
INV	and then what will happen in just a little bit while 
INV	say that again again 
INV	what's happening in this picture 
INV	what's happening in the picture 
INV	what's happening in the picture 
CHI	 he's  he's crawling 
CHI	 he's holding the doll 
CHI	he's cutting that 
INV	what else is happening in this picture 
CHI	because they already got cheeks 
CHI	a dog  
INV	what's happening in the picture 
CHI	they forgot the eyes and nose and the mouth 
INV	so what is going to happen next 
INV	and what's going to happen next 
INV	she's running okay 
INV	okay a truck is coming 
INV	okay he is holding the doll 
CHI	 he's  he's gonna do something 
INV	what else is happening in this picture 
CHI	 they're riding in the car 
CHI	      
CHI	he's pulling the bucket 
INV	what else is happening in the picture 
INV	what is going to happen next 
INV	okay [] 
INV	and what else is happening in this picture 
INV	what's happening in this picture 
CHI	she's   he's holding some cake 
CHI	 they're pulling the dog 
