participant	content
INV:	what else is happening in this picture ?
INV:	let's look at this one .
CHI:	juice [^ frag] [^ eu] .
INV:	what do you think ?
CHI:	it's [^ auxp] sposta get [^ elexical] on 0the [^ emorph] table
INV:	what's happening in the picture ?
CHI:	they're standing the dogs now [^ ns] .
CHI:	she's a big girl .
INV:	and here comes the mom .
CHI:	<she she> [/?] she is picking this .
INV:	and what's going to happen next ?
CHI:	and she's popping the bubbles [^ eu] .
INV:	they're what ?
CHI:	&um a dog is running .
CHI:	they're riding a bus .
INV:	what's happening in the picture ?
CHI:	<&sh> [/?] she's rubbing her hands .
CHI:	<she> [/?] she is coloring .
INV:	tell me one more thing about the picture .
CHI:	and <there's the shovel &n> [/?] there's the shovel .
CHI:	the pig is outside in the mud .
CHI:	he's having [^ ew] [^ elexical] a shoe in a mouth [^ eu] .
INV:	and the boys are fighting .
INV:	what else is happening in this picture ?
INV:	and what's going to happen next ?
INV:	what else is happening in this picture ?
CHI:	the dog is having [^ ew] [^ elexical] a foot [^ ew:shoe]
INV:	what's going to happen next ?
CHI:	the dog is going in a bus .
INV:	what's happening in the picture ?
CHI:	there's another one there .
INV:	so the daddy is hiding a doll behind his back .
INV:	oh_no, the dog ate some of the cake .
CHI:	he's falling .
CHI:	he is cutting [^ earg] [^ eu] .
CHI:	<see she &sh> [/?] she call [* m:03s] [^ ev] her dad [^ eu] .
CHI:	he is full of bucket [^ other] [^ eu] .
INV:	okay .
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
INV:	and what's going to happen next ?
INV:	uhuh .
CHI:	<&h> [/?] he [^ ew:she] is riding a bike [^ eu] .
CHI:	the water's falling all the way <on the on the> [/?] on the floor .
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the picture .
CHI:	&um the cat is in the tree .
INV:	the dog is going in a bus .
CHI:	he's looking at the mirror .
CHI:	look [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	she's riding [^ earg] [^ eu] .
INV:	the what ?
CHI:	and here's the shovel .
CHI:	she get [^ ev] bubbles [^ eu] .
INV:	so the dog is running .
CHI:	and she is xxx +...
INV:	so she's eating .
INV:	and what's going to happen next ?
INV:	tell me one more thing about the picture .
CHI:	and mom is telling it [^ ew] “no” [^ eu] [^ other] .
INV:	what's happening in the picture ?
CHI:	they're fighting over the bucket .
INV:	tell me one more thing about the picture .
INV:	and what's going to happen next ?
CHI:	<he> [/?] he cleaned the leafs up .
CHI:	<he> [/?] the girl is giving him a donut .
INV:	what else is happening in this picture ?
CHI:	is that juice [^ ns] ?
INV:	and what's going to happen next ?
CHI:	and daddy is here (.) to pick her up [^ eu] .
CHI:	this [^ ns] .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	what's gonna happen in a little while ?
CHI:	the car is in there .
CHI:	the xxx is xxx gates .
INV:	what else is happening in this picture ?
INV:	what ?
INV:	what's happening in the picture ?
INV:	the boy is trying to get the cookies .
INV:	what else is happening in this picture ?
INV:	so he is cutting .
CHI:	we're not haves [^ ew] [^ ev] shoes in our mouth [^ eu] .
INV:	what ?
CHI:	she's [^ ew:she] [^ ev] is a big girl [^ eu] .
INV:	and what's going to happen next ?
INV:	just tell me anything you see in the picture .
INV:	the children are taking the donuts from the bag .
CHI:	all over xxx cake .
CHI:	look [^ ns] .
CHI:	a backpack [^ frag] [^ eu] .
INV:	oh_no, the bubbles spilled .
INV:	and what's going to happen next ?
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the picture .
CHI:	&um the food is falling .
CHI:	<they're> [/?] they're raking [^ earg] [^ eu] .
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
CHI:	she's getting a plate .
INV:	tell me one more thing about the picture .
CHI:	he ran in the mud .
INV:	what else is happening in this picture ?
CHI:	they're making a snowman .
CHI:	he's making bread .
INV:	tell me one more thing about the picture .
CHI:	he's giving this to the dad .
INV:	so the dog has a shoe in his mouth .
INV:	so they're raking .
INV:	so they're making a snowman .
INV:	tell me one more thing about the picture .
INV:	and what's going to happen next ?
CHI:	she 0is [^ ev] wearing shoes on her feet [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	she's pouring juice .
INV:	what's happening in the picture ?
CHI:	<and he> [/?] and xxx +...
CHI:	and the cat's stuck .
CHI:	the light is shining .
CHI:	he's getting the dog with the broom [^ eu] .
CHI:	and it's stuck .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
CHI:	look [^ ns] .
CHI:	and daddy is standing .
INV:	what else is happening in this picture ?
CHI:	she's eating .
INV:	what's happening in the picture ?
CHI:	<they're &um they're> [/?] they're standing the dogs [^ ew:dog]
INV:	so they're trying to save the cat .
CHI:	<&h> [/?] he's saving the cat .
INV:	what's happening in the picture ?
CHI:	she's walking .
CHI:	<he's> [/?] he's wearing a scarf .
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
CHI:	<they don't they can jump> [/?] they're jumping to reach the cat .
CHI:	&um she's eating popcorn .
CHI:	the bus is leaving without them .
INV:	and what's going to happen next ?
INV:	what else is happening in this picture ?
CHI:	she's trying to get the dog .
INV:	tell me one more thing about the picture .
CHI:	he's shoveling [^ earg] [^ eu] .
INV:	and what's going to happen next ?
CHI:	there's the wagon .
INV:	and what's going to happen next ?
INV:	the little girl is still in her pajamas .
CHI:	<I &s> [/?] I see a baby .
CHI:	<&um the tree branches is> [/?] the tree branch <is> [/?] is broken
CHI:	they're getting fruit .
CHI:	they're getting carts .
CHI:	the cake is on the floor .
CHI:	<they're fighting over the> [/?] they're fighting over the bucket
CHI:	why is not popping [^ ns] ?
INV:	so they're getting carts .
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
INV:	and what's going to happen next ?
INV:	what's happening in the picture ?
CHI:	they're falling .
INV:	what's going to happen next ?
INV:	and the cat's stuck .
