participant	content
CHI:	no take a walk a school bus [^ ns] .
CHI:	yes [^ ns] .
INV:	the dog is finished .
INV:	alright, good .
INV:	okay good job .
INV:	she get down, okay good job .
INV:	he has one ?
CHI:	<xxx> [<] .
INV:	okay .
INV:	and you finish it .
INV:	and tell me one more thing about the story .
INV:	okay .
INV:	you can't reach it ?
INV:	and the donut, alright good .
INV:	good okay and can you tell me one more thing about the story .
INV:	now I'll start the start the story .
INV:	now I'll start the start the story .
CHI:	this one tripped .
CHI:	yes [^ ns] .
INV:	we're all done with that .
CHI:	they went to xxx .
INV:	now I'll start the start the story .
CHI:	in the book [^ ns] .
CHI:	no no, <the baby fill the> [/?] she's go to house [^ ns] .
INV:	what else is happening in this picture ?
INV:	now I'll start the start the story .
CHI:	yes [^ ns] .
CHI:	<an upstairs up steps a oh up the floor floor> [/?] up steps
INV:	what do you think ?
CHI:	that mama [^ ns] .
INV:	the girl is what in the leaf ?
INV:	okay good .
INV:	and here comes mommy .
INV:	alright good and tell me one more thing about the story .
CHI:	they get bad .
INV:	tell me anything else about the picture .
CHI:	she's opening the door .
INV:	okay good job .
CHI:	this one [^ ns] .
INV:	what else is happening in the picture ?
CHI:	<spilled> [/?] but [^ ew] [^ emorph] they spilled .
INV:	the little girl is still in her pajamas and then xxx +...
INV:	good job .
CHI:	she's can't reach it [^ ns] .
CHI:	xxx .
INV:	yeah, this one is what, crying ?
INV:	good job .
CHI:	they 0are [^ ev] sitting in [^ ew:on] [^ emorph] 0the [^ emorph]
CHI:	in a backpack [^ frag] [^ eu] .
INV:	where do you see a pocketbook ?
INV:	and you finish it .
INV:	that was really good .
CHI:	yes [^ ns] .
CHI:	she's all clean .
INV:	take a walk ?
INV:	go to the house and get in the cage ?
INV:	in the book ?
INV:	she's what in the tree ?
CHI:	she's <&t &t> [/?] take [* m:0ing] [^ emorph] the shoes [^ eu] .
CHI:	the girl's fun in the shoes [^ other] [^ eu] .
CHI:	and the donut [^ frag] [^ ns] .
CHI:	she's xxx the house 0and go night_night .
CHI:	oh, this one <(.)> [>] and this one [^ ns] .
CHI:	she's [^ ew:her] [^ epronoun] dog is finish [* m:0ed] [^ emorph]
CHI:	but [^ emorph] she's all wet [^ eu] .
INV:	okay, tell me something about the picture here .
INV:	the daddy is hiding a doll behind his back and then xxx +...
CHI:	0the [^ emorph] baby's all_done to get <&ba> [/?] back home
INV:	alright good .
INV:	she jumped into a tree ?
INV:	she can't ?
INV:	okay good .
CHI:	yeah [^ ns] .
INV:	now I'll start the start the story .
INV:	okay good job and what else is happening in the picture ?
CHI:	she's all <clean> [>] xxx to all the house and <&g> [/?] get him a
INV:	the boys are throwing snowballs and then xxx +...
CHI:	<she's reap> [/?] she's real yucky [^ ns] .
INV:	now I'll start the start the story .
CHI:	she's yucky .
CHI:	yeah [^ ns] .
CHI:	and the donut [^ ns] .
CHI:	<she's finish> [/?] 0the [^ emorph] dog is finish [* m:0ed]
CHI:	right there [^ ns] .
INV:	in the back there ?
INV:	alright good job .
INV:	very good stories .
INV:	the boy is taking his grandma's scissors and then xxx +...
INV:	okay, good .
CHI:	no no no, in the bucket [^ ns] .
INV:	and you finish it .
CHI:	&um she fell down .
INV:	okay, good job .
INV:	okay, good .
INV:	and you finish it .
INV:	she spilled on the floor .
INV:	okay good .
CHI:	yes [^ ns] .
CHI:	yeah [^ ns] .
INV:	okay good .
INV:	and you finish it .
INV:	and tell me one more thing about the story .
INV:	alright, good job .
INV:	what is happening in the picture ?
