participant	content
INV:	and what's going to happen next ?
CHI:	he's gonna fall .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
INV:	just tell me anything else about the picture .
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
INV:	tell me about what else you see in the picture .
CHI:	why is the bag in front [^ ns] ?
CHI:	and his head comes off .
CHI:	0the [^ emorph] crescent moon face's <going this way> [/?] going
INV:	what's happening in the picture ?
INV:	just tell me anything else about the picture .
INV:	tell me about what else you see in the picture .
CHI:	the dad has a short tie .
CHI:	[^ earg] shouldn't be triangles [^ eu] .
CHI:	his momma is driving .
INV:	the daddy is hiding a doll behind his back .
INV:	what else is happening in this picture ?
CHI:	they will crash and spill [^ earg] [^ eu] .
INV:	just tell me what you see in the picture .
CHI:	the dog splashed water .
CHI:	I don't know [^ ns] .
CHI:	he will be dirty again .
INV:	what's going to happen next ?
INV:	and what's going to happen next ?
INV:	tell me one more thing about the picture .
INV:	oh_no, the dog ate some of the cake .
INV:	tell me about what else you see in the picture .
INV:	tell me one more thing about the picture .
CHI:	I don't know [^ ns] .
INV:	and what's going to happen next ?
CHI:	the doll [^ ns] .
INV:	what's happening in the picture ?
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
CHI:	there's another bucket .
CHI:	and he's crying .
CHI:	0 .
CHI:	they're both boys .
CHI:	the cat is sad .
INV:	just tell me what you see .
INV:	what's happening in the picture ?
CHI:	and they will be dead [^ ns] .
CHI:	<they want each &buc> [/?] they want the red bucket .
CHI:	they're <throwing> [/?] throwing snowballs .
INV:	what's happening in the picture ?
CHI:	he's gonna snip that thing .
INV:	what's going to happen in just a little while ?
CHI:	he's getting [^ ew:putting] [^ elexical] out the leafs in the
INV:	<what else is happening in this picture> [>] ?
CHI:	0 .
CHI:	not him [^ ns] .
INV:	and what's going to happen next ?
CHI:	the cat is looking down .
CHI:	shouldn't be triangles where my finger is [^ ns] .
INV:	what else is happening in this picture ?
INV:	just tell me what you see in the picture .
CHI:	I don't know [^ ns] .
INV:	what's happening in the picture ?
INV:	just tell me anything about this picture .
INV:	what's happening in the picture ?
INV:	that's not nice .
INV:	what else is happening in this picture ?
CHI:	they are afraid .
INV:	what's going to happen in just a little while ?
CHI:	[^ earg] leaning over [^ earg] [^ eu] .
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
CHI:	they got the dog <after> [/?] after [^ ew] [^ emorph] 0det
CHI:	he's going to do [^ ew] the pop [^ other] [^ eu] .
CHI:	he's very angry .
CHI:	<the boy> [<] has a donut in his hand .
INV:	the boy is trying to get the cookies .
INV:	the boy knocked the boxes off the shelf .
CHI:	&um what's wrong with that [^ ns] ?
CHI:	she has his shoes .
CHI:	he's crawling .
INV:	what else is happening in this picture ?
CHI:	<and they're> [/?] and <they're> [/?] they are not raking [^ earg]
INV:	and what's going to happen next ?
INV:	what's going to happen in just a little while ?
INV:	tell me one more thing about the picture .
CHI:	<both of those one of those> [/?] a girl is pushing the cart
INV:	just tell me anything else about the picture .
INV:	what else is happening in this picture ?
INV:	and the bus can't move .
INV:	tell me one more thing about the picture .
INV:	and what's going to happen next ?
CHI:	the dog is on the street .
INV:	can you tell me that again ?
INV:	can you tell me that again ?
INV:	the boys are throwing snowballs .
INV:	what's going to happen in just a little while ?
INV:	the children are taking the donuts from the bag .
INV:	tell me one more thing about the picture .
INV:	what's going to happen in just a little while ?
INV:	the dog and the girl have the daddy's shoes .
INV:	tell me one more thing about the picture .
INV:	the dog is in front of the bus .
INV:	they raked the leaves into a big pile .
CHI:	and then he will chop [x 4] [^ earg] [^ eu] .
CHI:	and she has his tie [^ eu] .
CHI:	I don't know [^ ns] .
CHI:	0 .
INV:	what's happening in the picture ?
CHI:	&um it's not aiming to [^ ew:at] [^ emorph] the sidewalk at all
CHI:	she doesn't have a coat .
CHI:	she has bubbles in her hand .
INV:	what's going to happen in just a little while ?
INV:	what else is happening in this picture ?
CHI:	I don't know [^ ns] .
INV:	and what's going to happen in just a little while ?
CHI:	0 .
INV:	and what will happen in just a little while ?
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
CHI:	the doggy is under the couch .
INV:	and what's going to happen next ?
CHI:	look at the mom and dad .
CHI:	they will be dead .
INV:	and what's going to happen next ?
CHI:	what's wrong with that [^ ns] ?
CHI:	I don't know [^ ns] .
CHI:	I don't know [^ ns] .
