participant	content
INV:	what else is happening in this picture ?
CHI:	there's a xxx there .
INV:	and you finish it .
INV:	what's happening in the picture ?
INV:	now I'll start the start the story .
INV:	okay, I'll start the start the story .
INV:	and you finish it .
CHI:	they're fighting 0over the [/] the bucket .
INV:	tell me anything else about the picture .
CHI:	daddy's here .
CHI:	her [^ ew:she] has the daddy's hat [^ ns] .
INV:	what else is happening in this picture ?
INV:	tell me something else about the picture .
INV:	now I'll start the start the story .
INV:	okay .
INV:	what did you say ?
INV:	now I'll start the start the story .
CHI:	I don't know [^ ns] .
CHI:	stop boys [^ ns] .
INV:	what else is happening in this picture ?
INV:	tell me one more thing about this picture .
CHI:	I don't know [^ ns] .
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
CHI:	the water 0is [^ ev] spilling out 0of [^ emorph] her hair [^ eu] .
INV:	and here comes the mom and then xxx +...
CHI:	she push [^ ev] the apple [^ eu] .
CHI:	and her [^ ew:she] [^ epronoun] has <the> [/?] the daddy's hat
INV:	it's snowing .
CHI:	<she the> [/?] her mom's <&ha> [/?] here .
CHI:	the door's opened .
CHI:	daddy's here [^ ns] .
CHI:	she's tired .
INV:	what is happening in the picture ?
INV:	tell me anything you see here .
CHI:	she asked the mom [^ earg] [^ eu] .
INV:	oh_no, the bubbles spilled and then xxx +...
INV:	the boy knocks the boxes off the shelf and then xxx +...
INV:	now I'll start the start the story .
CHI:	it's snowing .
CHI:	there's a dog under the couch .
CHI:	I don't know [^ ns] .
INV:	tell me something about this picture .
INV:	just tell me anything about the picture .
INV:	tell me one more thing about the story .
INV:	now I'll start the start the story .
INV:	and what else is happening in the picture ?
INV:	what did you say ?
INV:	and you finish it .
CHI:	and the mom's running .
INV:	what ?
CHI:	[^ imperative to boys] stop, boys .
CHI:	the xxx .
INV:	and you finish it .
CHI:	and he xxx .
INV:	what did you say ?
CHI:	xxx .
INV:	and you finish it .
CHI:	it's <&d> [/?] dirty .
INV:	sorry I can't hear you .
INV:	what do you see here ?
INV:	the children are taking the donuts from the bag and then xxx +...
INV:	tell me one more thing about this picture .
INV:	just tell me anything else about the picture .
CHI:	they's [^ ew:are] [^ ev] making a snowman [^ eu] .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	and what else is happening in this picture ?
CHI:	he fall down [^ ns] .
CHI:	the girl has her shoes .
INV:	oh_no, the dog ate some of the cake and then xxx +...
CHI:	I don't know [^ ns] .
INV:	the children see the cat .
CHI:	I don't know [^ ns] .
CHI:	she's awake .
CHI:	I don't know [^ ns] .
CHI:	a dog's running .
INV:	what is happening in the picture ?
INV:	now I'll start the story .
CHI:	<the &s> [/?] they can't turn the water off .
CHI:	I don't know [^ ns] .
CHI:	the boy's going on the leash [^ other] [^ eu] .
CHI:	look [^ ns] &=points:sink .
INV:	what's happening in the picture ?
CHI:	the girl know [^ ev] what [^ earg] [^ eu] .
INV:	tell me one more thing about the story .
CHI:	xxx .
INV:	now I'll start the start the story .
CHI:	I don't know [^ ns] .
INV:	and you finish it .
INV:	and you finish it .
INV:	tell me one more thing about the story .
CHI:	look [^ ns] .
CHI:	<the &bf> [/?] they's [^ ew:they] [^ ev] are falling down [^ eu] .
INV:	what did you say ?
INV:	they raked the leaves into a big pile and then xxx +...
INV:	tell me one more thing about the story .
INV:	tell me one more thing about the story .
CHI:	xxx .
CHI:	and nobody 0is [^ ev] holding that [^ eu] .
CHI:	the girl's taking this out .
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	they're cleaning [^ earg] [^ eu] .
CHI:	I don't know [^ ns] .
CHI:	I don't know [^ ns] .
INV:	now I'm going to start the story .
CHI:	look [^ ns] .
INV:	and you finish it .
INV:	I'm sorry I can't hear you .
INV:	what's happening in the picture ?
INV:	the boys are throwing snowballs and then xxx +...
CHI:	their grandma's looking down .
CHI:	I don't know [^ ns] .
INV:	the little girl is still in her pajamas and then xxx +...
INV:	what else is happening in the picture ?
INV:	tell me one more thing about this story .
INV:	tell me one more thing about the story .
INV:	just tell me anything about this picture .
INV:	tell me one more thing about the picture .
INV:	and you finish it .
INV:	tell me what's happening here .
INV:	tell me one more thing about the picture .
CHI:	I don't know [^ ns] .
INV:	now I'll start the start the story .
CHI:	xxx falling down .
CHI:	xxx .
CHI:	I don't know [^ ns] .
INV:	now I'll start the story .
INV:	the daddy is hiding a doll behind his back and then xxx +...
INV:	tell me one more thing about the picture .
INV:	the dog and the girl have daddy's shoes and then xxx +...
INV:	can you look at the picture ?
CHI:	I don't know [^ ns] .
CHI:	the people get mad .
INV:	the children are trying to wash the dog and then xxx +...
INV:	now I'm gonna start the story .
INV:	what is happening in the picture ?
INV:	tell me something that's happening in the picture .
INV:	just tell me anything else in the picture .
CHI:	I don't know [^ ns] .
CHI:	I see a dog .
INV:	they're cleaning, okay .
CHI:	I don't know either [^ ns] .
INV:	what's happening in the picture ?
INV:	and what else can you tell me about this story ?
INV:	and then what happens in the story ?
INV:	what ?
CHI:	she has 0to [^ emorph] stop [^ eu] .
INV:	tell me anything about the picture .
INV:	tell me something about this picture .
INV:	just tell me anything about the picture .
CHI:	&=laughs look [^ ns] .
CHI:	the boy's going on the leash [^ ns] .
INV:	what is happening in this picture ?
INV:	tell me one more thing about this picture .
CHI:	I don't know [^ ns] .
INV:	just tell me anything else about the picture .
CHI:	<xxx> [/?] he 0is [^ ev] gonna fall down [^ eu] .
INV:	tell me something about the picture .
CHI:	[^ earg] is sad [^ eu] .
CHI:	they're crawling .
INV:	anything about this picture .
CHI:	I don't know [^ ns] .
CHI:	the peoples [^ ew:people] [^ emorph] are mad [^ eu] .
INV:	what else is happening in this picture ?
INV:	and you finish it .
INV:	and you finish it .
CHI:	<it's dirty it's> [/?] they're dirty [^ ns] .
INV:	what else is happening in the picture ?
INV:	tell me one more thing about the story .
CHI:	I don't know [^ ns] .
CHI:	someone can turn the sink off .
CHI:	I don't know [^ ns] .
INV:	what did you say ?
INV:	just tell me anything else about the picture .
INV:	and the cat is stuck in this tree and then xxx +...
INV:	what is happening in the picture ?
INV:	what is happening in this picture ?
CHI:	xxx .
INV:	what else is happening in this picture ?
INV:	the boys are fighting .
INV:	what is happening in the picture ?
CHI:	they're putting snow on them [^ ns] .
CHI:	I don't know [^ ns] .
CHI:	I don't know [^ ns] .
INV:	what else is happening in this picture ?
INV:	the boy is taking his grandma's scissors and then xxx +...
INV:	what's happening in the picture ?
CHI:	she's holding the shopping cart and pushing it .
INV:	what else is happening here ?
CHI:	I don't know [^ ns] .
INV:	what else is happening in this picture ?
CHI:	I don't know [^ ns] .
CHI:	I don't know [^ ns] .
CHI:	water spilling out xxx .
INV:	and the bus can't move and then xxx +...
INV:	okay, she's tired .
CHI:	she 0is [^ ev] holding that [^ eu] .
CHI:	a boy has 0a [^ emorph] pail 0of [^ emorph] water and put it in
INV:	mhm .
CHI:	they're gonna snow on them [^ other] [^ eu] .
CHI:	I don't know [^ ns] .
INV:	tell me something else about the picture .
CHI:	I don't know [^ ns] .
INV:	the boy is trying to get the cookies and then xxx +...
INV:	can you say that again ?
CHI:	a kitty 0is [^ ev] stuck in the tree [^ eu] .
INV:	and you finish it .
CHI:	there's a squirrel <xxx> [/?] there .
INV:	what's happening in the picture ?
CHI:	look [^ ns] .
CHI:	a dog's barking .
INV:	I want you to tell me about the picture .
INV:	the dog is in front of the bus .
CHI:	the daddy say [^ ev] ssh [^ eu] .
INV:	what did you say ?
