participant	content
CHI:	and one person is in the car .
CHI:	they are afraid .
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
INV:	tell me what else you see in the picture .
INV:	tell me one more thing about the picture .
CHI:	the dog splashed water .
INV:	then what will happen in just a little while ?
INV:	just tell me what you see in the picture .
INV:	and what's going to happen next ?
CHI:	two of the same girls [^ ns] .
INV:	the children are trying to wash the dog .
CHI:	0 .
INV:	what's going to happen in just a little while ?
INV:	tell me about what else you see in the picture .
CHI:	[^ earg] spilling [^ earg] [^ eu] .
CHI:	I don't know [^ ns] .
CHI:	she has bubbles in her hand .
INV:	just tell me what you see in the picture .
INV:	what else is happening in this picture ?
CHI:	look at this window .
INV:	what else is happening in this picture ?
CHI:	why is the lamp dirty [^ ns] ?
INV:	what else is happening in this picture ?
CHI:	he's very angry .
INV:	what's happening in the picture ?
CHI:	they're <throwing> [/?] throwing snowballs .
CHI:	they will eat all the donuts .
CHI:	<and the other person and the other> [/?] and the other kid is in
INV:	the children see the cat .
CHI:	they're both boys .
INV:	tell me one more thing about the picture .
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
CHI:	I don't know [^ ns] .
CHI:	the scarf is on backwards .
CHI:	he will be dirty again .
CHI:	I don't know [^ ns] .
CHI:	I don't know [^ ns] .
CHI:	she doesn't have a coat .
CHI:	they will crash and spill [^ earg] [^ eu] .
INV:	the dog is in front of the bus .
INV:	just tell me anything else about the picture .
CHI:	he's getting [^ ew:putting] [^ elexical] out the leafs in the
CHI:	&um what's wrong with that [^ ns] ?
CHI:	why is the bag in front [^ ns] ?
INV:	tell me one more thing about the picture .
INV:	tell me about what else you see in the picture .
INV:	and what's going to happen in just a little while ?
CHI:	0the [^ emorph] crescent moon face's <going this way> [/?] going
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the picture .
CHI:	I don't know [^ ns] .
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the picture .
INV:	and what will happen in just a little while ?
CHI:	not him [^ ns] .
INV:	what's happening in the picture ?
INV:	and what's going to happen next ?
CHI:	the dad has a short tie .
CHI:	they will be dead .
CHI:	what's this doing out here [^ ns] ?
INV:	tell me one more thing about the picture .
CHI:	<the boy> [<] has a donut in his hand .
INV:	tell me about what else you see in the picture .
INV:	the boy is taking his grandma's scissors .
INV:	what else is happening in this picture ?
CHI:	I don't know [^ ns] .
INV:	and what's going to happen next ?
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
CHI:	I don't know [^ ns] .
CHI:	<and they're> [/?] and <they're> [/?] they are not raking [^ earg]
CHI:	0 .
CHI:	look at the mom and dad [^ ns] .
INV:	tell me one more thing about the picture .
INV:	just tell me what you see in the picture .
INV:	what else is happening in this picture ?
CHI:	I don't know [^ ns] .
CHI:	I don't know [^ ns] .
INV:	what's going to happen next ?
INV:	what's happening in the picture ?
INV:	what's going to happen in just a little while ?
CHI:	&um .
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
CHI:	that looks like a pot .
INV:	tell me about what else you see in the picture .
INV:	tell me one more thing about the picture .
CHI:	0 .
INV:	what's going to happen in just a little while ?
CHI:	0 .
CHI:	and she will knock him over .
CHI:	so they cannot get them ?
INV:	just tell me anything else about the picture .
CHI:	[^ earg] shouldn't be triangles [^ eu] .
CHI:	I don't know [^ ns] .
CHI:	and they will be dead [^ ns] .
INV:	just tell me what you see in the picture .
INV:	what's happening in the picture ?
INV:	and what's going to happen next ?
CHI:	<both of those one of those> [/?] a girl is pushing the cart
CHI:	and then his neck comes off .
INV:	tell me one more thing about the picture .
INV:	can you tell me that again ?
CHI:	the dog is on the street .
CHI:	and she has his tie [^ eu] .
CHI:	there's another bucket .
INV:	the daddy is hiding a doll behind his back .
INV:	the boy is trying to get the cookies .
INV:	what's happening in the picture ?
INV:	can you tell me that again ?
INV:	what's happening in the picture ?
INV:	the dog and the girl have the daddy's shoes .
CHI:	shouldn't be triangles where my finger is [^ ns] .
INV:	what else is happening in this picture ?
CHI:	she didn't throw bubbles .
INV:	what's happening in the picture ?
CHI:	and his head comes off .
INV:	what's going to happen in just a little while ?
CHI:	0 .
INV:	and what's going to happen next ?
CHI:	0the [^ emorph] orange juice has got [^ ew:gotten] [^ emorph] all
INV:	what else is happening in this picture ?
INV:	the boy knocked the boxes off the shelf .
INV:	what's happening in the picture ?
INV:	just tell me what you see in the picture .
INV:	what's happening in the picture ?
INV:	the cat is stuck up in the tree .
CHI:	the cat is looking down .
CHI:	0 .
CHI:	the doll [^ ns] .
CHI:	this this this this this this [^ ns] .
INV:	what's going to happen next ?
CHI:	they got the dog <after> [/?] after [^ ew] [^ emorph] 0det
INV:	what's going to happen in just a little while ?
CHI:	and he will be dead on his head .
INV:	and what's going to happen in just a little while ?
INV:	they raked the leaves into a big pile .
INV:	what's happening in the picture ?
INV:	just tell me what you see .
INV:	tell me about what else you see in the picture .
INV:	what's going to happen next ?
CHI:	she's not dressed .
CHI:	he bumped his head .
INV:	that's not nice .
INV:	oh_no, the bubbles are spilled .
CHI:	he's gonna fall .
INV:	just tell me anything else about the picture .
INV:	what's happening in the picture ?
CHI:	I don't know [^ ns] .
INV:	oh_no, the dog ate some of the cake .
CHI:	his momma is driving .
INV:	and what's going to happen next ?
INV:	just tell me what you see in the picture .
INV:	what's going to happen in just a little while ?
INV:	the children are taking the donuts from the bag .
INV:	just tell me anything else about the picture .
INV:	<what else is happening in this picture> [>] ?
CHI:	these windows are not the same .
INV:	the boys are throwing snowballs .
INV:	just tell me anything else about the picture .
CHI:	he's going to do [^ ew] the pop [^ other] [^ eu] .
CHI:	look at the mom and dad .
INV:	tell me that again .
INV:	and the bus can't move .
INV:	what's happening in the picture ?
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
CHI:	she has his shoes .
INV:	tell me about what else you see in the picture .
CHI:	<they want each &buc> [/?] they want the red bucket .
CHI:	I don't know [^ ns] .
INV:	thank you .
CHI:	I don't know [^ ns] .
INV:	just tell me anything else about the picture .
CHI:	and they will be knocked over .
INV:	what's going to happen in just a little while ?
CHI:	I don't know [^ ns] .
CHI:	the cat is sad .
INV:	what's going to happen in just a little while ?
CHI:	this [% pointing to picture] [^ ns] .
CHI:	he's gonna snip that thing .
CHI:	0 .
CHI:	he's crawling .
INV:	can you tell me that again ?
INV:	what's happening in the picture ?
INV:	tell me one more thing about the picture .
INV:	the little girl is still in her pajamas .
INV:	and what's going to happen next ?
CHI:	he will give it to her .
INV:	tell me one more thing about the picture .
INV:	and what's going to happen next ?
INV:	and what's going to happen next ?
INV:	and what's going to happen next ?
CHI:	I don't know [^ ns] .
INV:	just tell me what you see in the picture .
INV:	just tell me anything about this picture .
CHI:	[^ earg] leaning over [^ earg] [^ eu] .
INV:	what's going to happen in just a little while ?
CHI:	the doggy is under the couch .
CHI:	she threw bubbles .
INV:	what's going to happen in just a little while ?
CHI:	&um it's not aiming to [^ ew:at] [^ emorph] the sidewalk at all
INV:	just tell me what you see in the picture .
CHI:	what's wrong with that [^ ns] ?
INV:	what's happening in this picture ?
INV:	just tell me anything else about the picture .
INV:	and what's going to happen next ?
CHI:	and he's crying .
CHI:	and then he will chop [x 4] [^ earg] [^ eu] .
CHI:	I think I like this one, not this one .
CHI:	I don't know [^ ns] .
