participant	content
CHI:	&um she's sweeping <the &um> [/?] the floor and walking the birds .
INV:	and what else is happening in the picture ?
INV:	can you try ?
CHI:	&um her shoes are dirty .
INV:	and what else is happening xxx +/.
INV:	in the pirate ?
INV:	what ?
CHI:	I can't do it [^ ns] .
CHI:	<and> [/?] and he wants it back .
INV:	he's falling on the chair .
INV:	what is happening in the picture ?
INV:	she's sleeping, very good .
INV:	okay very good .
INV:	yes you can, look .
CHI:	and <she cooks> [/?] she burns herself .
INV:	she's taking .
CHI:	and then poomf@c out he went .
INV:	and you finish it .
CHI:	and she's clean .
INV:	she burns herself ?
INV:	and you finish it .
CHI:	can't do it [^ ns] .
CHI:	and and came the birds [^ ns] .
INV:	that does look like chocolate (.) because it's brown .
INV:	very good .
INV:	what else is happening in the picture ?
INV:	and what else is happening in the picture ?
INV:	what else is happening in the picture ?
INV:	the boys are throwing snowballs and then xxx +...
INV:	and then what happens in the story ?
INV:	and tell me one more thing about the story .
INV:	the dog and the girl have the daddy's shoes and then xxx +...
INV:	tell me one more thing about the story .
INV:	he's in the leaves, very good .
INV:	the boy knocked the boxes off the shelf and then xxx +...
INV:	what is happening in the picture ?
INV:	and you finish it .
CHI:	I can't do it [^ ns] .
CHI:	he's dirty .
CHI:	I can't [^ ns] .
CHI:	yeah [^ ns] .
INV:	he's putting his hands in there .
INV:	and tell me one more thing about the story .
CHI:	&um he's trying to get on this .
INV:	and they're spilling, very good .
CHI:	&um the lights is [^ ew:are] [^ ev] on [^ eu] .
INV:	okay, tell me one more thing about the story .
CHI:	can't do it [^ ns] .
CHI:	I can't do <it> [/?] this one [^ ns] .
INV:	and the bus can't move .
INV:	he's running .
CHI:	&um they're pulling [^ earg] [^ eu] .
INV:	okay good job &=laughs .
INV:	now I'll start the start the story .
INV:	good job .
INV:	the children see the cat .
CHI:	and he's trying to put it on the plate .
INV:	but I think it's cereal .
INV:	very good !
INV:	they can't, very good .
INV:	the birds came .
CHI:	and he's so mean .
INV:	then he fell again ?
INV:	they're running away, very good .
INV:	what is happening in the picture ?
INV:	that was a really good story .
CHI:	they're playing [^ ns] .
INV:	good job .
INV:	pimples ?
INV:	she's sleeping .
INV:	good job .
INV:	what's happening in the picture ?
INV:	the boy is trying to get the cookies and then xxx +...
INV:	what is happening in the picture ?
INV:	what is happening in the picture ?
CHI:	&um that's driving away [% CHI makes vehicle noise “vroom_vroom”]
CHI:	they're blowing bubbles .
CHI:	uhhuh [^ ns] .
CHI:	and then he just went there .
CHI:	can't do it [^ ns] .
INV:	good .
CHI:	and then [% CHI makes raspberry noise] <on the> [/?] off the tree
INV:	look, the daddy's hiding a doll behind his back .
INV:	look at the picture .
INV:	what is happening in the picture ?
CHI:	&um he's putting his hands in that .
CHI:	can't do it [^ ns] .
CHI:	<&um she's> [/?] she's full of water [^ other] [^ eu] .
CHI:	<so> [/?] so they're so mean .
CHI:	<he's &ho> [/?] he's holding that guy's tie .
CHI:	I can't [^ ns] .
INV:	look, just tell something about the picture .
INV:	now I'll start the start the story .
INV:	he's catching her .
INV:	now I'll start the start the story .
CHI:	<and and they're> [/?] and they're spilling [^ earg] [^ eu] .
CHI:	<and and> [/?] and they want it .
CHI:	can't do this [^ ns] .
INV:	and you finish it .
CHI:	I can't do it [^ ns] .
CHI:	no [^ ns] .
CHI:	wagon can't move [^ ns] .
INV:	and then what happens in the story ?
CHI:	<she's> [/?] she's putting the matzo in the soup .
INV:	he's hiding her girl .
INV:	okay, tell me one more thing about the story .
INV:	I think you can .
INV:	oh_no and tell me one more thing about the story .
INV:	and tell me one more thing about the story .
INV:	and you finish it .
INV:	very good .
INV:	he fell .
CHI:	then the birds came .
INV:	they have what all over their face ?
INV:	the dog is in front of the bus .
CHI:	and they're pulling the dog .
INV:	what is happening in the picture ?
INV:	the bubbles spilled .
CHI:	<and> [/?] and it almost broke .
INV:	okay, tell me one more thing about the story .
CHI:	yeah [^ ns] .
INV:	okay, tell me one more thing about the story .
INV:	and what else is happening in the picture ?
CHI:	they're running away .
INV:	can you try ?
CHI:	<he's> [/?] he's in the leafs .
INV:	the little girl is still in her pajamas and then xxx +...
INV:	and you finish it .
INV:	and you finish it .
INV:	and you finish it .
CHI:	he's putting <the> [/?] the matzo in the box .
INV:	what else is happening in the picture ?
INV:	he's dirty, very good .
INV:	the children are taking the donuts from the bag and then xxx +...
INV:	now I'll start the start the story .
INV:	and then what happens in the story ?
INV:	and the bus can't move and then xxx +...
CHI:	<and> [/?] and one kid went <on> [/?] back on the tree .
INV:	what is happening in the picture ?
CHI:	<and> [/?] and they're grabbing it .
CHI:	and they don't want them on .
CHI:	<and the and this> [/?] and that guy doesn't let [^ earg] [^ eu] .
