participant	content
INV	what's happening in the picture 
CHI	he  
CHI	he get  
INV	what else is happening in this picture 
CHI	the the the  spilling down on
INV	good job [] 
INV	the water is spilling all over the floor 
INV	what is going to happen next 
CHI	it's only  spilling all over the place 
INV	say that again 
INV	it  
CHI	spilling all ov the place  
INV	tell me one more thing about this story 
CHI	her  
INV	what's happ  
CHI	the daddy  
INV	wait 
INV	what's happening in the picture 
CHI	the daddy is  put some toast in there
INV	what else is happening in this picture 
CHI	her the  is really tire
INV	look the little girl is still in her pajamas 
INV	what is going to happen next 
CHI	her  
INV	say that again 
CHI	her's  
INV	her's tired 
INV	tell me one more thing about this story 
CHI	the mommy put some milk in here and the  because she's trying
INV	what's happening in the picture 
CHI	the boy throwing    a
CHI	and then them  making
INV	what else is happening in this picture 
CHI	he is really shoveling 
INV	the boys are throwing snowballs 
INV	what is going to happen next 
CHI	and these  and the girl is making a snowman 
CHI	and the boy is making a  snowman 
INV	tell me one more thing about this story 
CHI	 that  
CHI	and he can't do it 
CHI	so he is  then
CHI	an  the boys make the snowball 
CHI	and the girl and the and the  and the boy they're making a
INV	what's happening in the picture 
CHI	they're snatching  
INV	what else is happening in this picture 
CHI	the mommy say  
CHI	and they're really shouting 
CHI	and they're  they're fighting 
CHI	because the mommy's really say  “no” because
CHI	and then they're not sharing the bucket 
CHI	but these are on the bucket 
INV	look the boys are fighting 
INV	and here comes the mom 
INV	what is going to happen next 
CHI	they're really trying to be  
CHI	and the mommy say  they're mad
CHI	and  bucket 
CHI	and they're  
INV	tell me one more thing about the story 
CHI	he want  
CHI	and he want  
CHI	but there's another one 
INV	good job 
CHI	because there  there  on their sand because he want it
INV	what's happening in the picture 
CHI	they're is really trying to  is
CHI	but he is really driving  
CHI	because they're really mad 
INV	okay 
CHI	they're trying to  
INV	what else is happening in this picture 
CHI	the dog say  
CHI	“there's a bus” 
INV	the dog is in front of the bus 
INV	the bus can't move 
INV	what is going to happen next 
CHI	   the   hurt
CHI	so they  the dog because they're they're they're they're
CHI	and then he can't stop the guy because he  [] 
INV	okay [] 
CHI	and then the bus again  
INV	tell me one more thing about the picture 
CHI	the  shoot the dog because the
CHI	and  and  
INV	okay good 
INV	what's happening in the picture 
CHI	he trying the the 
CHI	and he's trying to rake  
INV	okay [] just tell me one thing okay 
CHI	and  
CHI	and her  trying to slide on the leafs
INV	okay just tell me one thing okay 
CHI	okay  
INV	alrighty 
CHI	because  
INV	oh wait wait I cannot write it all down 
INV	just tell me one thing okay 
CHI	okay  
INV	what else is happening in this picture 
CHI	the leafs try and fall down 
CHI	and the boy say  
INV	they rake the leaves into a big pile 
INV	what is going to happen next 
CHI	the leaf fall  
CHI	and then they're raking their leafs 
INV	tell me one more thing about the story 
CHI	they  the the  eat the
CHI	because he likes squirrels and say  
INV	what's happening in the picture 
CHI	the  the the
CHI	and  
INV	wait wait 
INV	what else is happening in this picture 
CHI	her's trying to to  picking the
CHI	then the boy is  
INV	the boy knocked the boxes off the shelf 
CHI	the girl  
INV	wait 
INV	the boy knocked the boxes off the shelf 
INV	what is going to happen next 
CHI	they're starting to spill 
INV	tell me one more thing about this picture 
CHI	the girl is  trying to  with her best friend Toby because
INV	the girl trying to what 
CHI	the girl is  get some vegetables
INV	what's happening in the picture 
CHI	he's g  he got some scissors 
INV	good job [] 
CHI	he's trying  
CHI	and mommy  the mommy  
INV	wait 
INV	what else is happening in this picture 
CHI	the mommy is  cut something to
INV	the mommy trying what 
CHI	the mommy is trying cut something  
INV	cut something okay 
INV	the boy is taking his grandma's scissors out of the basket 
INV	what is going to happen next 
CHI	the daddy say  
INV	tell me one more thing about the story 
CHI	the   the
CHI	and then   
INV	the dog says woof because what 
CHI	he  he's a rock 
CHI	the girl  
INV	wait wait 
INV	what's happening in the picture 
CHI	the girl say 
CHI	and then her daddy say  “I got a pre for you for you
INV	what else is happening in this picture 
CHI	the the the  on his back
INV	the daddy is hiding a doll behind his back 
INV	what is going to happen next 
CHI	 the girl say  
CHI	and then her 
INV	tell me one more thing about the picture 
CHI	there's a house to  because the  
CHI	because the daddy go  
INV	what's happening in the picture 
CHI	the cat is up on a tree 
CHI	he has  sister and heez
INV	what else is happening in this picture 
