participant	content
CHI:	&um he's making sand .
INV:	and what's going to happen next ?
INV:	what's happening in the picture ?
CHI:	&uh he spilled all the water .
INV:	tell me one more thing about the picture .
CHI:	and then [^ earg] said woof_woof [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	and all the water came out and spilled on the floor .
CHI:	he's making a snowman .
CHI:	and everything [^ ew:everyone] [^ elexical] cried about him [^ eu]
INV:	tell me about what else you see in the picture .
INV:	just tell me anything else you see in the picture .
CHI:	and the dog said “happy_birthday” said [^ other] [^ eu] .
CHI:	and he's splashing the water with [^ ew] [^ emorph] the dog [^ eu]
INV:	a shopping cart .
CHI:	<it's> [/?] all the water spilled on the floor .
INV:	what's happening in the picture ?
CHI:	he's laughing .
INV:	just tell me what you see in the picture .
CHI:	a shopping cart [^ ns] .
CHI:	<he's> [/?] he is wanting [^ elexical] it .
CHI:	<but the dad and the girl and he> [/?] but her [^ ew:she]
CHI:	then he throws the ball at him .
CHI:	and the girl said “I can't get you down” .
CHI:	the cat is stuck in the tree .
INV:	tell me about what else you see in the picture .
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
INV:	okay .
CHI:	the dad is making bread .
CHI:	he's running .
INV:	and what's going to happen next ?
CHI:	he blow [^ ew:blew] [^ ev] the candles out [^ eu] .
CHI:	I see a picture of the girl .
INV:	what's happening in the picture ?
CHI:	then the dog picked up the mom's shoe .
INV:	what's happening in the picture ?
CHI:	nothing else [^ ns] .
CHI:	then “why 0do [^ ev] you have yellow hair” [^ earg] said [^ eu] .
INV:	what will happen in just a little while ?
INV:	and what's going to happen next ?
INV:	what else is happening in this picture ?
CHI:	&um the dad sees the picture of the girl .
INV:	and what's going to happen next ?
CHI:	and the girl is picking up the feet .
INV:	what else is happening in this picture ?
INV:	tell me what else is happening in the picture .
INV:	tell me xxx +/.
CHI:	down a bush [^ ns] .
INV:	what's happening in the picture ?
INV:	and what's going to happen next ?
CHI:	then he shovels [^ earg] [^ eu] .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
CHI:	nothing else [^ ns] .
CHI:	the girl is making a knot in her hair .
CHI:	&um the mom is picking out something .
CHI:	and the cat <said> [/?] said “you are not coming here” .
INV:	let me see .
CHI:	nothing else [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	the dad say [* m:03s] [^ ev] “ssh, the mom is reading” [^ eu] .
CHI:	there's two couches .
INV:	and what's going to happen next ?
INV:	tell me one more thing about the picture .
CHI:	and <said> [/?] the dad said “why 0do [^ ev] you have a silly face
INV:	what else is happening in this picture ?
CHI:	<his> [/?] the girl's running to the dad .
CHI:	and then the mom said “why 0do [^ ev] you have a bow on” [^ eu] .
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
CHI:	“get the cookies before it falls” he said .
CHI:	0 .
CHI:	he's making a mad face [^ ns] .
INV:	okay .
CHI:	&um the girl is picking apples and strawberries .
CHI:	and the other girl is not .
CHI:	and the boy says “I'm scared” .
CHI:	but the mom fall [^ ev] asleep [^ eu] .
INV:	what else is happening in this picture ?
INV:	tell me that again .
INV:	just tell me anything else about the picture .
CHI:	“we didn't have a dog last week” [^ earg] said [^ eu] .
CHI:	then he got a ticket .
INV:	tell me one more thing about the picture .
INV:	and what's going to happen next ?
CHI:	&uh they spilled the water .
CHI:	he's trying to xxx +...
CHI:	I just did this [^ ns] .
INV:	and what's going to happen next ?
INV:	and what's going to happen next ?
INV:	and what's going to happen next ?
CHI:	but the little old guy said “give me that”, he said [^ eu] .
CHI:	he's crawling .
CHI:	momma's cooking bread [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	he just fall [^ ev] asleep [^ eu] .
CHI:	all the dog xxx out and said xxx .
CHI:	&um he's spilling all the water .
INV:	what's happening in the picture ?
CHI:	he is throwing a ball .
CHI:	&um he's getting Dunkin_donuts .
INV:	what else is happening in this picture ?
INV:	and what's going to happen next ?
CHI:	“I'm trying to stripe [^ elexical] you out” they said [^ eu] .
CHI:	the mom is making a mad face .
INV:	what else is happening in this picture ?
INV:	can you tell me that again ?
CHI:	but &uh the girl said (.) “don't do that”, said [^ other] [^ eu] .
CHI:	the momma's sitting on the chair .
CHI:	the mom said “don't do that” .
INV:	okay .
CHI:	&um he's putting hats on .
INV:	can you tell me that again ?
CHI:	he falled [^ ew:fell] [^ ev] asleep [^ eu] .
INV:	and what's going to happen next ?
CHI:	he's sitting .
INV:	what's happening in the picture ?
CHI:	I see the picture of the girl [^ ns] .
INV:	tell me one more thing about the picture .
