participant	content
INV:	the daddy is hiding a doll behind his back and then xxx +...
CHI:	&um the water 0is [^ ev] spilling [^ eu] .
INV:	now I'll start the start the story .
INV:	tell me one more thing about the story .
INV:	what else is happening in this picture ?
INV:	the cat is what ?
INV:	tell me one more thing about the story .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	and you finish it .
INV:	and you finish it .
INV:	and you finish it .
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the story .
INV:	what's happening in the picture ?
INV:	and then what happens in the story ?
CHI:	<&um the boy &I the abba's &t> [/?] the girls are trying 0to
INV:	the dog and the girl have the daddy's shoes and then xxx +...
CHI:	the abba's toasting [^ earg] [^ eu] .
INV:	standing ?
INV:	now I'll start the start the story .
INV:	now I'll start the start the story .
INV:	and tell me one more thing about the story .
CHI:	<&um &th> [/?] the dog has 0a [^ emorph] shoe [^ eu] .
INV:	the boys are throwing snowballs and then xxx +...
INV:	tell me one more thing about the story .
CHI:	them [^ ew:they] [^ epronoun] 0are [^ ev] trying to clean [^ earg]
INV:	and you finish it .
INV:	and you finish .
CHI:	<they're they're they're> [/?] they're pulling [^ earg] [^ eu] .
CHI:	they're driving [^ earg] [^ eu] .
CHI:	<them> [/?] them [^ ew:they] [^ epronoun] 0are [^ ev] not sharing
INV:	now I'll start the start the story .
INV:	the dog is in the water ?
INV:	tell me one more thing about the story .
CHI:	&um the boy's holding his xxx +...
INV:	the abba is hiding a doll behind his back .
INV:	now I'll start the start the story .
INV:	now I'll start the start the story .
CHI:	&um the dog [^ frag] [^ eu] .
INV:	and you finish it .
INV:	the bubbles spilled .
CHI:	then they get [^ earg] [^ eu] .
INV:	what else is happening in this picture ?
CHI:	squirrel [^ frag] [^ eu] .
CHI:	[^ earg] falling [^ eu] .
INV:	and you finish it .
CHI:	&um &um the water's falling down .
CHI:	<&st the &k> [/?] standing [^ ns] .
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
CHI:	the squirrel [^ frag] [^ eu] .
CHI:	there's a fire dog .
INV:	what else is happening in this picture ?
CHI:	[^ earg] gonna take the donuts [^ eu] .
CHI:	they'll [^ ew:they] [^ ev] eated [^ ev] it [^ eu] .
CHI:	the dog is in the water .
CHI:	he's falling .
CHI:	&um the girl's trying 0to [^ emorph] put his hat on [^ eu] .
INV:	the boys are throwing snowballs .
INV:	and tell me something else about the picture .
CHI:	not sharing [^ ns] .
CHI:	<he &could> [/?] he couldn't get it .
INV:	what's happening in the picture ?
CHI:	<xxx them> [/?] them [^ ew:they] [^ epronoun] 0are [^ ev] eating
INV:	tell me one more thing about the story .
INV:	the boy knocked the boxes off the shelf and then xxx +...
INV:	now I'll start the start the story .
INV:	and the bus can't move and then xxx +...
CHI:	he 0is [^ ev] trying 0to [^ emorph] get the cookie [^ eu] .
INV:	and you finish it .
INV:	and here comes the mom and then xxx +...
INV:	the cat's trying to get down .
INV:	tell me one more thing about the story .
INV:	and you finish it .
INV:	the children see the cat .
INV:	what else is happening in this picture ?
CHI:	&uh .
INV:	now I'll start the start the story .
INV:	what's happening in the picture ?
CHI:	it's falling [^ ns] .
CHI:	he's hiding <&o &b> [/?] [^ earg] behind his back [^ eu] .
INV:	tell me one more thing about the story .
CHI:	he's falling .
INV:	the cat is stuck up in the tree and then xxx +...
INV:	and what else is happening in this picture ?
INV:	what's happening in the picture ?
INV:	and you finish it .
INV:	and what else is happening in this picture ?
CHI:	the abba's toasting [^ ns] .
INV:	okay, I'll start the start the story .
INV:	the children are trying to wash the dog and then xxx +...
INV:	they're pouring .
CHI:	&um the cake [^ frag] [^ eu] .
CHI:	it's snowing .
INV:	they're not sharing .
CHI:	they're gonna buy a doll .
CHI:	<him trying> [/?] he's trying 0to [^ emorph] get a box [^ eu] .
INV:	what's happening in the picture ?
INV:	now I'll start the start the story .
INV:	what else is happening in this picture ?
CHI:	<he he> [/?] he's tired [^ eu] .
CHI:	yeah [^ ns] .
CHI:	&um he 0is [^ ev] gonna get down [^ eu] .
INV:	the boy is taking his grandma's scissors and then xxx +...
CHI:	&um &um &um the dog is &um &uh xxx +...
INV:	tell me one more thing about the story .
CHI:	he's going to his abba .
INV:	what else is happening in this picture ?
INV:	now I'll start the start the story .
INV:	the boy is trying to get the cookies and then xxx +...
INV:	they raked the leaves into a big pile and then xxx +...
INV:	and then what happens ?
INV:	oh_no, the dog same of the cake and then xxx +...
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
INV:	the little girl is still in her pajamas and then xxx +...
INV:	what's happening in the picture ?
CHI:	&um [^ earg] spilling water [^ eu] .
INV:	and you finish it .
CHI:	<he &t> [/?] he's trying xxx +/.
INV:	and you finish it .
INV:	what else is happening in this picture ?
