participant	content
INV:	and then what happens ?
CHI:	them [^ ew:they] [^ epronoun] are walking [^ eu] .
INV:	what's happening in the picture ?
INV:	he couldn't get it .
CHI:	<&um &th> [/?] the dog has 0a [^ emorph] shoe [^ eu] .
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the story .
INV:	the cat is what ?
INV:	tell me one more thing about the story .
CHI:	the mom is coming .
INV:	what else is happening in this picture ?
CHI:	they'll [^ ew:they] [^ ev] eated [^ ev] it [^ eu] .
INV:	what's happening in the picture ?
CHI:	there's a fire dog .
CHI:	&um the water 0is [^ ev] spilling [^ eu] .
CHI:	they play with bubbles .
CHI:	them [^ ew:they] [^ epronoun] 0are [^ ev] trying to clean [^ earg]
INV:	what else is happening in this picture ?
INV:	now I'll start the start the story .
CHI:	then they get [^ earg] [^ eu] .
INV:	they raked the leaves into a big pile and then xxx +...
CHI:	&um the boy's holding his xxx +...
INV:	the daddy is hiding a doll behind his back and then xxx +...
INV:	tell me anything else about the picture .
INV:	standing ?
CHI:	he 0is [^ ev] trying 0to [^ emorph] get the cookie [^ eu] .
CHI:	they're spilling 0the [^ emorph] bubbles [^ eu] .
INV:	what else is happening in this picture ?
CHI:	not sharing [^ ns] .
INV:	what's happening in the picture ?
INV:	he's trying to get a box .
INV:	and you finish it .
CHI:	there's a firetruck .
INV:	now I'll start the start the story .
CHI:	&um &um the water's falling down .
INV:	tell me one more thing about the story .
INV:	tell me one more thing about the story .
CHI:	the cat's trying to get down .
INV:	the children see the cat .
INV:	tell me one more thing about the story .
INV:	what else is happening in this picture ?
INV:	now I'll start the start the story .
INV:	and tell me something else about the picture .
INV:	and you finish it .
INV:	the children are trying to wash the dog and then xxx +...
INV:	what's happening in the picture ?
CHI:	he's falling .
CHI:	they're cutting [^ earg] [^ eu] .
CHI:	they 0are [^ ev] trying to make a snowman [^ eu] .
INV:	the dog is in front of the bus .
INV:	tell me one more thing about the story .
INV:	and you finish .
INV:	now I'll start the start the story .
INV:	what else is happening in this picture ?
INV:	and you finish it .
CHI:	it's snowing .
CHI:	&uh he is <&get> [/?] getting [^ earg] [^ eu] .
CHI:	<them> [/?] them [^ ew:they] [^ epronoun] 0are [^ ev] not sharing
INV:	they're what ?
INV:	what else is happening in the picture ?
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the story .
INV:	the children are taking the donuts from the bag and then xxx +...
INV:	and you finish it .
INV:	look at the picture .
INV:	the abba's toasting .
INV:	now I'll start the start the story .
INV:	and you finish it .
CHI:	the dog is in the water .
INV:	the boy is trying to get the cookies and then xxx +...
CHI:	&um &um &um the dog is &um &uh xxx +...
CHI:	the squirrel [^ frag] [^ eu] .
INV:	the dog is in the water ?
CHI:	the abba's toasting [^ ns] .
CHI:	he's sitting .
CHI:	<he he> [/?] he's tired [^ eu] .
CHI:	[^ earg] falling [^ eu] .
INV:	the boys are fighting .
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the story .
INV:	the boys are throwing snowballs .
CHI:	<they're they're they're> [/?] they're pulling [^ earg] [^ eu] .
INV:	the cat is stuck up in the tree and then xxx +...
INV:	and the bus can't move and then xxx +...
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
INV:	tell me one more thing about the story .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
CHI:	it spilled .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
CHI:	[^ earg] gonna take the donuts [^ eu] .
CHI:	he's [^ ew:he] [^ ev] is fighting [^ eu] .
INV:	and you finish it .
INV:	the cat's trying to get down .
INV:	the boy knocked the boxes off the shelf and then xxx +...
