participant	content
MOT	can I see this teapot 
CHI	hey look at  
MOT	what is that 
CHI	's a toothpaste 
MOT	toothpaste 
MOT	you see I think it might have been a baby bottle 
MOT	I think we  dump 
CHI	what is  
MOT	it's a hairbrush for the doll 
MOT	see 
MOT	you can brush her hair 
CHI	hair 
MOT	that's nice 
CHI	she wants to brush her hair 
MOT	brush her hair 
MOT	look what if we give her a little bit of tea 
CHI	put 
MOT	would you like some tea 
MOT	would you like a cup of tea Joseph 
CHI	 would you like t_v 
CHI	tea 
MOT	pour you another cup 
CHI	I I filled some of her tea 
MOT	oh no well then we better wipe it up 
MOT	what can we wipe it up with 
CHI	maybe 
MOT	maybe you can use that little spoon and we can scoop it up 
MOT	and here she doesn't sit up very well so we'll put this here so she
MOT	there 
MOT	kay would you like a cup of tea Jospeh 
CHI	 
MOT	would you like me to pour you a cup 
MOT	or you can pour yourself a cup 
CHI	 I can pour   
MOT	okay pour  
MOT	so that'll be yours 
CHI	now baby 
MOT	and that's for her 
MOT	what's her name 
CHI	her name is 
CHI	there's another baby 
MOT	yeah I think  that's for her 
CHI	 
MOT	does her hat come off 
MOT	probably not 
MOT	but you know what we can do 
CHI	her hat's does come off 
MOT	oh_my_goodness 
MOT	you're so clever 
CHI	hello 
MOT	she waves nice 
CHI	 her hand  
MOT	you know what we can do 
MOT	we can pretend that's baby Dylan 
MOT	can you remember baby Dylan's coming to see us now 
MOT	in how many days 
MOT	wednesday thursday friday 
CHI	day day 
MOT	baby Dylan will come 
MOT	what we can do 
MOT	are you gonna take off the baby's clothes 
CHI	no 
MOT	no 
MOT	she might get cold 
MOT	remember you were a little bit cold before 
MOT	so the baby hasta wear pajamas 
MOT	maybe put her hat back on 
CHI	 
MOT	is she thirsty 
CHI	 
MOT	she's too little I think to have a cup of tea 
MOT	can I have a sip of your tea Joseph 
CHI	don't wanna drink all of it 
MOT	no cause we're gonna share it 
MOT	here I needta put it down make it hot you needta pick it up by the
MOT	do you blow on it 
CHI	 
MOT	 
CHI	I need nother one I need a refill 
MOT	you need a refill 
MOT	okay 
CHI	I need a refill 
MOT	do you want me to give you the refill 
CHI	I  I need a  to  it 
MOT	to stir it okay 
MOT	do you want me to pour you the refill or are you gonna pour it 
CHI	you 
MOT	okay here tell me when you have enough 
MOT	pour  
MOT	is that enough 
CHI	I have enough 
MOT	oh okay 
CHI	stir  
MOT	wow what flavor was your tea 
CHI	my flavor I break 
MOT	you broke my little blocks I know 
MOT	maybe the dump truck's gonna hafta come along  
MOT	oh it's stuck  the phone  
MOT	now we're  back up beep  
MOT	those are nice colored blocks Joesph 
MOT	good stacking 
CHI	 
CHI	it's time to go away 
MOT	where's it going 
CHI	more more 
CHI	it's going to Africa  follow me 
MOT	to Africa 
MOT	is it going to watch all the soccer games 
MOT	yeah 
MOT	whoops 
CHI	I broke my tea 
MOT	you didn't break it you just knocked it over 
MOT	put it back on there 
MOT	 that's fine 
CHI	that's a toothpaste tube  
MOT	toothpaste 
MOT	she's drinking all that toothpaste 
MOT	you don't think it's a little bottle of milk 
CHI	I don't think so 
CHI	I don't wanna  it in her mouth 
MOT	squirt it in her mouth 
CHI	 she drink it all 
MOT	she drank it all 
CHI	 can we take the top off 
MOT	you can pretend to take the top off 
CHI	 too 
MOT	of course she wouldn't leave 
MOT	how do you lift her hand up 
MOT	there we go 
MOT	who's she waving too 
CHI	me 
MOT	 
CHI	feel  her tummy 
MOT	are you patting her tummy 
CHI	I wiped her hole in her mouth 
CHI	maybe feed  
MOT	 Joseph that's so clever that you figured that out 
CHI	is there something in here 
MOT	pretend 
MOT	what do you think don't squish it too hard though sweetie 
CHI	 
MOT	what do you think she would drink 
CHI	milk 
MOT	milk 
CHI	 
CHI	she's a ballerina now 
MOT	now she's being a ballerina 
MOT	she does kind of look like a ballerina 
MOT	let's see what kind of ballerina moves she would do 
CHI	a sitting down move 
MOT	a sitting down move 
MOT	there you go 
CHI	I want a brush her hair 
MOT	brush her hair 
MOT	okay 
CHI	I wanna brush her hair 
MOT	my hair 
MOT	really 
MOT	just go a little gently though 
MOT	okay that's nice brushing 
MOT	my hair beautiful now 
MOT	I can't really see though 
CHI	 
MOT	 you think that's funny 
MOT	can I move it a little bit so I can see 
CHI	I wanna move 
MOT	you're gonna fix it again 
MOT	is that better 
CHI	 
MOT	is that a good hairdo 
MOT	 all this 
CHI	 
CHI	I wanna brush it like that 
MOT	you wanna brush it like that 
MOT	well here we go you don't hafta brush all I hafta do is go like
CHI	I  way something 
MOT	okay you brush it 
