participant	content
CHI:	and that water's falling down to the ground .
CHI:	<it> [/?] it wasn't his birthday .
INV:	what's happening in the picture ?
INV:	what will happen in just a little while ?
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
INV:	no we didn't .
CHI:	the cake fell apart .
CHI:	yeah, they might get all sandy and stuff .
INV:	what else is happening [% unrelated utterance] .
CHI:	dad's making the toast for the girls .
CHI:	I don't know [^ ns] .
INV:	<good job> [>] .
INV:	what's going to happen next ?
CHI:	the doggy's in the middle [^ ew:front] of [^ emorph] the bus [^ eu]
CHI:	do you know what those <girls> [/?] guys are doing [^ ns] ?
CHI:	they're making a snowman .
INV:	the little girl is still in her pajamas .
INV:	what's happening in the picture ?
INV:	the boy is taking his grandma's scissors .
CHI:	<and that and that> [/?] and the boy might hurt hisself
CHI:	she's taking the leafs away .
CHI:	the <&bre> [/?] bubbles 0are [^ ev] <on their> [/?] on their bread
CHI:	I don't know [^ ns] .
CHI:	he's picking up something the daddy dropped on the ground .
INV:	tell me one more thing about the picture .
CHI:	the little boy has his water .
INV:	and what's going to happen next ?
INV:	and what's going to happen next ?
CHI:	they're trying to make pancakes <for their xxx> [/?] for tomorrow .
CHI:	the dog's running away .
CHI:	because the little boy wants his scissors .
CHI:	<he> [/?] he [^ ew:she] [^ epronoun] needs to have ten poopies
INV:	the boy knocked down the boxes off the shelf .
CHI:	wait, <is that> [/?] is that their cat [^ ns] ?
CHI:	<it's> [/?] there's a rope .
INV:	tell me one thing .
CHI:	<and it> [>] xxx to the couch .
CHI:	&um the doggy wants to lick stuff .
CHI:	<&uh there's a there's> [/?] the people 0are [^ ev] not happy about
CHI:	I don't know [^ ns] .
INV:	what else is happening in this picture ?
INV:	what will happen in just a little while ?
CHI:	I don't know [^ ns] .
INV:	and what's going to happen next ?
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	I don't know [^ ns] .
CHI:	no, I don't know [^ ns] .
INV:	you tell me .
INV:	what else is happening in this picture ?
INV:	no, you tell me .
CHI:	<and> [/?] and she left the cake [^ earg] [^ eu] .
CHI:	I don't know [^ ns] .
INV:	the dog is in front of the bus .
CHI:	the little boys wanna get <it to> [/?] him down .
CHI:	<the boy> [/?] the girls and boys are trying to wash the dog .
INV:	tell me what else you see in the picture .
INV:	what's going to happen next ?
CHI:	<this the this the sink the floor has> [/?] there's so much water .
CHI:	this girl can't play with the gate .
CHI:	&um she's washing the doggy .
INV:	what else is happening in this picture ?
CHI:	what is it [^ ns] ?
CHI:	he hasta have poopies to get it [^ ns] .
INV:	what's happening in the picture ?
CHI:	I think I xxx +/.
INV:	what will happen in just a little while ?
INV:	just tell me anything else about the picture .
INV:	tell me one more thing about the picture .
INV:	what will happen in just a little while ?
INV:	the dog and the girl have the daddy's shoes .
CHI:	the car's going on [^ ew:in] [^ emorph] the traffic [^ eu] .
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
INV:	and what's going to happen next ?
INV:	what's happening in the picture ?
CHI:	<when> [/?] I think the boys are gonna throw some snow to [^ ew:at]
INV:	and what's going to happen next ?
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
CHI:	they're making a snowman in the snowy, snowy snow .
INV:	what else is happening in this picture ?
INV:	the daddy is hiding a doll behind his back .
CHI:	but <he can't &ha get it when he gets it> [/?] he [^ ew:she]
INV:	what will happen in just a little while ?
CHI:	the mommy [^ frag] [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	can I put a sticker on this yet [^ ns] ?
CHI:	and look, he had <his> [/?] his paw print .
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	<the the the> [/?] the people are not <&ha> [/?] happy about it .
CHI:	the daddy's looking through [^ ew:in] [^ emorph] the mirror [^ eu]
INV:	what else is happening in this picture ?
INV:	and what's going to happen next ?
CHI:	do you know what's going to happen next [^ ns] ?
CHI:	I don't know [^ ns] .
CHI:	<the mommy> [/?] the wagons [^ ew:wagon] [^ emorph] is out of the
CHI:	I don't know [^ ns] .
CHI:	<&th> [/?] they're brushing the leafs .
INV:	and the bus can't move .
INV:	oh_no, the bubbles spilled .
INV:	what will happen in just a little while ?
INV:	what will happen in just a little while ?
CHI:	<the puppy's gonna> [<] go roll over .
CHI:	<and and> [/?] and no kittycats can be on the other side of the
INV:	and what's going to happen next ?
CHI:	<and she's &n> [/?] and she's driving a car .
CHI:	but she doesn't want them to brush the leafs away .
CHI:	look, <there's &um> [/?] there's too much water .
CHI:	and he brushing her hair [^ eu] .
INV:	what's happening in the picture ?
CHI:	the boy knocked the boxes down .
INV:	tell me one more thing about the picture .
INV:	just tell me anything else about the picture .
INV:	what else is happening in this picture ?
CHI:	there's some doggy prints going on the cake .
CHI:	the boys are having [^ elexical] the bucket first [^ other] [^ eu]
INV:	tell me one more thing about the picture .
CHI:	I don't know [^ ns] .
INV:	what will happen in just a little while ?
CHI:	boys [% repeated 4x] [^ frag] [^ eu] .
CHI:	can you tell me [^ ns] ?
INV:	what's happening in the picture ?
INV:	what will happen in just a little while ?
CHI:	he can't play with the gate [^ ns] .
INV:	and what's going to happen next ?
INV:	what else is happening in this picture ?
CHI:	all the boxes are falling down .
INV:	the boys are fighting .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	tell me one more thing about the picture .
CHI:	they should have said “stop, puppy” .
INV:	just tell me what you see in the picture .
INV:	what else is happening in this picture ?
INV:	<pick a sticker> [>] .
CHI:	I don't know [^ ns] .
CHI:	I don't know [^ ns] .
CHI:	but <the daddy &shov> [/?] the mommy's shoveling the <&sn> [/?]
INV:	just tell me what you see .
CHI:	the mommies <hafta pick all of the box hafta> [/?] hafta catch them
CHI:	the driver's still driving the bus .
CHI:	I don't know [^ ns] .
CHI:	the doggy [^ ew:kitty] <is in the> [/?] jumped in the tree [^ eu] .
CHI:	I don't know [^ ns] .
INV:	what will happen in just a little while ?
CHI:	I don't know [^ ns] .
CHI:	<the the he's the the he's> [/?] he's picking up <his> [/?] his <<I
CHI:	all the donuts 0are [^ ev] coming out of the donut bag [^ eu] .
CHI:	can you tell me about it [^ ns] ?
CHI:	I don't know [^ ns] .
INV:	what's happening in the picture ?
CHI:	<&th> [/?] the water's spilling .
CHI:	he [^ ew:she] [^ epronoun] can have it when he [^ ew:she]
CHI:	I don't know [^ ns] .
CHI:	oh, I think it's a kittycat .
INV:	the children see the cat .
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
CHI:	I don't know [^ ns] .
INV:	the children are trying to wash the dog .
CHI:	the boy wants his scissors [^ ns] .
CHI:	may I pick a sticker now [^ ns] ?
INV:	oh_no, what else is happening in this picture ?
CHI:	the dad's making some toast <for> [/?] for the girls .
INV:	and what's going to happen next ?
CHI:	there [^ ns] ?
CHI:	and you can't take your new toy with you .
CHI:	the mommy is coming .
INV:	just tell me anything else about the picture .
CHI:	and the boy <in> [/?] in [^ ew:on] [^ emorph] that stool is falling
INV:	tell me one more thing about the picture .
INV:	what will happen in just a little while ?
INV:	<oh> [<] .
INV:	what else is happening in this picture ?
INV:	the boys are throwing snowballs .
CHI:	he <&wi> [/?] will fall down and hurt hisself [^ ew:himself]
CHI:	the bubbles [^ ns] .
CHI:	oh, the girl's falling .
CHI:	what is it [^ ns] ?
CHI:	I don't know [^ ns] .
INV:	oh_no, and what's going to happen next ?
CHI:	I think we did all the pictures now [^ ns] .
INV:	just tell me what you see in the picture .
CHI:	but the mommy's not there .
CHI:	hey, that girl's taking the leafs away .
INV:	tell me that again .
INV:	the children are taking the donuts from the bag .
INV:	tell me one more thing about the picture .
INV:	I want you to tell me about it .
CHI:	what is it [^ ns] ?
CHI:	there's a lot of traffic, see ?
CHI:	and then the doggy jumped over [^ earg] [^ eu] .
INV:	what's happening in the picture ?
INV:	no, you tell me .
INV:	the boy is trying to get the cookies .
INV:	tell me one more thing about the picture .
INV:	what will happen in just a little while ?
INV:	tell me one more thing about the picture .
INV:	the cat is stuck up in the tree .
INV:	what's going to happen next ?
CHI:	and he's raking the leafs .
CHI:	<all of the xxx &uh she's drinking her the &d> [/?] he's driving
INV:	good job .
CHI:	<&th there's the cat there's> [/?] there's some doggy prints .
INV:	and here comes the mom .
CHI:	I don't know [^ ns] .
CHI:	he doesn't wanna get washed though .
CHI:	that's not very nice behavior .
CHI:	and the puppy dog's down there waiting for him .
INV:	tell me that again .
CHI:	<can't take> [<] your new toy with you [^ ns] .
INV:	what's happening in the picture ?
INV:	and what's going to happen next ?
CHI:	they still hafta make some more .
INV:	what's happening in the picture ?
CHI:	&um daddy's putting bread on the plate [^ eu] .
CHI:	and that squirrel's climbing down the tree .
CHI:	the mommy still has her shoes on .
INV:	what will happen in just a little while ?
CHI:	<the> [/?] they're blowing bubbles to her .
CHI:	I don't know [^ ns] .
CHI:	<the daddy wants his and the boy the girl he has a baby brother
INV:	what will happen in just a little while ?
INV:	what's happening in the picture ?
INV:	just tell me anything else about the picture .
INV:	what else is happening in this picture ?
CHI:	he's picking up something daddy dropped [^ ns] .
CHI:	the peoples [^ ew:people] [^ emorph] is [^ ew:are] [^ ev] angry
INV:	and what's going to happen next ?
INV:	oh_no, the dog ate some of the cake .
CHI:	it's in a little box he [^ ew:she] [^ epronoun] can't have [^ eu] .
CHI:	<and the> [/?] and the waters [^ ew:water] [^ emorph] fell down to
