participant	content
INV:	tell me one more thing about the picture .
CHI:	<they they> [/?] they 0are [^ ev] pulling [^ earg] [^ eu] .
INV:	what's happening in the picture ?
CHI:	and then [% noise] xxx +...
CHI:	they hafta get xxx .
CHI:	they're pulling [^ earg] [^ eu] .
INV:	what's happening in the picture ?
INV:	he has what ?
CHI:	they [% makes screeching noise] xxx +...
INV:	they raked the leaves into a big pile .
CHI:	yeah [^ ns] .
CHI:	then [^ earg] <hafta> [/?] hafta jump over her roof [^ eu] .
INV:	wait, let me ask the question first, okay ?
CHI:	<he> [/?] her [^ ew:she] [^ epronoun] stop [^ ev] [^ eu] .
CHI:	he has xxx +...
CHI:	the father makes <the the> [/?] the breakfast .
INV:	her dop@n ?
INV:	tell me one more thing about the picture .
CHI:	<he> [/?] a dog have [^ ew:has] [^ ev] to wash [^ earg] [^ eu] .
CHI:	&uh I don't know [^ ns] .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
CHI:	xxx .
INV:	what else is happening in the picture ?
INV:	what's going to happen next ?
CHI:	<he> [/?] he [^ ew:she] [^ epronoun] want [* m:03s] [^ ev] to have
INV:	what's happening in the picture ?
INV:	oh_no, the bubbles spilled .
CHI:	&um nothing [^ ns] .
INV:	what's happening in the picture ?
INV:	the children are trying to wash the dog .
CHI:	her [^ ew:she] [^ epronoun] have [^ ew:has] [^ ev] 0the [^ emorph]
INV:	what's going to happen next ?
CHI:	a baby want [* m:03s] [^ ev] to fall down [^ eu] .
INV:	tell me one more thing about the picture .
INV:	he what ?
INV:	oh, her stop .
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
CHI:	is covered with snow [^ ns] .
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the picture .
INV:	hold on .
INV:	mom give what ?
CHI:	he want [* m:03s] [^ ev] to get the cookie [^ eu] .
CHI:	they xxx .
INV:	the boy is trying to get the cookies .
INV:	tell me one more thing about the picture .
CHI:	they xxx xxx +/.
CHI:	daddy 0is [^ ev] holding something [^ eu] .
INV:	just tell me anything else about the picture .
CHI:	he have [^ ew:has] [^ ev] to hold <some (.) some> [/?] some biscuit
CHI:	they boom_boom_boom_boom_boom_boom@c [^ ns] .
CHI:	&um he 0is [^ ev] raking leaf [* m:0s] [^ emorph] up [^ eu] .
CHI:	&um her [^ ew:she] [^ epronoun] have [^ ew:has] [^ ev] to clean all
CHI:	and then xxx +...
CHI:	he [^ ew:his] [^ epronoun] grandma's go [* m:0ing] [^ emorph] to
CHI:	I wanna ask my mom something [^ ns] .
INV:	what's going to happen next ?
INV:	what's going to happen next ?
CHI:	<mom> [/?] mom give [^ ev] they [^ ew:their] [^ epronoun] wagon
CHI:	a dog have [^ ew:has] to wash [^ ns] .
CHI:	and then five buckets go xxx .
INV:	what else is happening in this picture ?
INV:	and here comes the mom .
CHI:	and xxx +/.
INV:	tell me one more thing about the picture .
CHI:	it's over [^ ns] .
INV:	the little girl is still in her pajamas .
INV:	what else is happening in this picture ?
CHI:	<he &d> [/?] he [^ ew:his] [^ epronoun] bike go [* m:03s] [^ ev]
CHI:	and then <a cat a cat> [/?] a cat (.) go [^ ev] up the tree [^ eu]
INV:	what's going to happen next ?
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
CHI:	and dad have [^ ew:has] [^ ev] to get mad [% screamy voice] [^ eu]
INV:	and the bus can't move .
CHI:	0 .
INV:	what else is happening in this picture ?
INV:	the dog is in front of the bus .
CHI:	he xxx another leaf .
INV:	what else is happening in this picture ?
CHI:	a baby want [* m:03s] to fall [^ ns] .
CHI:	a cat 0is [^ ev] gonna fall to this [^ eu] .
CHI:	they 0are [^ ev] pulling [^ earg] [^ eu] .
CHI:	this, they [^ ew:their] wagon [^ ns] .
INV:	tell me one more thing about the picture .
INV:	yeah, what's going to happen next ?
CHI:	0 .
CHI:	&um a bus have [^ ew:has] [^ ev] to drive like xxx .
CHI:	and then grandma hadta cut it .
INV:	tell me one more thing about the picture .
CHI:	he didn't xxx .
CHI:	and then it's over [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	her stop [^ ns] .
INV:	what's going to happen next ?
CHI:	and then grandpa [^ other] 0v be quiet [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	he want [* m:03s] the doll [^ ns] .
CHI:	<her> [/?] her buckets go in there .
CHI:	and then he go [^ ev] to sleep [^ eu] .
INV:	I can't understand you if you have something in your mouth .
INV:	the cat is stuck up in the tree .
CHI:	&um and then a roof <&o> [/?] over the xxx .
CHI:	it's all wet [^ ns] .
INV:	what else is happening in this picture ?
INV:	what's going to happen next ?
INV:	what's going to happen next ?
INV:	what's going to happen next ?
CHI:	mommy get [* m:03s] [^ ev] mad and mad [^ eu] .
INV:	what's happening in the picture ?
INV:	look, the daddy is hiding the doll behind his back .
CHI:	<and then> [/?] and then her [^ ew:she] [^ epronoun] have
CHI:	they hafta be like mommy and daddy .
CHI:	&um mommy want [* m:03s] to <get> [/?] get the xxx .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
INV:	tell me one more thing about the picture .
INV:	what's going to happen next ?
INV:	what else is happening in this picture ?
CHI:	they boom_boom_boom_boom_boom_boom@c [^ ns] .
INV:	what ?
INV:	what else is happening in this picture ?
CHI:	a baby want [* m:03s] [^ ev] to fall [^ eu] .
INV:	what's happening in the picture ?
INV:	it's what ?
