participant	content
INV:	what's happening in the picture ?
CHI:	[^ earg] spilling [^ earg] [^ eu] .
CHI:	[^ earg] leaning over [^ earg] [^ eu] .
INV:	what else is happening in this picture ?
INV:	tell me what else you see in the picture .
INV:	what's going to happen next ?
INV:	the boy is trying to get the cookies .
INV:	what's going to happen in just a little while ?
CHI:	he's gonna fall .
INV:	tell me one more thing about the picture .
INV:	just tell me anything else about the picture .
CHI:	&um it's not aiming to [^ ew:at] [^ emorph] the sidewalk at all
INV:	what's happening in the picture ?
CHI:	his momma is driving .
INV:	<what else is happening in this picture> [>] ?
CHI:	<the boy> [<] has a donut in his hand .
CHI:	and one person is in the car .
CHI:	<and the other person and the other> [/?] and the other kid is in
INV:	what's going to happen next ?
INV:	the children are taking the donuts from the bag .
INV:	what's going to happen in just a little while ?
CHI:	they will eat all the donuts .
INV:	tell me one more thing about the picture .
CHI:	why is the bag in front [^ ns] ?
CHI:	so they cannot get them ?
INV:	what's happening in the picture ?
INV:	just tell me what you see in the picture .
CHI:	the doggy is under the couch .
INV:	what else is happening in this picture ?
INV:	tell me about what else you see in the picture .
CHI:	&um what's wrong with that [^ ns] ?
INV:	can you tell me that again ?
CHI:	what's wrong with that [^ ns] ?
INV:	and what's going to happen next ?
INV:	oh_no, the dog ate some of the cake .
INV:	what's going to happen in just a little while ?
INV:	tell me one more thing about the picture .
INV:	just tell me anything else about the picture .
CHI:	why is the lamp dirty [^ ns] ?
INV:	what's happening in the picture ?
CHI:	the cat is sad .
INV:	what else is happening in this picture ?
CHI:	this [% pointing to picture] [^ ns] .
INV:	tell me about what else you see in the picture .
CHI:	they're both boys .
INV:	and what's going to happen next ?
CHI:	&um .
INV:	the children see the cat .
INV:	the cat is stuck up in the tree .
INV:	what's going to happen in just a little while ?
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the picture .
INV:	just tell me anything else about the picture .
CHI:	the cat is looking down .
INV:	what's happening in the picture ?
CHI:	the dad has a short tie .
INV:	what else is happening in this picture ?
CHI:	she's not dressed .
INV:	and what's going to happen next ?
CHI:	look at the mom and dad .
INV:	can you tell me that again ?
CHI:	look at the mom and dad [^ ns] .
INV:	the little girl is still in her pajamas .
INV:	what's going to happen in just a little while ?
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	0the [^ emorph] orange juice has got [^ ew:gotten] [^ emorph] all
INV:	what's happening in the picture ?
INV:	just tell me what you see in the picture .
CHI:	the doll [^ ns] .
INV:	what else is happening in this picture ?
CHI:	she doesn't have a coat .
INV:	and what's going to happen next ?
CHI:	I don't know [^ ns] .
INV:	the daddy is hiding a doll behind his back .
INV:	what's going to happen in just a little while ?
CHI:	he will give it to her .
INV:	tell me one more thing about the picture .
CHI:	[^ earg] shouldn't be triangles [^ eu] .
INV:	tell me that again .
CHI:	shouldn't be triangles where my finger is [^ ns] .
INV:	what's happening in the picture ?
CHI:	I don't know [^ ns] .
INV:	just tell me what you see in the picture .
CHI:	he's gonna snip that thing .
INV:	what else is happening in this picture ?
INV:	tell me about what else you see in the picture .
CHI:	I don't know [^ ns] .
INV:	the boy is taking his grandma's scissors .
INV:	and what's going to happen in just a little while ?
INV:	tell me one more thing about the picture .
CHI:	he's crawling .
INV:	thank you .
CHI:	and he's crying .
INV:	what's happening in the picture ?
CHI:	I don't know [^ ns] .
INV:	just tell me what you see in the picture .
CHI:	two of the same girls [^ ns] .
INV:	what else is happening in this picture ?
INV:	tell me about what else you see in the picture .
CHI:	this this this this this this [^ ns] .
CHI:	I don't know [^ ns] .
INV:	and what's going to happen next ?
INV:	the boy knocked the boxes off the shelf .
INV:	and what's going to happen in just a little while ?
CHI:	they will crash and spill [^ earg] [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	<both of those one of those> [/?] a girl is pushing the cart
INV:	what's happening in the picture ?
CHI:	I don't know [^ ns] .
INV:	just tell me what you see in the picture .
CHI:	he's getting [^ ew:putting] [^ elexical] out the leafs in the
INV:	what else is happening in this picture ?
INV:	tell me about what else you see in the picture .
CHI:	<and they're> [/?] and <they're> [/?] they are not raking [^ earg]
INV:	and what's going to happen next ?
INV:	they raked the leaves into a big pile .
INV:	what's going to happen in just a little while ?
INV:	tell me one more thing about the picture .
CHI:	what's this doing out here [^ ns] ?
CHI:	look at this window .
CHI:	these windows are not the same .
INV:	what's happening in the picture ?
CHI:	I don't know [^ ns] .
INV:	just tell me what you see in the picture .
CHI:	they got the dog <after> [/?] after [^ ew] [^ emorph] 0det
INV:	can you tell me that again ?
CHI:	they are afraid .
INV:	what else is happening in this picture ?
CHI:	the dog is on the street .
INV:	and what's going to happen next ?
INV:	the dog is in front of the bus .
INV:	and the bus can't move .
INV:	what's going to happen in just a little while ?
INV:	tell me one more thing about the picture .
CHI:	0 .
