participant	content
INV:	wait .
INV:	okay, the mom's trying to sleep and xxx +...
INV:	what is going to happen next ?
INV:	what is going to happen next ?
CHI:	he want [* m:03s] [^ ev] it first [^ eu] .
CHI:	then <dog eat> [/?] the dog eat [^ ew:ate] [^ ev] it [^ eu] because
INV:	alrighty .
CHI:	and they're really shouting .
INV:	her's tired .
CHI:	the mommy's trying to sleep [: sweep] .
INV:	<okay> [<] .
INV:	good job .
INV:	what is going to happen next ?
CHI:	the boy <duh> [/?] hurt her [^ ew;his] [^ epronoun] sister [^ eu] .
CHI:	because the boy's old .
CHI:	and then he can't stop the guy because he <xxx> [>] .
INV:	the mom is driving and what ?
INV:	what's happening in the picture ?
CHI:	and <there &th &th &th> [/?] there's flowerses [: flowers] [*] <on
INV:	what is going to happen next ?
INV:	the children are trying to wash the dog .
INV:	tell me one more thing about this story .
CHI:	and the boy a donut because xxx +/.
CHI:	and then xxx +/.
INV:	<good job> [<] .
CHI:	<the> [/?] the cake is broke [^ ew:broken] [^ emorph] [^ eu] .
CHI:	okay [^ ns] .
INV:	what's happening in the picture ?
INV:	what ?
INV:	what's happening in the picture ?
CHI:	the girl has some toys <on> [/?] on her hands .
INV:	good job .
CHI:	and the boy say [^ ev] “no” [^ eu] .
INV:	what's happening in the picture ?
INV:	what is going to happen next ?
CHI:	because he's trying 0to [^ emorph] go to work [^ eu] .
CHI:	but there's another one .
INV:	just tell me one thing, okay ?
INV:	the bus can't move .
INV:	okay .
CHI:	the boy 0is crying [^ ns] .
CHI:	<the &do> [/?] the dog has 0a [^ emorph] shoe [^ eu] .
CHI:	<the he &n he needta> [/?] that's he's [^ ew:his] [^ epronoun]
INV:	what else is happening in this picture ?
INV:	cut something, okay .
CHI:	they're trying 0to [^ emorph] get their dog [^ eu] .
CHI:	the dog eat [^ ev] it because <these these> [/?] this girl and this
CHI:	<he's g> [/?] he got some scissors .
CHI:	the mommy 0is trying cut something [^ ns] .
INV:	the girl what ?
INV:	tell me one more thing about this story .
INV:	what's happening in the picture ?
INV:	the children are taking the donuts out of the bag .
CHI:	it's snowing outside .
CHI:	the mommy 0is [^ ev] trying 0to [^ emorph] cut something to
INV:	wait wait .
CHI:	and he can't do it .
INV:	what else is happening in this picture ?
CHI:	and <they're> [/?] they're fighting .
CHI:	<the> [/?] the girl has the xxx [% yawning] .
INV:	what else is happening in this picture ?
INV:	wait .
CHI:	<he trying the the> [/?] her's [: she's] [* s:r:gc] trying [^ earg]
CHI:	because [^ ew:but] [^ econj] [^ other] the boy's not all wet [^ eu]
INV:	what else is happening in this picture ?
CHI:	and the mommy say [^ ev] “no” because [^ ew] [^ emorph] they're mad
CHI:	the girl xxx +/.
CHI:	<and the cat is so sad because the cat &ca because> [/?] the cat is
INV:	the dog and the girl has the daddy's shoes .
INV:	what is going to happen next ?
CHI:	<the the the> [/?] the water 0is [^ ev] spilling down 0on
INV:	good job .
INV:	the mommy trying what ?
CHI:	<and the> [/?] and the girl has he's [^ ew:his] [^ epronoun] hat
CHI:	the fire engine's coming to save the cat .
CHI:	the girl's <sharing> [/?] sharing the donut because <her> [/?] the
CHI:	because they're really mad .
CHI:	because the mommy's really say [* m:0ing] [^ emorph] “no” because
INV:	the water is spilling all over the floor .
CHI:	and the dog hides his hat .
CHI:	but there's a cat in the xxx .
CHI:	he get [^ ev] a cookie jar [^ eu] .
INV:	what else is happening in this picture ?
CHI:	<an> [/?] and then <the the> [/?] the boys make the snowball .
CHI:	<her's trying to to> [/?] her's [: she's] [* s:r:gc] picking the
CHI:	<the> [/?] the boy tries 0to [^ emorph] shoot the dog because the
CHI:	the boy 0is [^ ev] trying to wash he's [^ ew:his] [^ epronoun] bike
INV:	what else is happening in this picture ?
INV:	wait .
INV:	the daddy is hiding a doll behind his back .
INV:	what is going to happen next ?
INV:	the dog says woof because what ?
CHI:	okay [^ ns] .
INV:	what's happening in the picture ?
CHI:	they're really trying to 0be [^ other] mad [^ eu] .
CHI:	and her [: she] [* s:r:gc] 0is [^ ev] trying to slide on the leafs
INV:	the boy is taking his grandma's scissors out of the basket .
CHI:	<and then> [<] the girl's all wet .
INV:	the boys are throwing snowballs .
INV:	what ?
CHI:	<the> [/?] the box is falling down because [^ emorph] <the the
INV:	<good job> [<] .
CHI:	<and the boy> [/?] <and> [>] the boy has his tie .
INV:	tell me one more thing about the picture .
CHI:	so they xxx the dog because <they're they're they're they're
INV:	tell me one more thing about the story .
CHI:	because the daddy go [^ ev] to work [^ eu] .
INV:	<good job> [>] .
CHI:	they're snatching [^ earg] [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	the leaf fall [^ ev] down [^ eu] .
INV:	the girl has what ?
CHI:	<and> [<] he's trying to rake [^ ns] .
CHI:	the dad try [^ ev] 0to [^ emorph] look in the mirror <because xxx
INV:	tell me one more thing about this story .
INV:	wait wait .
INV:	what else is happening in this picture ?
CHI:	because <there> [/?] there xxx on their sand because he want it
INV:	tell me one more thing about the picture .
CHI:	the fire engine's coming to save the cat [^ ns] .
CHI:	<it's only> [/?] it's only <&d> [/?] spilling all over the place .
CHI:	because the boy's brushing the dog because the dog's all wet .
CHI:	because xxx +/.
CHI:	the boy has this tie .
CHI:	and then they're raking their leafs .
CHI:	the dog's go [* m:0ing] [^ emorph] <in the> [/?] in the boy <and
INV:	tell me one more thing about this story .
INV:	what's happening in the picture ?
CHI:	the dog say [* m:03s] [^ ev] “watch out behind you” [^ eu] .
INV:	the girl what ?
INV:	what else is happening in this picture ?
INV:	good <job> [>] .
INV:	tell me one more thing about the story .
INV:	what else is happening in this picture ?
INV:	they are what ?
CHI:	and then xxx xxx +/.
CHI:	her's [^ ew:she's] tired [^ ns] .
CHI:	the boy <throwing &s &s> [/?] 0is [^ ev] throwing <&s> [/?] 0a
CHI:	the dad 0is [^ ev] trying to go to school <and he &lo and there>
