participant	content
INV	I see a car 
CHI	 
INV	I see your car 
INV	you found a car 
INV	Chi 
INV	where's the house 
INV	where's the house 
INV	where's the house for the car 
CHI	  
INV	  
INV	is it in the closet 
CHI	 
INV	in the closet 
INV	where is it 
INV	where is it 
CHI	 
INV	is this the house 
INV	look 
INV	Chi look 
INV	look 
INV	 
INV	what did you find 
CHI	 
INV	choo choo 
INV	you found a train 
INV	look 
INV	I got the house 
CHI	 
INV	choo choo 
INV	get the house 
CHI	 
INV	take it to the table 
CHI	 
INV	put it on the table 
CHI	 
INV	on the table 
INV	can you shut the door 
INV	Chi shut the door 
CHI	 
INV	we've gotta shut the closet door 
INV	thank you 
CHI	 
INV	 
CHI	 
INV	choo choo 
INV	open the house 
CHI	 
INV	oop 
INV	 it won't fit in the garage 
CHI	  
INV	it's too big 
INV	it's too big 
INV	can you open the house 
CHI	  
INV	open the house 
INV	open 
CHI	choo choo  
INV	here 
INV	put her on the train 
CHI	 
INV	you gonna put it up 
CHI	 
INV	there's the piano 
INV	here's a five 
CHI	five 
INV	six 
CHI	six 
INV	seven 
CHI	seven 
CHI	 
INV	four 
CHI	four 
CHI	 
INV	five 
CHI	five 
INV	you're pushing the buttons 
INV	  
INV	push the button 
INV	  
INV	push the button 
INV	are you making music 
INV	let the lady make the music 
INV	  
INV	she's playing the piano 
CHI	 
INV	gonna put her in the car 
CHI	 
INV	bye bye 
INV	you put her in the garage 
CHI	 
INV	you put her in the garage 
CHI	 
INV	shut the door 
CHI	 
INV	shut the door 
INV	put her on the train 
INV	  
CHI	bye bye 
INV	bye bye lady 
INV	put her on top 
CHI	 
INV	 oh 
INV	they fell down 
INV	  
CHI	 
INV	bye bye 
INV	pick em up 
CHI	 
INV	pick them up 
CHI	 
INV	thank you 
INV	you picked em up 
CHI	 
CHI	 
INV	choo choo 
CHI	 
INV	  
INV	I've got a girl 
INV	you wanna man 
CHI	 
INV	here's a man 
INV	can you make her play the piano 
INV	 
INV	  
INV	play the piano 
INV	  
INV	on the train 
CHI	 
INV	  oh 
CHI	 oh 
INV	 oh 
INV	they fell down 
INV	  oh 
INV	they fell down 
CHI	 oh 
INV	 oh 
INV	crash 
INV	they fell off the table 
CHI	choo choo 
INV	choo choo 
CHI	 
INV	can you pick em up 
INV	pick em up 
CHI	 
INV	on the table 
CHI	 
INV	put it on the table 
INV	let's make the train go 
INV	ch_ch_ch 
CHI	 
INV	 oh 
INV	put em on the table 
CHI	 
INV	oop 
INV	dropped her 
INV	here I'll help 
INV	I'll help you 
INV	on the table 
CHI	 
CHI	bye bye 
INV	bye bye 
INV	on the table 
INV	are you lining them up 
INV	are you lining them up 
CHI	bye 
INV	where are they going 
CHI	bye 
CHI	 
INV	you gonna take the car out 
CHI	bye 
INV	bye bye lady 
INV	you put her in the car 
INV	in the car 
INV	shut the door 
INV	shut the door 
INV	 
INV	I found the table  and some chairs 
CHI	 
INV	make em crash 
INV	ready 
INV	  
INV	crash 
INV	she fell off 
INV	  
INV	crash 
INV	they crashed 
CHI	 
INV	put her on the car 
INV	I'm gonna put the car  on the train 
INV	  
INV	it fell down 
CHI	 
INV	choo choo 
INV	make it go 
INV	make it go 
INV	ch_ch_ch_ch_ch_ch_choo_choo 
CHI	ch_ch [] 
INV	ch_ch [] ch_ch_ch 
INV	  
CHI	 
INV	it won't fit in the garage 
INV	it's too big 
CHI	 
INV	open the door 
CHI	 
INV	 it won't fit 
INV	it's too big 
INV	the train's too big 
CHI	choo choo 
INV	choo choo 
INV	a cow 
CHI	 
INV	moo 
INV	that's right 
INV	moo 
INV	you put the cow on the table 
CHI	 
INV	on the table 
INV	Chi 
INV	can you put the train in the box 
INV	put the train in the box 
INV	in the box 
INV	bye bye train 
INV	let's put the people in the chair 
CHI	 
INV	oh are we going to put it all up now 
CHI	bye bye 
INV	bye bye 
CHI	bye bye 
INV	bye bye people 
INV	  
CHI	bye bye 
INV	my turn 
INV	bye bye man 
INV	Chi's turn 
CHI	bye bye 
INV	bye bye cow 
INV	my turn 
INV	bye bye chair 
CHI	 
INV	Chi's turn 
CHI	my turn  
INV	your turn 
CHI	bye bye [] 
INV	Exp's turn [] 
INV	bye bye table 
CHI	bye bye 
INV	bye bye table 
CHI	 
INV	shut the house 
INV	shut the house 
INV	can you put it in the box 
CHI	 
INV	let's put the house  in the box 
INV	bye bye house 
INV	  
INV	bye bye house 
INV	put it in the closet 
CHI	 
INV	put it up 
INV	 oh 
INV	look 
INV	where does the man go 
CHI	 
INV	in the box 
INV	how bout this 
INV	where does the piano go 
CHI	 
INV	 
INV	are you playing the music 
INV	you're playing 
INV	put it in 
INV	bye bye piano 
CHI	 
INV	bye bye 
INV	let's put it in the closet 
CHI	 
INV	pick it up 
INV	okay 
INV	gotta open the door 
CHI	 
INV	open the door 
CHI	 
INV	put it in 
INV	put it in 
INV	wanna do the barn 
INV	wanna do the barn 
INV	let's get the barn out 
INV	here you go 
INV	here you go 
INV	put it on the table 
INV	go put it on the table 
INV	now what'd you find 
INV	oh you wanna get those animals 
INV	 oh 
CHI	grroow 
INV	grr 
INV	it's a bear 
CHI	 
INV	on the table 
CHI	grroow 
INV	Chi can you shut the door 
INV	shut the door 
CHI	 
INV	shut the door 
INV	shut it 
INV	very good 
CHI	 
INV	can we take the barn out 
CHI	 
INV	you've got the horse 
INV	 roar 
INV	there's the lion 
INV	  
INV	there's the lion 
CHI	 
INV	what sound does a lion make 
CHI	 
INV	does it roar 
CHI	 
INV	you found the lion 
INV	here Chi 
INV	take the  take the barn out_of the box 
INV	take it out 
CHI	 
INV	take it out 
CHI	 
CHI	 
INV	take em out 
INV	I got the cow 
INV	  
INV	roof roof roof roof 
INV	got the doggie 
CHI	 
INV	  
INV	moo 
INV	I got the horse 
INV	put the fence up 
CHI	 
INV	shut the door 
INV	I've got the horse 
CHI	 
INV	 there's the horse 
CHI	  
INV	put the horse behind the fence 
CHI	 
INV	moo 
INV	there's the cow 
CHI	 
INV	baa 
INV	baa 
CHI	 
INV	you don't want the sheep 
CHI	 
INV	neigh 
INV	that's a horse 
CHI	 
CHI	 
INV	neigh 
INV	make him stand 
CHI	 
CHI	 
INV	you got the 
INV	  
INV	is the lion getting them 
INV	oh no 
CHI	 
INV	oh no 
CHI	 
INV	the lion ate em 
CHI	 
INV	bad lion 
CHI	 
INV	here comes the bear 
INV	here comes the bear 
INV	bear's gonna get the lion 
INV	bear's gonna get the lion 
INV	 I'm getting the lion 
INV	grrr 
CHI	  
INV	roof roof roof roof roof roof 
CHI	  
INV	roof roof 
CHI	  
INV	put the fence up 
CHI	 
CHI	 
INV	here lets put the lion 
INV	can I see the lion 
INV	put the lion down 
INV	  
