participant	content
INV:	and what's going to happen next ?
INV:	what else is happening in this picture ?
CHI:	the boy wants his scissors [^ ns] .
INV:	just tell me anything else about the picture .
INV:	what's going to happen next ?
INV:	oh_no, what else is happening in this picture ?
CHI:	<and she's &n> [/?] and she's driving a car .
INV:	what will happen in just a little while ?
CHI:	do you know what's going to happen next [^ ns] ?
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
CHI:	the little boys wanna get <it to> [/?] him down .
CHI:	she's taking the leafs away .
INV:	the little girl is still in her pajamas .
INV:	what's happening in the picture ?
CHI:	<it's> [/?] there's a rope .
CHI:	can you tell me about it [^ ns] ?
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	may I pick a sticker now [^ ns] ?
CHI:	no, I don't know [^ ns] .
CHI:	and then the doggy jumped over [^ earg] [^ eu] .
CHI:	I don't know [^ ns] .
INV:	and what's going to happen next ?
CHI:	I don't know [^ ns] .
CHI:	<the daddy wants his and the boy the girl he has a baby brother
CHI:	the peoples [^ ew:people] [^ emorph] is [^ ew:are] [^ ev] angry
CHI:	the doggy's in the middle [^ ew:front] of [^ emorph] the bus [^ eu]
INV:	the children are trying to wash the dog .
INV:	what will happen in just a little while ?
CHI:	<the mommy> [/?] the wagons [^ ew:wagon] [^ emorph] is out of the
CHI:	I don't know [^ ns] .
INV:	oh_no, the bubbles spilled .
CHI:	all the donuts 0are [^ ev] coming out of the donut bag [^ eu] .
CHI:	because the little boy wants his scissors .
CHI:	<and and> [/?] and no kittycats can be on the other side of the
CHI:	the mommies <hafta pick all of the box hafta> [/?] hafta catch them
CHI:	dad's making the toast for the girls .
INV:	and what's going to happen next ?
CHI:	and that water's falling down to the ground .
INV:	just tell me what you see in the picture .
CHI:	and he brushing her hair [^ eu] .
CHI:	he <&wi> [/?] will fall down and hurt hisself [^ ew:himself]
CHI:	I don't know [^ ns] .
CHI:	&um the doggy wants to lick stuff .
CHI:	he can't play with the gate [^ ns] .
INV:	<oh> [<] .
INV:	just tell me anything else about the picture .
INV:	tell me that again .
INV:	and what's going to happen next ?
CHI:	<the the he's the the he's> [/?] he's picking up <his> [/?] his <<I
CHI:	the little boy has his water .
CHI:	&um daddy's putting bread on the plate [^ eu] .
CHI:	he [^ ew:she] [^ epronoun] can have it when he [^ ew:she]
CHI:	they're trying to make pancakes <for their xxx> [/?] for tomorrow .
INV:	what's happening in the picture ?
INV:	tell me one more thing about the picture .
INV:	the children are taking the donuts from the bag .
CHI:	it's in a little box he [^ ew:she] [^ epronoun] can't have [^ eu] .
INV:	what will happen in just a little while ?
CHI:	boys [% repeated 4x] [^ frag] [^ eu] .
INV:	what else is happening [% unrelated utterance] .
INV:	the boy is trying to get the cookies .
INV:	and what's going to happen next ?
CHI:	<the the the> [/?] the people are not <&ha> [/?] happy about it .
CHI:	there [^ ns] ?
CHI:	there's some doggy prints going on the cake .
CHI:	yeah, they might get all sandy and stuff .
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	and the boy <in> [/?] in [^ ew:on] [^ emorph] that stool is falling
CHI:	I don't know [^ ns] .
CHI:	they still hafta make some more .
INV:	tell me one more thing about the picture .
INV:	the cat is stuck up in the tree .
CHI:	and you can't take your new toy with you .
CHI:	all the boxes are falling down .
CHI:	he hasta have poopies to get it [^ ns] .
CHI:	hey, that girl's taking the leafs away .
CHI:	they're making a snowman in the snowy, snowy snow .
INV:	what's happening in the picture ?
INV:	and the bus can't move .
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
INV:	what will happen in just a little while ?
INV:	what else is happening in this picture ?
INV:	what will happen in just a little while ?
CHI:	<and the> [/?] and the waters [^ ew:water] [^ emorph] fell down to
CHI:	what is it [^ ns] ?
INV:	what's happening in the picture ?
CHI:	the mommy still has her shoes on .
CHI:	I don't know [^ ns] .
CHI:	the bubbles [^ ns] .
CHI:	I don't know [^ ns] .
CHI:	I don't know [^ ns] .
INV:	what's going to happen next ?
INV:	what's happening in the picture ?
CHI:	oh, I think it's a kittycat .
INV:	what will happen in just a little while ?
INV:	what will happen in just a little while ?
INV:	what will happen in just a little while ?
INV:	what else is happening in this picture ?
CHI:	<&uh there's a there's> [/?] the people 0are [^ ev] not happy about
CHI:	<can't take> [<] your new toy with you [^ ns] .
INV:	and what's going to happen next ?
INV:	what else is happening in this picture ?
INV:	and what's going to happen next ?
CHI:	there's a lot of traffic, see ?
CHI:	he's picking up something the daddy dropped on the ground .
CHI:	that's not very nice behavior .
CHI:	<the boy> [/?] the girls and boys are trying to wash the dog .
INV:	tell me one more thing about the picture .
CHI:	<the puppy's gonna> [<] go roll over .
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
CHI:	the car's going on [^ ew:in] [^ emorph] the traffic [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	<&th> [/?] the water's spilling .
INV:	tell me one more thing about the picture .
INV:	and what's going to happen next ?
INV:	and what's going to happen next ?
INV:	tell me what else you see in the picture .
INV:	what will happen in just a little while ?
CHI:	I don't know [^ ns] .
CHI:	the boy knocked the boxes down .
CHI:	I think we did all the pictures now [^ ns] .
INV:	and here comes the mom .
INV:	I want you to tell me about it .
CHI:	<it> [/?] it wasn't his birthday .
INV:	tell me one more thing about the picture .
CHI:	<and that and that> [/?] and the boy might hurt hisself
INV:	what will happen in just a little while ?
CHI:	<the> [/?] they're blowing bubbles to her .
INV:	no we didn't .
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
INV:	what will happen in just a little while ?
INV:	tell me one thing .
CHI:	but <he can't &ha get it when he gets it> [/?] he [^ ew:she]
CHI:	oh, the girl's falling .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
INV:	tell me that again .
CHI:	the driver's still driving the bus .
CHI:	I don't know [^ ns] .
CHI:	the doggy [^ ew:kitty] <is in the> [/?] jumped in the tree [^ eu] .
CHI:	the daddy's looking through [^ ew:in] [^ emorph] the mirror [^ eu]
INV:	just tell me what you see .
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the picture .
CHI:	I think I xxx +/.
INV:	the boy is taking his grandma's scissors .
CHI:	but the mommy's not there .
CHI:	I don't know [^ ns] .
INV:	just tell me what you see in the picture .
CHI:	I don't know [^ ns] .
CHI:	the boys are having [^ elexical] the bucket first [^ other] [^ eu]
CHI:	<&th there's the cat there's> [/?] there's some doggy prints .
INV:	oh_no, and what's going to happen next ?
INV:	the boy knocked down the boxes off the shelf .
INV:	the boys are fighting .
CHI:	what is it [^ ns] ?
CHI:	I don't know [^ ns] .
CHI:	they're making a snowman .
CHI:	I don't know [^ ns] .
CHI:	and that squirrel's climbing down the tree .
CHI:	the dog's running away .
INV:	what's happening in the picture ?
CHI:	but <the daddy &shov> [/?] the mommy's shoveling the <&sn> [/?]
INV:	what will happen in just a little while ?
INV:	what's happening in the picture ?
CHI:	the cake fell apart .
INV:	what will happen in just a little while ?
INV:	what else is happening in this picture ?
CHI:	I don't know [^ ns] .
INV:	what else is happening in this picture ?
CHI:	the <&bre> [/?] bubbles 0are [^ ev] <on their> [/?] on their bread
CHI:	<all of the xxx &uh she's drinking her the &d> [/?] he's driving
CHI:	look, <there's &um> [/?] there's too much water .
CHI:	wait, <is that> [/?] is that their cat [^ ns] ?
CHI:	I don't know [^ ns] .
INV:	<pick a sticker> [>] .
CHI:	<and> [/?] and she left the cake [^ earg] [^ eu] .
CHI:	this girl can't play with the gate .
INV:	good job .
CHI:	<this the this the sink the floor has> [/?] there's so much water .
CHI:	he doesn't wanna get washed though .
CHI:	and he's raking the leafs .
INV:	what else is happening in this picture ?
CHI:	and the puppy dog's down there waiting for him .
CHI:	I don't know [^ ns] .
INV:	what's happening in the picture ?
INV:	just tell me anything else about the picture .
CHI:	can you tell me [^ ns] ?
INV:	what's going to happen next ?
CHI:	the mommy [^ frag] [^ eu] .
INV:	and what's going to happen next ?
INV:	tell me one more thing about the picture .
CHI:	what is it [^ ns] ?
INV:	just tell me anything else about the picture .
CHI:	and look, he had <his> [/?] his paw print .
