participant	content
INV:	okay, good .
CHI:	her's [^ ew:she's] tired [^ ns] .
INV:	tell me one more thing about this story .
INV:	good <job> [>] .
INV:	the dog is in front of the bus .
CHI:	the leafs try and fall down .
CHI:	they're trying 0to [^ emorph] get their dog [^ eu] .
CHI:	<the &d> [/?] the dog say [^ ev] woof to <xxx &th &th> [/?] the
CHI:	the girl's <sharing> [/?] sharing the donut because <her> [/?] the
CHI:	because he's trying 0to [^ emorph] go to work [^ eu] .
CHI:	<and> [/?] and xxx +/.
INV:	what is going to happen next ?
INV:	<okay> [>] just tell me one thing okay .
INV:	what's happening in the picture ?
INV:	what is going to happen next ?
CHI:	and the dog hides his hat .
CHI:	<he> [/?] the boy 0is [^ ev] falling down [^ eu] .
CHI:	so he 0is [^ ev] shoveling the snow because <there &th> [/?] then
INV:	<okay> [<] .
INV:	they are what ?
CHI:	because the mommy's really say [* m:0ing] [^ emorph] “no” because
INV:	the children are taking the donuts out of the bag .
CHI:	they're snatching [^ earg] [^ eu] .
CHI:	the girl 0is [^ ev] trying 0to [^ emorph] get some vegetables
INV:	good job .
CHI:	and then her daddy say [^ ev] “I got a pre(sent) for you for you
CHI:	the boy shoots the cats [^ ew:cat] [^ emorph] [^ eu] .
INV:	what else is happening in this picture ?
CHI:	the girl 0is [^ ev] trying to xxx with her best friend Toby because
CHI:	<and these> [/?] and the girl is making a snowman .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
CHI:	and then the girl xxx +/.
CHI:	and then xxx xxx +/.
CHI:	the leaf fall [^ ev] down [^ eu] .
INV:	oh wait wait, I cannot write it all down .
INV:	what's happening in the picture ?
CHI:	and xxx bucket .
INV:	<good job> [<] .
CHI:	because they're really mad .
INV:	what's happening in the picture ?
INV:	wait .
INV:	what's happening in the picture ?
INV:	what is going to happen next ?
INV:	the dog ate some of the cake .
INV:	what's happening in the picture ?
CHI:	<the> [/?] the box is falling down because [^ emorph] <the the
CHI:	<and they're> [/?] and these 0are [^ ev] their shovels [^ eu] .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
CHI:	<the &do> [/?] the dog has 0a [^ emorph] shoe [^ eu] .
INV:	good job .
INV:	what's happ(ening) xxx +/.
INV:	what's happening in the picture ?
INV:	and the cat is stuck in a tree .
CHI:	because the boy's old .
CHI:	<he has> [/?] he find [^ ev] heez [: his] [* p] sister and heez
INV:	tell me one more thing about the picture .
CHI:	the mommy say [^ ev] no [^ eu] .
CHI:	and <then> [/?] then the girl, her [^ ew:she] [^ epronoun] want
INV:	okay .
INV:	the boy knocked the boxes off the shelf .
CHI:	and <they're> [/?] they're fighting .
INV:	the boys are throwing snowballs .
INV:	what is going to happen next ?
INV:	what else is happening in this picture ?
CHI:	<it's only> [/?] it's only <&d> [/?] spilling all over the place .
CHI:	the cat is up on a tree .
CHI:	and <there &th &th &th> [/?] there's flowerses [: flowers] [*] <on
INV:	what is going to happen next ?
INV:	what is going to happen next ?
INV:	tell me one more thing about the picture .
INV:	the girl what ?
INV:	good job .
CHI:	and xxx +/.
CHI:	<&th &th &th the xxx> [/?] the bus try [^ ev] 0to [^ emorph] hurt
INV:	the boy is taking his grandma's scissors out of the basket .
CHI:	they're starting to spill .
CHI:	<the> [/?] the boy tries 0to [^ emorph] shoot the dog because the
INV:	what else is happening in this picture ?
CHI:	the fire engine's coming to save the cat .
