participant	content
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	what's happening in the picture ?
CHI:	it's snowing .
INV:	the cat is stuck up in the tree and then xxx +...
CHI:	&uh .
INV:	the boy knocked the boxes off the shelf and then xxx +...
INV:	and you finish it .
INV:	okay, I'll start the start the story .
INV:	what's happening in the picture ?
CHI:	they play with bubbles .
INV:	and then what happens in the story ?
INV:	what else is happening in this picture ?
INV:	and you finish it .
INV:	what's happening in the picture ?
INV:	the bubbles spilled .
CHI:	them [^ ew:they] [^ epronoun] are walking [^ eu] .
CHI:	then they get [^ earg] [^ eu] .
INV:	standing ?
INV:	the boys are throwing snowballs .
INV:	he's trying to get a box .
INV:	now I'll start the start the story .
CHI:	squirrel [^ frag] [^ eu] .
INV:	the boys are throwing snowballs and then xxx +...
INV:	the cat is what ?
INV:	now I'll start the start the story .
CHI:	&um &um &um the dog is &um &uh xxx +...
CHI:	<they're they're they're> [/?] they're pulling [^ earg] [^ eu] .
INV:	and you finish it .
INV:	tell me one more thing about the story .
INV:	what's happening in the picture ?
INV:	the dog is in the water ?
CHI:	&um the boy's holding his xxx +...
INV:	what else is happening in this picture ?
INV:	they're not sharing .
INV:	tell me something else about the picture .
INV:	what's happening in the picture ?
INV:	okay, the people are standing .
INV:	now I'll start the start the story .
CHI:	yeah [^ ns] .
CHI:	&um [^ earg] spilling water [^ eu] .
INV:	tell me one more thing about the story .
INV:	now I'll start the start the story .
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
INV:	and you finish it .
INV:	the boy is trying to get the cookies and then xxx +...
CHI:	<he he> [/?] he's tired [^ eu] .
INV:	and you finish it .
INV:	and then what happens ?
INV:	what else is happening in this picture ?
CHI:	<him trying> [/?] he's trying 0to [^ emorph] get a box [^ eu] .
INV:	the abba is hiding a doll behind his back .
CHI:	they're gonna buy a doll .
CHI:	[^ earg] falling [^ eu] .
INV:	the dog and the girl have the daddy's shoes and then xxx +...
INV:	what else is happening in this picture ?
CHI:	they'll [^ ew:they] [^ ev] eated [^ ev] it [^ eu] .
INV:	tell me one more thing about the story .
CHI:	they're cutting [^ earg] [^ eu] .
CHI:	the abba's toasting [^ earg] [^ eu] .
INV:	and you finish it .
CHI:	&um the girl's trying 0to [^ emorph] put his hat on [^ eu] .
CHI:	they 0are [^ ev] trying to make a snowman [^ eu] .
INV:	the children see the cat .
INV:	the little girl is still in her pajamas and then xxx +...
INV:	tell me one more thing about the story .
INV:	what's happening in the picture ?
CHI:	the mom is coming .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	and you finish .
CHI:	he's hiding <&o &b> [/?] [^ earg] behind his back [^ eu] .
INV:	now I'll start the start the story .
CHI:	&um the cake [^ frag] [^ eu] .
CHI:	he 0is [^ ev] trying 0to [^ emorph] get the cookie [^ eu] .
INV:	what's happening in the picture ?
CHI:	[^ earg] gonna take the donuts [^ eu] .
INV:	and what else is happening in this picture ?
CHI:	<them> [/?] them [^ ew:they] [^ epronoun] 0are [^ ev] not sharing
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	what else is happening in this picture ?
CHI:	&um the dog [^ frag] [^ eu] .
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
INV:	the dog is in front of the bus .
INV:	oh_no, the dog same of the cake and then xxx +...
INV:	now I'll start the start the story .
