participant	content
INV:	yeah, what's going to happen next ?
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
INV:	you wanna talk with your mom ?
CHI:	coming through !
CHI:	and then [% noise] xxx +...
CHI:	a girl want [* m:03s] [^ ev] to get <the> [/?] the orange [^ eu] .
CHI:	it's all wet [^ ns] .
CHI:	xxx .
INV:	the boys are throwing snowballs .
CHI:	I wanna ask my mom something [^ ns] .
INV:	he has what ?
CHI:	is covered with snow [^ ns] .
CHI:	a baby want [* m:03s] to fall [^ ns] .
INV:	they hafta get who ?
INV:	just tell me anything else about the picture .
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
CHI:	it's xxx +...
INV:	I can't understand you if you have something in your mouth .
CHI:	<they they> [/?] they 0are [^ ev] pulling [^ earg] [^ eu] .
INV:	what's happening in the picture ?
INV:	oh, her stop .
INV:	what's happening in the picture ?
CHI:	I wanna talk with my mom [^ ns] .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
CHI:	and then xxx +...
CHI:	0 .
CHI:	a baby want [* m:03s] [^ ev] to fall down [^ eu] .
INV:	what's happening in the picture ?
CHI:	<&um &um um: &uh &uh &uh and put> [/?] put <that that that> [/?]
CHI:	and then he's [% noise] xxx +...
INV:	what's happening in the picture ?
INV:	they raked the leaves into a big pile .
INV:	what else is happening in this picture ?
CHI:	daddy 0is [^ ev] holding something [^ eu] .
CHI:	xxx daddy xxx [% shrieky voice] .
CHI:	&um her [^ ew:she] [^ epronoun] have [^ ew:has] [^ ev] to clean all
INV:	the dog is in front of the bus .
CHI:	then [^ earg] <hafta> [/?] hafta jump over her roof [^ eu] .
INV:	wait, let me ask the question first, okay ?
INV:	what's happening in the picture ?
CHI:	<a a a cat gonna &dr put this put a cat up again> [/?] and then xxx
CHI:	<he> [/?] a dog have [^ ew:has] [^ ev] to wash [^ earg] [^ eu] .
INV:	the boy knocked down the boxes off the shelf .
CHI:	a house go [% noise] xxx +...
CHI:	<and then> [/?] and then her [^ ew:she] [^ epronoun] have
CHI:	they hafta get xxx .
CHI:	he want [* m:03s] [^ ev] to get the cookie [^ eu] .
CHI:	they 0are [^ ev] cutting [^ earg] [^ eu] .
CHI:	and then [% noise] xxx +...
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
INV:	what's going to happen next ?
INV:	tell me one more thing about the picture .
CHI:	he hasta cook <the> [/?] the bread for dinner .
INV:	the boys are fighting .
CHI:	she hadta cut it, put it <nice> [/?] nice right in there .
INV:	he what ?
INV:	hold on .
INV:	the boy is taking his grandma's scissors .
INV:	her what ?
INV:	what's happening in the picture ?
CHI:	0 .
