participant	content
INV:	can you tell me ?
CHI:	it's cutting [^ earg] [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	and he's waving goodbye .
INV:	what else is happening in the picture ?
INV:	and what's going to happen next ?
INV:	and what's going to happen next ?
INV:	and what's going to happen next ?
CHI:	the cat is stuck in the tree .
INV:	what's happening in the picture ?
CHI:	<coming> [/?] [^ earg] coming home from school [^ eu] .
INV:	what's happening in the picture ?
CHI:	and xxx blue .
INV:	what's happening in the picture ?
CHI:	right there [% whispered] [^ ns] .
INV:	okay, the boy is taking his grandma's scissors .
CHI:	I don't know [^ ns] .
INV:	and what's going to happen next ?
INV:	and here comes the mom .
INV:	and what's going to happen next ?
CHI:	<&um he's> [//] the dog is taking the girles [: girl's] [*] hat
CHI:	and 0the [^ emorph] children play [^ ev] with the leafs [^ eu] .
CHI:	they're pulling [^ earg] [^ eu] .
INV:	what's happening in the picture ?
CHI:	and the xxx +/.
CHI:	the dog is on the road .
CHI:	they 0are [^ ev] playing [^ eu] .
INV:	what's happening in the picture ?
INV:	and what's going to happen next ?
INV:	<just say one thing at a time, okay> [<] ?
INV:	the little girl is still in her pajamas .
CHI:	I don't know [^ ns] .
CHI:	they take the xxx out of the papa's shirt .
INV:	okay, the daddy is hiding a doll behind his back .
CHI:	<the girl is> [/?] the girl is climbing up the tree .
CHI:	&um the curtains opened and closed .
INV:	and then what will happen in just a little while ?
INV:	look, he brought her a surprise .
INV:	what's happening in the picture ?
CHI:	he's sad because he got a boo_boo .
INV:	what else is happening in the picture ?
CHI:	he's drinking some water .
INV:	and what's going to happen next ?
CHI:	<and the squirrel and the leafs> [>] xxx +/.
CHI:	&um they're shoveling [^ earg] [^ eu] .
INV:	what's happening in the picture ?
INV:	tell me one more thing about the picture .
CHI:	and they're pulling the dog away from the bus .
CHI:	[^ earg] scraping some leafs [^ eu] .
CHI:	he's going on the road with the bus .
CHI:	<the sink is too> [/?] the water's falling down on [^ ew:from]
CHI:	they're giving [^ ew:taking] [^ elexical] a donut [^ eu] .
INV:	and what is going to happen next ?
CHI:	what happened [^ ns] ?
CHI:	yeah [^ ns] .
INV:	what else is happening in the picture ?
CHI:	he's taking some toast out .
CHI:	what [^ ns] ?
INV:	okay, just say one thing at a time, okay ?
CHI:	they got her teddybear .
CHI:	the bread is falling all over .
CHI:	<&um the> [/?] there's a girl blowing bubbles up there .
CHI:	but he's almost fall [* m:0ing] [^ emorph] down [^ eu] .
CHI:	he's falling on [^ ew:off] [^ emorph] the chair [^ eu] .
INV:	tell me one more thing about the picture .
INV:	just tell me anything else about the picture .
CHI:	the father is looking at <the> [/?] some stuff .
CHI:	and he's <mean him> [/?] meaning to put the shoes <on> [/?] on him
CHI:	what [^ ns] ?
CHI:	look, he's cutting something .
CHI:	they bring [^ ew:brought] [^ ev] a present [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	I'm getting thirsty [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	I know what's going to happen [^ ns] .
CHI:	0 .
CHI:	&um the car is moving .
CHI:	&um the wheels move the wagon .
INV:	and what's going to happen next ?
INV:	and what's going to happen next ?
CHI:	look, he's throwing the snowball on her knee .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
CHI:	and there's some children picking some food .
INV:	the boy is taking his grandma's scissors .
CHI:	the squirrel [^ frag] [^ eu] .
CHI:	the mom [^ frag] [^ eu] .
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
INV:	tell me what else you see in the picture .
CHI:	<uh:> [/?] .
INV:	look, the little girl is still in her pajamas .
INV:	can you say that again ?
CHI:	<he's> [/?] the girl is wet .
INV:	look, the boys are throwing snowballs .
INV:	tell me one more thing about the picture .
INV:	look, the boy knocked the boxes off the shelf .
INV:	what's happening in the picture ?
INV:	and then what will happen in just a little while ?
CHI:	0 .
INV:	can you tell me ?
INV:	what else is happening in the picture ?
CHI:	look at the girls [^ ns] .
CHI:	[^ earg] shoveling [^ earg] [^ eu] .
INV:	and what's going to happen next ?
INV:	just tell me what you see in the picture .
INV:	can you tell me one more thing about the picture ?
INV:	can you tell me ?
CHI:	&um it's taking the lunchbox away .
CHI:	the tree is standing still up [^ other] [^ eu] .
CHI:	he's all [^ other] waking up [^ eu] .
CHI:	and the water's going to splash on her .
INV:	tell me one more thing about the picture .
INV:	what else is happening in the picture ?
CHI:	the dog is spraying the girl .
INV:	tell me what else you see in the picture .
INV:	and what's going to happen next ?
INV:	what else is happening in the picture ?
INV:	tell me anything else about the picture .
CHI:	he's knocking over the cheerios (.) all off the shelfs .
INV:	what else is happening in the picture ?
INV:	what else is happening in the picture ?
CHI:	and all the bubbles came out .
INV:	and what's going to happen next ?
CHI:	0the [^ emorph] dog 0is [^ ev] barking in [^ ew] [^ emorph] the
CHI:	0the [^ emorph] watermelon 0is [^ ev] in the wagon [^ eu] .
INV:	tell me what else you see in the picture .
INV:	and then what will happen in just a little while ?
INV:	tell me what else you see in the picture .
CHI:	&uh [% watch this] .
CHI:	look [^ ns] .
CHI:	he is eating some cheerios .
INV:	okay, just tell me anything else about this picture .
INV:	and what's going to happen next ?
INV:	and then what will happen in just a little while ?
INV:	can you tell me one more thing about the picture ?
CHI:	<the &c> [/?] he's bringing [^ ew:taking] [^ elexical] cookies
INV:	look, they raked the leaves into a big pile .
INV:	what else is happening in the picture ?
CHI:	the mother is saying give those to him .
INV:	what else is happening in the picture ?
INV:	tell me one more thing about the picture .
CHI:	the wagon is still out of the sandbox .
CHI:	I don't know [^ ns] .
INV:	and what's going to happen next ?
INV:	what's going to happen next ?
INV:	what's happening in the picture ?
INV:	what else is happening in the picture ?
INV:	just tell me anything else about the picture .
INV:	tell me what else you see in the picture .
CHI:	and the bubbles went out on the girl [^ eu] .
CHI:	they hafta share .
CHI:	he's taking the boot away .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
CHI:	they're driving to Dunkin_donuts .
INV:	and what's going to happen next ?
CHI:	he brought her a surprise .
INV:	what else is happening in the picture ?
INV:	what else is happening in the picture ?
CHI:	opened and closed [^ ns] .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
INV:	can you look at this picture ?
CHI:	the dog went on the cake and <sniff> [/?] eat [^ ew:ate] [^ ev] it
CHI:	and they all was [^ ew:were] [^ ev] sad [^ eu] .
INV:	and what's going to happen next ?
INV:	can you tell me just one more thing about the picture ?
INV:	what's happening in the picture ?
CHI:	[^ earg] playing [^ eu] .
CHI:	and then she 0is [^ ev] waving goodbye and scrape [* m:0ing]
CHI:	[^ earg] pulling the dog <on the bus> [/?] on the road [^ eu] .
INV:	look, the boys are fighting .
CHI:	and the bike 0is [^ ev] outside [^ eu] .
CHI:	[^ earg] pulling [^ earg] [^ eu] .
CHI:	he's spilling the wagon [^ other] [^ eu] .
INV:	what's happening in the picture ?
INV:	what else is happening in the picture ?
INV:	what else is happening in the picture ?
CHI:	look, they're pulling the dog away from the bus [^ ns] .
CHI:	he's dumping the water on the dog .
