participant	content
INV:	what's happening in the picture ?
INV:	tell me one more thing about the picture .
CHI:	&um him [^ ew:he] [^ epronoun] 0is [^ ev] <raking> [/?] raking the
INV:	and the dog ran away .
INV:	what else is happening in this picture ?
INV:	her xxx +...
CHI:	her [^ ew:she] [^ epronoun] spilled the bubbles [^ eu] .
INV:	what else is happening in this picture ?
CHI:	[^ earg] make footprints [^ eu] .
CHI:	get also wet [^ ns] .
INV:	what's happening in the picture ?
CHI:	the cat's stuck in the tree .
INV:	say that again .
INV:	the little girl is still in her pajamas .
INV:	and the cat is stuck up in the tree .
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
CHI:	<him gon> [/?] him [^ ew:he] [^ epronoun] 0is [^ ev] gonna give it
INV:	what's happening in the picture ?
INV:	and what's going to happen next ?
CHI:	daddy xxx +...
CHI:	[^ earg] <got> [<] boo_boos [^ eu] .
INV:	the boys are fighting .
CHI:	the dog <splash> [/?] splash [^ ev] [^ earg] [^ eu] .
CHI:	hands [^ ns] .
INV:	what's happening in the picture ?
CHI:	and the dad 0is [^ ev] putting toast in [^ ew:on] [^ emorph] the
CHI:	the girl [^ ns] .
INV:	and what's going to happen next ?
INV:	the boy is trying to get the cookies .
CHI:	&um her [^ ew:she] [^ epronoun] 0is [^ ev] pushing 0the [^ emorph]
CHI:	he got dad's belt .
INV:	and what's going to happen next ?
INV:	the girl what ?
CHI:	<him taking> [/?] her [^ ew:she] [^ epronoun] give [^ ev] a donut
INV:	what ?
CHI:	they're trying to put the leafs in .
CHI:	0the [^ emorph] kids <xxx> [/?] want <some more> [/?] some more
INV:	the dog ate some of the cake .
CHI:	the mom 0is [^ ev] washing dishes [^ eu] .
CHI:	he go [^ ev] under the couch [^ eu] .
INV:	and here comes the mom .
INV:	oh, splashed the girl .
INV:	tell me one more thing about the picture .
CHI:	the dad says ssh .
INV:	what else is happening in this picture ?
INV:	just tell me anything else about the picture .
CHI:	&um they're patting [^ earg] [^ eu] .
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
