participant	content
CHI:	scissors [^ imitation] [^ ns] .
CHI:	this [^ ns] .
INV:	good job with that picture .
INV:	broom, that's right .
CHI:	that [^ ns] .
INV:	oh_no, the dog ate some of the cake .
CHI:	<he's> [<] crying .
INV:	now I'll start the start the story .
INV:	and then xxx +...
INV:	say tree cat ?
CHI:	picture [^ x 4] [^ imitation] [^ ns] .
CHI:	it's xxx .
INV:	the mommy, good job .
INV:	what ?
CHI:	this one [^ ns] .
CHI:	wash the dog [^ imitation] [^ ns] .
INV:	very good .
INV:	and you finish it .
CHI:	happen picture [^ imitation] [^ ns] .
INV:	and then xxx +...
INV:	what fall down ?
INV:	and you finish it .
INV:	and tell me one more thing about the story .
CHI:	give to you [^ ns] .
INV:	and tell me one more thing about the story .
INV:	he is mad, very good job .
CHI:	<she 0is [^ ev] holding [^ earg] [^ eu]> [<] .
INV:	eat ?
INV:	father eat ?
CHI:	hugging [^ ns] .
CHI:	they fall down .
INV:	stop ?
CHI:	wash the dog .
INV:	what else is happening in this picture ?
INV:	okay .
INV:	okay, good job .
CHI:	hugging [^ ns] .
INV:	hugging ?
CHI:	she 0is [^ ev] looking again [^ eu] .
INV:	what is happening in the picture ?
INV:	I'm sorry ?
CHI:	the daddy [^ ns] .
CHI:	banana [^ frag] [^ eu] .
INV:	the water stopped ?
CHI:	the bus [^ frag] [^ eu] .
INV:	what did you say first ?
INV:	this dirty ?
INV:	what did you say ?
CHI:	picture [x 6] [^ imitation] [^ ns] .
INV:	then hug, good .
INV:	now I'll start the start the story .
CHI:	that 0is [^ ev] 0a [^ emorph] pretty picture [^ eu] .
INV:	and tell me one more thing about the story .
CHI:	is happening [^ imitation] [^ ns] .
INV:	good story .
CHI:	<he's mad> [<] .
INV:	give them to you ?
CHI:	picture picture [^ imitation] [^ ns] .
INV:	he's mad, that's right .
INV:	grr ?
INV:	tell me one more thing about the picture .
CHI:	she 0is holding [^ ns] .
INV:	the girl, okay good .
CHI:	then [^ earg] blow [^ earg] [^ eu] .
CHI:	she cut it .
INV:	good, good job .
CHI:	he's mad [^ ns] .
INV:	the boy is taking his grandma's scissors .
INV:	now I'll start the start the story and you finish it .
INV:	boy ?
CHI:	these are apples .
CHI:	picture [^ x 6] [^ imitation] [^ ns] .
INV:	give it to you ?
INV:	wash the dog ?
INV:	he's holding up the donut, right ?
INV:	mhm .
CHI:	picture [^ imitation] [^ ns] !
CHI:	say tree cat [^ ns] .
INV:	above his head ?
INV:	what is happening in the picture ?
INV:	and then xxx +...
INV:	the dog is in front of the bus .
CHI:	xxx [<] .
CHI:	0the [^ emorph] picture say [* m:03s] [^ ev] tree
INV:	okay very good .
CHI:	banana [^ ns] .
INV:	what else is happening in this picture ?
INV:	what did you say ?
INV:	and tell me one more thing about the story .
INV:	what's happening in the picture ?
INV:	okay, I'll start the start the story and you finish it .
INV:	okay .
CHI:	then (.) happy [^ frag] [^ eu] .
INV:	the boy is trying to get the cookies and then xxx +...
INV:	<now I'll start the &st> [>] xxx +/.
INV:	okay, good .
INV:	actually xxx +...
INV:	this girl right here ?
INV:	the boy knocked the boxes off the shelf and then xxx +...
INV:	is that what you said ?
INV:	okay, good .
INV:	this one, the boy ?
CHI:	the mommy [^ frag] [^ eu] .
INV:	what is happening in the picture ?
CHI:	picture [^ imitation] [^ ns] .
INV:	she get up ?
INV:	okay, alright good .
INV:	they do look mad .
INV:	hm ?
CHI:	the picture [^ imitation] [^ ns] xxx +...
CHI:	<ba> [/?] eat [^ ns] .
CHI:	they blow bubble [* m:0s] [^ ns] .
INV:	and here comes the mom .
INV:	they throw ?
INV:	and you finish it .
CHI:	then they're pushing [^ earg] [^ eu] .
CHI:	the picture [^ imitation] [^ ns] .
CHI:	&t xxx +/.
INV:	crying ?
INV:	what else is happening in the picture ?
INV:	good .
CHI:	<they trying to bring the &pict> [/?] [^ earg] stop [^ earg] [^ eu]
CHI:	cake [^ imitation] [^ ns] .
CHI:	then [/] then they [^ other] 0v cake [^ eu] .
INV:	banana eat ?
CHI:	xxx front [^ eu] .
INV:	and you finish it .
INV:	tree cat, okay good .
INV:	bamada@n .
CHI:	tree [^ ns] .
CHI:	oh, this 0is [^ ev] dirty [^ eu] .
INV:	gave to you, okay good .
INV:	then they're what ?
CHI:	this one [^ ns] .
INV:	very good .
INV:	the girl xxx +...
CHI:	boy [^ frag] [^ eu] .
