participant	content
INV	what's happening in the picture 
CHI	the dog the  the dog is scared 
INV	the dog is what 
CHI	scared  
INV	okay 
INV	what else is happening in this picture 
CHI	him 
INV	walk 
CHI	yeah  
INV	now I'll start the start the story 
INV	and you finish it 
INV	oh_no the dog ate some of the cake and then  
CHI	him  
INV	him's dead 
CHI	  
INV	stared 
CHI	no dead  
INV	okay 
INV	tell me one more thing about the story 
CHI	 
INV	tell me anything else about the picture 
CHI	 him is scared  
INV	there 
CHI	him  
INV	him eat the cake okay 
INV	what's happening in the picture 
CHI	the  needs to  the sister needs to go to bed 
INV	okay what else is happening in this picture 
CHI	 I don't  
INV	what else is happening in the picture 
CHI	 his his  
INV	okay so I'll start the start the story 
INV	and you finish it okay 
INV	the little girl is still in her pajamas and then  
CHI	she gets dressed 
INV	she gets dressed 
CHI	yeah  
INV	tell me one more thing about the story 
CHI	she needta   
INV	what's happening in the picture 
CHI	the kitty cat is  
INV	her kitty cat sad 
INV	what else is happening in this picture 
CHI	  she's on the tree 
INV	now I'll start the start the story 
INV	and you finish it 
INV	the children see the cat 
INV	the cat is stuck up in the tree and then  
CHI	she wants to get down 
INV	she wants to get down okay 
INV	tell me one more thing about the story 
CHI	she really wants to get down  
INV	she really wants to get down okay 
INV	what's happening in the picture 
CHI	the boy's cleaning 
INV	okay 
INV	what else is happening in this picture 
CHI	the mom's  
INV	throwing 
CHI	no driving  
INV	oh driving okay 
INV	now I'll start the start the story 
INV	and you finish it 
INV	they rake the leaves into a big pile and then  
CHI	her dog barks 
INV	tell me one more thing about the story 
CHI	  
INV	what's happening in the picture 
CHI	the boys wanna go and hit  
INV	they wanna what 
CHI	play with the sandbox  
INV	what else is happening in this picture 
CHI	 him 
INV	now I'll start the start the story 
INV	and you finish it 
INV	the boys are fighting 
INV	and here comes the mom and then  
CHI	 stop  “stop fighting” 
INV	tell me one more thing about the story 
CHI	  him  stop
INV	him what 
CHI	  
INV	what's happening in the picture 
CHI	the dog is going out of the grass 
INV	out of his dress 
CHI	no    
INV	grass 
CHI	yeah  
INV	what else is happening in this picture 
CHI	the boy want  
INV	wanna put water in there okay 
INV	now I'll start the start the story 
INV	and you finish it 
INV	the children are trying to wash the dog and then  
CHI	 him  away 
INV	tell me one more thing about the story 
CHI	the boy is washing    the dog 
INV	her dog 
CHI	yeah  
INV	what's happening in the picture 
CHI	 the dog is  eating his shoe 
INV	what else is happening in this picture 
CHI	 the boy wants to give him 
INV	now I'll start the start the story 
INV	and you finish it 
INV	the dog and the girl have the daddy's shoes and then  
CHI	 the dog wants to eat it 
INV	tell me one more thing about the story 
CHI	 the dog is playing with the dad's shoes 
INV	what's happening in the picture 
CHI	 she    
INV	she what 
CHI	runned  
INV	she runs okay 
INV	what else is happening in this picture 
CHI	 she lifted her  to the daddy
INV	now I'll start the start the story 
INV	and you finish it 
INV	the daddy is hiding a doll behind his back and then  
CHI	she lifted him  
INV	she lifted her 
CHI	no she lifted her  
INV	she lifted 
CHI	yeah  
INV	tell me one more thing about the story 
CHI	she lifted her  
INV	what's happening in the picture 
CHI	the boys  the boys are eating a donut 
INV	what else is happening in this picture 
CHI	 the mommy's driving 
INV	now I'll start the start the story 
INV	and you finish it 
INV	the children are taking the donuts from the bag and then  
CHI	the mommy's driving  
INV	tell me one more thing about the story 
CHI	  the boys are  they're picking a donut 
INV	they're putting the donut 
CHI	no picking a donut  
INV	picking 
CHI	yeah  
INV	what's happening in the picture 
CHI	 them  
INV	them are buying food 
CHI	yeah  
INV	what else is happening in this picture 
CHI	eh   pushing the
INV	the doll's 
CHI	no her wagon  
INV	running 
CHI	no wagon  
INV	now I'll start the start the story 
INV	and you finish it 
INV	the boy knocked the boxes off the shelf and then  
CHI	him  
INV	him mommy picked it up 
INV	what's happening in the picture 
CHI	 the mommy and daddy's  trying to get the doggy
INV	what else is happening in this picture 
CHI	   steal the doggy
INV	the mom's trying to steal the doggy 
INV	now I'll start the start the story 
INV	and you finish it 
INV	the dog is in front of the bus 
INV	and the bus can't move and then  
CHI	them take him up   taked
INV	tell me one more thing about the story 
CHI	 his   
CHI	and the bus can't move 
INV	what's happening in the picture 
CHI	the mom is  
INV	what else is happening in the picture 
CHI	 them  
INV	the mom what 
CHI	  
INV	the boys are  
CHI	rollerskating  
INV	rollerskating 
INV	now I'll start the start the story 
INV	and you finish it 
INV	the boys are throwing snowballs and then  
CHI	them  
INV	tell me one more thing about the story 
CHI	 them  
INV	what's happening in the picture 
CHI	his sister's trying   him
INV	what else is happening in this picture 
CHI	 him  the mommy spilled water 
INV	the water is spilling  
INV	now I'll start the story 
INV	and you finish it 
INV	the water is  
INV	now I'll start the start the story 
INV	and you finish it 
INV	the water is spilling all over the floor and then  
CHI	she want  
INV	tell me one more thing about the story 
CHI	 she needs to  clean it up 
INV	to read 
CHI	the boy almost fall  
CHI	and his sister didn't want him to fall 
INV	what's happening in the picture 
CHI	them  
INV	what else is happening in this picture 
CHI	 the  want
INV	now I'll start the start the story 
INV	and you finish it 
INV	oh_no the bubbles spilled and then  
CHI	she didn't want it to spill 
INV	tell me one more thing about the story 
CHI	 she didn't want it to spill  
INV	what's happening in the picture 
CHI	 the boy is crawling 
INV	what else is happening in this picture 
CHI	 him  
CHI	and his sister's crawling too 
INV	now I'll start the start the story 
INV	and you finish it 
INV	the boy is taking his grandma's scissors and then  
CHI	the daddy     grandpa says ssh 
INV	okay he says ssh 
INV	tell me one more thing about the story 
CHI	 him  
