participant	content
INV:	just tell me what you see in the picture .
INV:	and what's going to happen next ?
CHI:	0 .
INV:	and what's going to happen next ?
INV:	they raked the leaves into a big pile .
INV:	tell me that again .
INV:	what else is happening in this picture ?
CHI:	this [% pointing to picture] [^ ns] .
INV:	the cat is stuck up in the tree .
INV:	what's going to happen in just a little while ?
INV:	what's going to happen in just a little while ?
CHI:	0the [^ emorph] crescent moon face's <going this way> [/?] going
INV:	what's happening in the picture ?
INV:	and what's going to happen next ?
INV:	and what will happen in just a little while ?
INV:	what's happening in the picture ?
INV:	tell me about what else you see in the picture .
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
INV:	oh_no, the bubbles are spilled .
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
CHI:	why is the bag in front [^ ns] ?
INV:	what else is happening in this picture ?
INV:	what's going to happen in just a little while ?
INV:	can you tell me that again ?
INV:	the boy knocked the boxes off the shelf .
CHI:	the cat is looking down .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	the boys are throwing snowballs .
CHI:	shouldn't be triangles where my finger is [^ ns] .
CHI:	not him [^ ns] .
INV:	then what will happen in just a little while ?
INV:	what's happening in the picture ?
INV:	tell me one more thing about the picture .
INV:	the dog and the girl have the daddy's shoes .
INV:	that's not nice .
INV:	just tell me what you see in the picture .
CHI:	she has bubbles in her hand .
INV:	tell me one more thing about the picture .
CHI:	they will crash and spill [^ earg] [^ eu] .
CHI:	look at the mom and dad [^ ns] .
INV:	what's going to happen in just a little while ?
CHI:	and they will be dead [^ ns] .
INV:	tell me one more thing about the picture .
INV:	and what's going to happen next ?
CHI:	and his head comes off .
CHI:	I don't know [^ ns] .
CHI:	I don't know [^ ns] .
INV:	the children are trying to wash the dog .
INV:	tell me one more thing about the picture .
INV:	just tell me what you see in the picture .
INV:	just tell me anything else about the picture .
CHI:	<both of those one of those> [/?] a girl is pushing the cart
CHI:	he's gonna snip that thing .
CHI:	0 .
INV:	what's going to happen in just a little while ?
INV:	just tell me what you see in the picture .
CHI:	he's going to do [^ ew] the pop [^ other] [^ eu] .
CHI:	[^ earg] shouldn't be triangles [^ eu] .
CHI:	look at this window .
INV:	what's going to happen in just a little while ?
CHI:	and then his neck comes off .
CHI:	the doll [^ ns] .
INV:	what else is happening in this picture ?
INV:	the dog is in front of the bus .
INV:	what's going to happen in just a little while ?
CHI:	and she has his tie [^ eu] .
CHI:	I don't know [^ ns] .
INV:	what's happening in the picture ?
CHI:	the scarf is on backwards .
INV:	tell me one more thing about the picture .
INV:	and what's going to happen next ?
INV:	tell me one more thing about the picture .
INV:	just tell me anything else about the picture .
CHI:	this this this this this this [^ ns] .
CHI:	he will be dirty again .
INV:	and what's going to happen in just a little while ?
CHI:	I don't know [^ ns] .
CHI:	so they cannot get them ?
CHI:	she threw bubbles .
INV:	and what's going to happen next ?
INV:	oh_no, the dog ate some of the cake .
CHI:	and she will knock him over .
CHI:	I don't know [^ ns] .
CHI:	they will eat all the donuts .
INV:	what else is happening in this picture ?
CHI:	<and they're> [/?] and <they're> [/?] they are not raking [^ earg]
CHI:	and they will be knocked over .
CHI:	they will be dead .
INV:	tell me one more thing about the picture .
CHI:	he's crawling .
INV:	and what's going to happen next ?
CHI:	these windows are not the same .
CHI:	I don't know [^ ns] .
CHI:	the doggy is under the couch .
INV:	what else is happening in this picture ?
CHI:	she doesn't have a coat .
INV:	and what's going to happen next ?
CHI:	I don't know [^ ns] .
INV:	the daddy is hiding a doll behind his back .
CHI:	[^ earg] spilling [^ earg] [^ eu] .
INV:	and what's going to happen next ?
INV:	and the bus can't move .
INV:	what's going to happen in just a little while ?
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
INV:	the children are taking the donuts from the bag .
INV:	what's going to happen in just a little while ?
INV:	and what's going to happen next ?
CHI:	<the boy> [<] has a donut in his hand .
CHI:	0 .
INV:	the boy is taking his grandma's scissors .
CHI:	and he will be dead on his head .
INV:	the children see the cat .
INV:	just tell me anything else about the picture .
CHI:	the dog is on the street .
CHI:	his momma is driving .
INV:	tell me about what else you see in the picture .
CHI:	I don't know [^ ns] .
