participant	content
INV	let's go see where the airplane is 
CHI	 
INV	where do you think 
INV	is it up 
CHI	up 
INV	up here 
CHI	up here  
CHI	  
INV	I think it is too 
CHI	 
INV	somewhere 
CHI	 
CHI	 
CHI	  
CHI	 
CHI	 
INV	the airplane is gone 
CHI	 
INV	but let's see what's on here 
INV	there's a 
INV	what is that 
CHI	that's a boat 
INV	that's a boat 
INV	let's dump it out 
CHI	 airplane 
INV	that's a man 
INV	that's not an airplane 
INV	he kinda looks like an airplane 
CHI	  
INV	can we dump it out 
CHI	O 
CHI	 
INV	is it stuck 
INV	oh I think that just stays there 
INV	that's not a piece 
CHI	 a  airplane 
INV	that's a little girl 
CHI	little girl 
INV	that's a little girl 
CHI	haha 
INV	there you go 
CHI	    
CHI	 
INV	and the man 
CHI	 car 
INV	the car 
CHI	a  car 
INV	what color is that 
CHI	blue car 
INV	the blue car 
INV	that's right 
CHI	 duck 
INV	that's a duck  
INV	the little boy is riding in that isn't he 
CHI	 
INV	where does that go 
CHI	 
INV	there 
INV	that's right 
INV	very good 
CHI	 ice cream  
INV	ice cream 
INV	what is that 
INV	that's not ice cream 
INV	what is that 
INV	is that a fish 
CHI	yeah fish  
CHI	 
INV	that's the sun 
CHI	 house 
INV	there's a house 
CHI	   
INV	little boy 
INV	he's playing in the sand 
INV	we like to do that too 
CHI	an a  boat 
INV	and the boat 
CHI	 a  airplane 
CHI	  
INV	that's a man 
CHI	 a  man 
INV	that's a man in a chair 
INV	it kinda looks like an airplane 
CHI	  
INV	should we put this up 
CHI	 up 
INV	need some help 
INV	it's so high up here 
CHI	high up here 
INV	I see something else 
CHI	 
CHI	a school bus 
INV	that's right 
INV	let's take the pieces out 
INV	let's dump it out 
CHI	 
INV	oop 
INV	some are stuck 
INV	can you get em out 
INV	do you need some help 
CHI	 
INV	here's all the pieces 
CHI	pieces 
CHI	 
INV	let's see 
INV	move all the pieces out 
CHI	  
INV	let's put it back together 
CHI	 
INV	 
INV	what is that 
INV	it's a wheel 
CHI	it's a  wheel 
INV	it's a wheel of the school bus 
INV	let's see if we can put it back together 
CHI	  
CHI	 
INV	all the pieces 
INV	oh 
INV	you think that goes there 
CHI	  
INV	that's the top 
INV	this one's a little hard 
INV	I'll help you 
INV	that's the top of the school bus 
CHI	 
CHI	 
INV	there's the other wheel 
CHI	 
INV	that's right 
INV	that one's in the way isn't it 
CHI	 
INV	here 
INV	there 
INV	now put the wheel there 
CHI	 
INV	  upside down 
CHI	 
CHI	there 
INV	there 
CHI	 
CHI	  
CHI	 
INV	this one's a little hard isn't it 
CHI	 stop 
INV	that's right 
INV	a stop sign 
CHI	  
INV	the red stop sign 
CHI	 
INV	 
INV	look at these children 
INV	they're upside down 
CHI	 
INV	I think they needta go that way 
INV	good 
CHI	 
CHI	 
INV	there's the bus driver 
CHI	bus 
CHI	  
INV	these wheels are coming out 
CHI	 
INV	let's see 
INV	there's some more kids 
CHI	 
INV	where's that go 
INV	that's at the bottom 
CHI	bottom 
INV	there 
INV	very good 
CHI	 
CHI	 boy 
INV	the little boy 
CHI	 
INV	more kids 
INV	op 
INV	look at these kids 
INV	Chi 
CHI	  
CHI	 
INV	what's wrong with these kids  
CHI	 
INV	they're upside down 
CHI	upside down 
CHI	 
INV	it's not going to fit there is it 
INV	 
INV	look at these kids 
INV	let's turn that around 
INV	 
INV	there 
CHI	there 
INV	is that better 
CHI	there 
CHI	 
INV	where do these two go 
CHI	 
CHI	 
INV	good  
INV	one more piece 
INV	oh is it stuck 
CHI	 
INV	it's stuck 
CHI	  
INV	  
INV	look what Chi did 
INV	he made the puzzle 
CHI	 
INV	op 
INV	is it stuck  
INV	you want me to help you 
CHI	help  
INV	do you need some help 
CHI	need some help 
INV	here 
INV	I think it needs to go around 
CHI	go   
CHI	round 
CHI	there 
CHI	 
INV	all done 
CHI	 
INV	that was good 
INV	that one was kinda hard 
INV	thank you 
CHI	thank you 
INV	 
INV	I guess someone else has the airplane puzzle 
CHI	airplane 
INV	it's not up here 
CHI	up here 
INV	here's a Sesame Street 
CHI	 street 
INV	who are all these people 
INV	who are these 
INV	who is this 
CHI	 
INV	Big Bird 
CHI	it's a  Big Bird 
INV	it is Big Bird 
CHI	it's a  door 
INV	and the door 
CHI	 a  cookie 
CHI	  
INV	there's cookie  
INV	I think that stays in there 
INV	that one stays 
INV	open the green door 
CHI	 
CHI	 
INV	who are these guys 
CHI	 
INV	s that Bert and Ernie 
INV	Bert and Ernie 
INV	can we put em back 
CHI	a  door 
INV	there's the door 
CHI	 bird 
CHI	bye 
INV	bye birdie 
CHI	 
INV	that's right 
INV	that goes there 
INV	you just hafta turn it around 
CHI	 
CHI	bye bird 
CHI	hi 
INV	hi birdie 
CHI	hi birdie 
CHI	   
INV	 [] 
CHI	bye 
INV	bye birdie 
CHI	   
INV	  
CHI	bye 
INV	bye birdie 
CHI	hi 
INV	 hi birdie 
CHI	    
CHI	 
INV	where does  let's put Big Bird up 
CHI	   
CHI	 
CHI	 
INV	no it can't fit in there 
CHI	 
INV	there you go 
CHI	bye bye 
INV	bye bye 
CHI	bye  
CHI	  
INV	there's the green door 
CHI	 
INV	where else can that go 
INV	how bout over here 
CHI	 
INV	bye Count 
CHI	bye Count 
