participant	content
INV:	okay alright and what else is happening in this picture ?
CHI:	right there [^ ns] .
INV:	she what ?
CHI:	yeah [^ ns] .
INV:	now I'll start the start the story .
CHI:	&um the babies cry .
CHI:	&um this one [^ ns] .
CHI:	&um the little xxx finish .
INV:	he has one ?
INV:	tell me something else about the picture .
INV:	alright good job .
CHI:	&um the girls 0are [^ ev] washing the dog [^ eu] .
INV:	she's what ?
INV:	okay good, moving in the school bus .
INV:	okay .
INV:	the boys are throwing snowballs and then xxx +...
CHI:	and the donut [^ frag] [^ ns] .
CHI:	she's xxx the house 0and go night_night .
INV:	that's right .
INV:	the daddy is hiding a doll behind his back and then xxx +...
INV:	what else is happening in the picture ?
CHI:	she's get [* m:0ing] [^ emorph] down [^ eu] .
INV:	tell me something else about the picture .
CHI:	she's walking .
CHI:	yeah [^ ns] .
INV:	alright, good .
INV:	<she's> [<] .
CHI:	<yeah> [/?] no, a bag [^ ns] .
INV:	what do you think ?
INV:	<mhm> [<] .
CHI:	&um grandma [^ frag] [^ eu] .
INV:	she spilled on the floor .
INV:	in the book ?
CHI:	mommy [^ frag] [^ eu] .
INV:	a bag ?
CHI:	[^ earg] make there [^ eu] .
INV:	hm ?
INV:	she's all clean ?
CHI:	she's <&t &t> [/?] take [* m:0ing] [^ emorph] the shoes [^ eu] .
INV:	the children are trying to wash the dog and then xxx +...
CHI:	no no no, in the bucket [^ ns] .
INV:	now I'll start the start the story .
CHI:	right there [^ ns] .
CHI:	that mama [^ ns] .
CHI:	yes [^ ns] .
INV:	what is happening in the picture ?
CHI:	she's [^ ew:her] [^ epronoun] dog is finish [* m:0ed] [^ emorph]
INV:	yeah, what's happening in the picture ?
INV:	and you finish it .
INV:	okay .
CHI:	no, I can't reach that .
CHI:	and the mommy finished a [^ emorph] bread [^ eu] .
CHI:	she's all clean [^ ns] .
CHI:	&um she fell down .
CHI:	she's still looking in 0the [^ emorph] tree [^ eu] .
INV:	and you finish it .
INV:	and tell me one more thing about the story .
INV:	she's walking, good .
INV:	alright good job .
INV:	now I'll start the start the story .
INV:	and it fell down ?
CHI:	this one tripped .
INV:	they can't reach it, okay good .
INV:	good job .
INV:	and here comes the mommy and then xxx +...
CHI:	no take a walk a school bus [^ ns] .
INV:	we're all done with that .
INV:	okay, good .
INV:	now I'll start the start the story .
INV:	good job .
INV:	she's all wet ?
INV:	she can't what ?
CHI:	<an upstairs up steps a oh up the floor floor> [/?] up steps
CHI:	she's all clean .
INV:	I can't hear you .
INV:	and you finish it .
INV:	the children are taking the donuts from the bag and then xxx +...
INV:	<very good job> [>] .
CHI:	she's fell [^ ns] .
CHI:	thank you [^ ns] .
INV:	and tell me one more thing about the story .
CHI:	xxx .
CHI:	yes [^ ns] .
INV:	the dog is finished .
INV:	the cat is stuck up in the tree and then xxx +...
INV:	there's a dog .
INV:	okay .
INV:	the floor, okay good .
CHI:	she's filled the bucket go in the house [^ ns] .
INV:	the boys are fighting .
INV:	that was really good .
CHI:	xxx .
INV:	yeah, this one is what, crying ?
CHI:	she is fill [* m:0ing] [^ emorph] the bucket 0and [^ emorph] go
INV:	can you look ?
CHI:	<she's reap> [/?] she's real yucky [^ ns] .
INV:	and then xxx +...
INV:	mhm, okay good .
INV:	the dog and the girl have daddy's shoes and then xxx +...
CHI:	oh, this one <(.)> [>] and this one [^ ns] .
INV:	and you finish it .
INV:	now I'll start the start the story .
CHI:	in a backpack [^ frag] [^ eu] .
INV:	okay, good job .
CHI:	and the donut [^ ns] .
CHI:	yes [^ ns] .
INV:	okay, good .
INV:	she's what in the tree ?
CHI:	she's back .
INV:	what about the sink ?
CHI:	yes [^ ns] .
INV:	what is happening in the picture ?
INV:	okay, good .
