participant	content
CHI:	<they they> [/?] they hafta 0be [^ other] quiet [^ eu] .
CHI:	+" stop .
CHI:	<eh eh the the> [/?] the water <is> [/?] is falling <on> [/?] on
CHI:	and then it popped .
CHI:	<he> [/?] he [^ ew:she] [^ epronoun] stop [^ ev] these guys [^ eu]
CHI:	<she she the> [/?] the little boy is taking 0off [^ emorph] his
CHI:	<she she she> [/?] she 0is [^ ev] playing <on> [/?] on the tree
INV:	what else is happening in this picture ?
CHI:	<&uh &um she she she> [/?] she 0is [^ ev] going <to> [/?] to share
CHI:	<who> [/?] whose shoes are these [^ ns] ?
INV:	okay, tell me one more thing about this picture .
CHI:	he go [^ ev] in 0the [^ emorph] timeout chair [^ eu] .
CHI:	splash [^ ns] .
INV:	alrighty, tell me one more thing about this picture .
CHI:	<the the the the the> [/?] the lamp 0is on [^ ns] .
CHI:	<the the> [/?] the dog <&I &I> [/?] is sitting in <the> [/?] the
INV:	I don't know .
INV:	what's happening in this picture ?
INV:	what is happening in this picture ?
CHI:	<she> [/?] she 0is [^ ev] wearing the hat [^ eu] .
CHI:	<she she she she she> [/?] she want [* m:03s] [^ ev] that bagel
INV:	what's happening in this picture ?
CHI:	<the the> [/?] the girl <&I &I is> [/?] is blowing bubbles .
INV:	and what else is happening in this picture ?
INV:	what's happening in this picture ?
CHI:	<they they> [/?] they are crying .
CHI:	<she she> [/?] she 0is [^ ev] driving the car [^ eu] .
INV:	alrighty and look, they raked the leaves into a big pile .
INV:	and then the bus can't move .
INV:	oh, she get him down, okay .
CHI:	and then she stop [* m:0ed] [^ ev] crying [^ eu] .
INV:	tell me one more thing about this picture .
INV:	okay .
INV:	good job .
INV:	you tell me .
INV:	somebody's singing in the tree, good job .
INV:	and the cat is stuck in the tree .
INV:	just tell me what you see in the picture .
INV:	what else is happening in this picture ?
CHI:	<some some> [/?] somebody lying [^ ns] .
INV:	what else is happening in this picture ?
INV:	what is going to happen next ?
INV:	mhm .
CHI:	<she she she the> [/?] the girl <is is> [/?] is xxx +...
CHI:	<the the the the boy and and and the dad &wa was was was listen>
INV:	what else is happening in this picture ?
INV:	look, the little girl is still in her pajamas .
INV:	look, the boy knocked the boxes off the shelf .
INV:	tell me one more thing about this picture .
INV:	okay .
INV:	look, she's crying .
INV:	okay .
INV:	okay, she wearing the hat .
CHI:	<&uh the the the> [/?] the dad <&I &I is> [/?] is looking for food
CHI:	<&uh he's he's he's he's> [/?] he knock [* m:0ed] [^ ev] her down
CHI:	is going in the farmer [^ ns] .
CHI:	<the the> [/?] the girl <&I &I is is &uh &uh &uh &I> [/?] is
INV:	good job .
INV:	alrighty, tell me one more thing about this picture .
CHI:	<and> [/?] and <the> [/?] the house xxx +...
INV:	she going to what ?
INV:	just tell me one more thing about the picture .
CHI:	it popped [^ ns] .
INV:	okay .
INV:	what else is happening in this picture ?
CHI:	he is all wet .
INV:	what is going to happen next ?
CHI:	<&so &uh some> [/?] some people are coming in (.) <the door> [/?]
CHI:	putting the boy [^ ns] .
CHI:	[^ imperative said to girl in picture] stop crying .
INV:	good job .
INV:	good job .
INV:	she what ?
INV:	what's happening in this picture ?
INV:	what's happening in this picture ?
CHI:	<she> [/?] she 0is [^ ev] pushing 0the [^ emorph] cart [^ eu] .
INV:	look, the dog is in front of the bus .
INV:	and what would happen in just a little bit while ?
INV:	she going to cut that ?
CHI:	<the the the dog and and and the girl the the the and the> [/?] the
CHI:	<I &ha I> [/?] I have <a> [/?] a lamp [^ ns] .
INV:	tell me one more thing about this picture .
INV:	what is going to happen next ?
CHI:	<I I I> [/?] I don't know [^ ns] .
CHI:	and there's the snowball .
INV:	okay .
INV:	what's happening in this picture ?
INV:	look, the boys are throwing snowballs .
CHI:	<she she she> [/?] she 0is [^ ev] putting <the> [/?] the boy
CHI:	she splash [^ ev] [^ earg] [^ eu] .
CHI:	<she she some> [/?] somebody <is> [/?] is singing <in> [/?] in the
CHI:	<she she she she> [/?] she 0is [^ ev] putting <the> [/?] the <snow>
INV:	look, what will happen in just a little bit while ?
INV:	what's happening in this picture ?
INV:	what else is happening in this picture ?
CHI:	<she she she> [/?] she <is is> [/?] is wearing that scarf .
INV:	okay .
INV:	she what ?
INV:	what is going to happen next ?
CHI:	<the the> [/?] the boy <will> [/?] will crash <in in> [/?] in
INV:	she what ?
INV:	what will happen in just a little bit while ?
