participant	content
INV:	and what's going to happen next ?
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	tell me one more thing about the picture .
INV:	what else is happening in the picture ?
INV:	so what is going to happen next ?
CHI:	<&uh he's> [/?] he's gonna do something [^ ns] .
CHI:	because they already got cheeks .
INV:	tell me one more thing about the picture .
INV:	she's crying ?
INV:	what else is happening in the picture ?
CHI:	&uh she's throwing some snowballs .
CHI:	she's running out the door .
INV:	because she's washing xxx +...
INV:	tell me one more thing about this picture .
INV:	what's happening in the picture ?
INV:	okay .
CHI:	&uh she's &uh she's gonna do something .
INV:	what's happening in this picture ?
CHI:	<&uh she's> [/?] she's gonna do something [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	<and> [>] <there's> [/?] there's a dog in [^ ew:under] [^ emorph]
INV:	what's happening in this picture ?
CHI:	&uh &uh she's falling on him .
INV:	just tell me one more thing about the picture .
INV:	so what is going to happen next ?
CHI:	yeah [^ ns] .
INV:	and then what will happen in just a little bit while ?
INV:	okay, a truck is coming .
CHI:	&uh that &uh that wall have [^ ew:has] [^ ev] flowers on it [^ eu]
INV:	what's happening in the picture ?
CHI:	&uh they're pulling the dog .
INV:	tell me one more thing about the picture .
CHI:	he's holding the book .
CHI:	but she's [^ ew:she] have [^ ev] her hands in her shoes [^ eu] .
INV:	what's happening in this picture ?
CHI:	her hands [^ ns] .
CHI:	and there's a pot right there .
CHI:	she's gonna do something [^ ns] .
CHI:	he got the shoe .
INV:	tell me one more thing about this picture .
CHI:	he's taking it away from her .
INV:	just tell me what you see in the picture .
INV:	and what else is happening in this picture ?
CHI:	<and> [/?] the eyes xxx +...
INV:	tell me one more thing about this picture .
INV:	and then what will happen in just a little bit while ?
CHI:	<she she> [/?] she's trying to get her down .
INV:	okay .
INV:	just tell me one more thing about the picture .
INV:	and what is going to happen next ?
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
CHI:	he got one on his cheek .
CHI:	<he's giving it> [/?] he's giving it to his daddy .
CHI:	<&uh he's> [/?] he's gonna do something .
INV:	what is happening in the picture ?
INV:	say that again again .
CHI:	<&uh &sh> [/?] she's gonna do something [^ ns] .
CHI:	&uh she spilled the water .
INV:	and tell me one more thing about the picture .
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
CHI:	&uh they're <coming> [>] in sorry again [^ other] [^ eu] .
INV:	what's happening in this picture ?
CHI:	she's closing her eyes .
CHI:	&uh she's trying to get those holes .
CHI:	but she's jumping in the leafs .
INV:	okay, and what is going to happen next ?
CHI:	because she's washing <the> [>] water with her hands [^ other]
INV:	what else is happening in this picture ?
CHI:	she's gonna fall down .
CHI:	he's cutting that .
INV:	tell me one more thing about the picture .
INV:	and then what is going to happen next ?
INV:	okay, what else is happening in this picture ?
CHI:	&uh she's &uh &uh the dog's gonna do something .
CHI:	&uh the man is driving <the the &s the &s the the> [/?] the school
CHI:	<he he is is &uh he &uh> [/?] she is putting water with her hands
CHI:	<and> [/?] and the cheeks xxx +...
INV:	and what's going to happen next ?
INV:	so then they are making a snowman .
CHI:	they're coming .
INV:	she's running, okay .
INV:	<okay> [<] .
CHI:	the dog is spilling the water .
INV:	and then what will happen in just a little bit while ?
CHI:	&uh she's gonna do something [^ ns] .
CHI:	they forgot the eyes and nose and the mouth .
INV:	just tell me what you see in this picture .
INV:	tell me one more thing about the picture .
CHI:	but she's driving .
CHI:	and <she's> [/?] she's &uh dumping it in the bowl .
INV:	what else is happening in this picture ?
INV:	and what is going to happen next ?
INV:	okay, she is trying to get her down .
INV:	what else is happening in this picture ?
INV:	okay .
CHI:	<she's she's> [/?] she's carrying the snow .
CHI:	&uh they're riding in the car .
INV:	okay, it is going to snow tonight .
CHI:	&uh he's holding the doll .
INV:	<okay> [<] .
CHI:	<&uh he's make he's> [/?] they're making a snowman .
INV:	and what's going to happen next ?
INV:	and what's happening in the picture ?
INV:	and then what will happen in just a little bit while ?
INV:	tell me about what else you see in the picture .
CHI:	<&uh they're gon they're &g> [/?] they're gonna do something .
INV:	and what is going to happen next ?
INV:	what's happening in the picture ?
CHI:	he's getting one cookie .
CHI:	she's getting an orange .
INV:	tell me one more thing about the picture .
INV:	<okay> [<] .
CHI:	<he> [/?] he's xxx to the xxx of the sandwich .
CHI:	<&uh &uh &sh &uh &sh> [/?] he is gonna do something [^ ns] .
CHI:	she's crying .
CHI:	<she she's> [/?] she's in the tree .
CHI:	he spilled that .
CHI:	she's getting the cookie .
INV:	and what else is happening in this picture ?
CHI:	she's holding some paper .
CHI:	<&uh she's> [/?] she's pushing a cart .
CHI:	there's a wagon .
CHI:	he's falling .
CHI:	because she's going to give her daddy a hug .
CHI:	they're brooming [^ ew] [^ elex] [^ eu] .
CHI:	but there's some on the cake .
INV:	what's happening in the picture ?
CHI:	<she's &uh> [/?] he's holding some cake .
INV:	and what is going to happen next ?
CHI:	xxx .
CHI:	and she wants to go to sleep .
CHI:	<&uh he's> [/?] he's crawling .
CHI:	but he's raking .
INV:	what else is happening in the picture ?
INV:	they're gonna broke it, okay .
CHI:	they're gonna broke [^ ew:break] [^ emorph] it [^ eu] .
CHI:	a dog [^ ns] .
INV:	what is going to happen next ?
INV:	what else is happening in this picture ?
INV:	tell me one more thing about this picture .
INV:	what else is happening in the picture ?
CHI:	a truck is coming .
INV:	what's happening in the picture ?
INV:	yeah, and then xxx +...
INV:	tell me one more thing about the picture .
CHI:	<that> [/?] that bucket spilled .
INV:	and what is going to happen next ?
INV:	what else is happening in the picture ?
CHI:	&uh she's running .
CHI:	&uh but she's sitting .
INV:	okay, he is holding the doll .
CHI:	she's yawning .
INV:	and then what's going to happen next ?
CHI:	with her hands [^ ns] .
CHI:	he's pulling the bucket .
INV:	what's happening in this picture ?
CHI:	&uh the boy is looking at her .
INV:	okay, she's dumping it in the bowl, okay .
