participant	content
CHI	make a  
CHI	kittycat  
MOT	you wanna make a house  Rick  with this 
MOT	the movies 
MOT	find number five 
MOT	say kissing noise  
MOT	good job 
MOT	doesn't it 
MOT	see 
MOT	alright  put these right here 
MOT	don't pull them over 
MOT	you wanna put that away 
MOT	four  
MOT	what do you wanna do Rick 
MOT	two  three  four  
MOT	okay 
MOT	good boy 
CHI	what's this 
MOT	what are those 
MOT	this is what we'll do 
MOT	good boy 
CHI	shut off a tv 
MOT	Rick  where's the chimney 
MOT	need help 
CHI	popcorn 
CHI	apples 
CHI	this is teeth 
CHI	lights  broken 
CHI	put it away 
MOT	say yes 
MOT	that's a red hat 
MOT	what do you wanna play Rick 
MOT	good boy 
CHI	wrong way 
MOT	his head won't fit 
CHI	it go find it 
MOT	mhm  
CHI	no 
CHI	shut off the tv 
CHI	Claus 
CHI	get a wheels 
MOT	can you count them 
CHI	christmas 
CHI	boots 
MOT	okay 
CHI	man 
MOT	make a bathroom 
MOT	oh  Rick look 
MOT	do you like cakes 
MOT	four  five  
CHI	one  two  three  
CHI	count onions 
CHI	e  
MOT	and look 
MOT	Rick 
CHI	Chef_Brocket 
MOT	oh  those are her shoes 
CHI	donuts 
MOT	good boy 
CHI	popcorn 
MOT	see  and you just slip it in 
MOT	tie the shoes 
MOT	what do you wanna play 
CHI	one  two  three  
CHI	house 
MOT	oh  
MOT	three  
MOT	a front door 
MOT	what's this 
CHI	no 
CHI	take a fence a off 
CHI	make a house 
MOT	one  two  
MOT	what comes out the chimney 
CHI	gone 
MOT	make the puzzle 
MOT	you can 
CHI	okay 
MOT	good boy 
MOT	four teeth 
CHI	put  put away 
CHI	kitty 
MOT	okay  good boy 
MOT	there 
CHI	socks 
MOT	o  
MOT	what do you wanna play 
CHI	take it off 
CHI	tie a fence 
CHI	hi 
MOT	no  Ben's watching 
CHI	three  
CHI	I 
MOT	good boy 
MOT	there we go 
CHI	one  two  
MOT	can you make the puzzle 
MOT	we'll make a 
MOT	He_Man in the playroom 
MOT	a white head 
CHI	kittycat 
MOT	one  two  three  four  five  six  
MOT	how many 
CHI	Potato_Head's car 
MOT	Rick  you draw 
MOT	can you tie these shoes 
MOT	put nose on  good boy 
MOT	or plain 
MOT	good boy 
MOT	chalkboard 
MOT	get down here 
MOT	look 
MOT	that's good 
MOT	r  
CHI	help please 
CHI	nine  
MOT	what are these 
MOT	yup  make the puzzle 
CHI	shut off the tv 
CHI	kittycat put away 
MOT	find two 
MOT	Ben's watching it 
MOT	what is that 
CHI	 
MOT	Ben and Denise 
CHI	put away 
MOT	one  two  three  four  five  six  seven  eight cherrys
CHI	kittycat pick up 
MOT	play them quiet 
MOT	good boy 
MOT	we're gonna play 
CHI	socks 
MOT	and Denise 
MOT	poor kitty 
MOT	you know where he is 
MOT	we had popcorn at the movies 
MOT	what movie did you go see 
MOT	what are these 
MOT	do you know what that is 
MOT	and then we can draw whatever we wanna 
CHI	make a  
MOT	yay  
MOT	Rick  look 
CHI	a fence 
MOT	find eight sweetie 
MOT	Rick look 
MOT	another day 
CHI	door knob 
MOT	is that Chef_Brocket's bakery 
CHI	shut off a tv 
CHI	gone 
MOT	oh  it's kind of a little house 
CHI	kittycat 
MOT	good boy 
MOT	Rick  can you beep the horn 
MOT	good boy 
MOT	what are you doing 
MOT	ask me 
MOT	turn the key 
MOT	oops  
CHI	broken 
MOT	when do we turn them on Rick 
MOT	no 
MOT	well  that's h if you turn it that way  yeah 
MOT	Rick  look 
MOT	good boy 
CHI	shut off a tv 
MOT	good boy 
MOT	n  
MOT	how many 
CHI	a girl 
CHI	me 
CHI	it's gone 
MOT	good boy 
CHI	piece 
MOT	okay 
MOT	let's find with one thing 
MOT	you make the house 
MOT	look 
CHI	 
MOT	you wanna make a sword 
CHI	piece 
CHI	hurt okay 
CHI	put it on 
MOT	Rick look 
CHI	h 
MOT	Rick look 
CHI	five ears 
CHI	no 
MOT	good boy 
CHI	me 
MOT	look 
MOT	okay 
MOT	yup 
MOT	good boy 
MOT	count his eyes 
CHI	make one 
MOT	you're playing the drums 
MOT	watch 
MOT	oops  
MOT	or honey dip 
MOT	what's this down here though 
MOT	put it together 
CHI	tie a fence 
CHI	Santa_Claus bring it 
MOT	kiss 
MOT	no  that's not Santa_Claus 
MOT	that's okay 
MOT	good 
MOT	that's the radio 
MOT	we turn them on 
MOT	what's this 
MOT	good boy Rick 
MOT	come here 
CHI	please help 
CHI	tomatoes 
MOT	count 
CHI	the man 
MOT	what do you want 
CHI	I can found it 
MOT	do you know what that is Rick 
CHI	get a wheels 
MOT	how many 
MOT	woo  
MOT	here 
MOT	find number three 
CHI	put away 
MOT	good job 
MOT	good boy 
MOT	good boy Rick 
MOT	put his teeth in 
MOT	don't touch 
CHI	thank you 
MOT	do you know what that is 
CHI	no 
MOT	can you say thank you 
MOT	Rick look 
CHI	kittycat 
MOT	you're on the movies 
CHI	make a knife 
MOT	oh  puzzles 
MOT	have you been a bad boy 
CHI	popcorn 
MOT	what are these 
MOT	good boy 
CHI	Chef_Brocket 
MOT	hm 
MOT	you do 
MOT	that's good 
CHI	piece 
CHI	make one  big one 
CHI	 on  on  on 
CHI	put on 
CHI	put shoes on 
CHI	present 
MOT	play them loud 
CHI	eat  eat 
CHI	fireman 
MOT	and the dryer 
MOT	good boy Rick 
MOT	pull it up 
CHI	wash 
MOT	how about the drum 
CHI	bag 
MOT	find two 
MOT	how many 
MOT	no  what's this 
CHI	kitty 
CHI	it can fit 
CHI	turn schwa  over 
MOT	good boy 
CHI	rest on your cot Rick 
MOT	Rick  are  they watching tv 
MOT	yes  that's right 
MOT	look at this 
MOT	seven tomatoes 
CHI	help please 
MOT	where did you make that 
MOT	what's he making 
CHI	sew it 
CHI	popcorn 
MOT	kitty 
CHI	put away 
CHI	Potato_Head 
MOT	no  who's watching right now 
MOT	poor kitty's falling apart 
MOT	can you count his teeth 
MOT	what's this Rick 
CHI	help please 
MOT	when you put it up straight 
CHI	dryer 
MOT	Rick  how many hats 
MOT	that looks nice Rick 
CHI	make a sword 
MOT	when it gets dark 
MOT	good boy 
MOT	let me see  oh  here's the eraser 
MOT	can you do it 
CHI	black 
CHI	sew it 
MOT	find four 
MOT	good boy 
CHI	one  two  three  
CHI	no 
MOT	three  four  five  six  seven  
MOT	that's what daddy keeps down there  yup 
MOT	what are you gonna make 
MOT	you can do it 
MOT	you do a good job  Rick 
CHI	what's this 
CHI	not a bell 
MOT	here 
MOT	alright 
MOT	oh  you pushing him out the window 
CHI	is that a horse 
MOT	put it together 
CHI	Rick  
CHI	two  
MOT	Rick look 
CHI	a hurt yourself 
MOT	two ears 
CHI	put away 
MOT	that's the movies Rick 
MOT	here she is 
MOT	what color 
CHI	movie 
MOT	okay 
CHI	help please 
MOT	okay 
MOT	oh  you're okay 
CHI	make ten 
CHI	hurt yourself 
MOT	what does daddy keep down there that's shaped like this 
MOT	do you like the movies 
MOT	do you know what these are 
MOT	there he is  look 
CHI	find six 
MOT	Rick  what's this 
MOT	Santa gonna fill your stocking with toys because you're a good boy
CHI	gone 
CHI	little card 
MOT	did daddy make that 
CHI	kittycat a put shoes on 
MOT	okay 
CHI	Ben's 
CHI	gonna take off fence 
MOT	good boy 
MOT	they're okay 
CHI	cellar 
MOT	is Ben and Denise watching tv 
CHI	make one 
MOT	there we go 
CHI	hurt 
CHI	not a bell 
MOT	what else 
MOT	oops  
MOT	good 
MOT	Rick  who's this 
MOT	jelly 
MOT	what did you put on his head Rick 
CHI	listen 
MOT	oh  what kind 
MOT	yeah 
CHI	socks 
MOT	can you tie this one 
CHI	kittycat look at the shoes 
CHI	play 
CHI	come sit 
CHI	 
CHI	where kittycat got hurt 
MOT	good boy Rick 
CHI	make one 
CHI	movie 
MOT	let's make the puzzles 
MOT	oh  what do we hafta do 
MOT	is he going for a ride in the car 
CHI	head 
MOT	what's Santa gonna bring you 
MOT	okay 
CHI	this  this  this  this 
MOT	one nose 
CHI	one  two  
CHI	found it 
CHI	what's this 
MOT	that's right 
MOT	achoo  
MOT	alright 
MOT	we turn them on 
MOT	count again 
MOT	mommy will help 
CHI	stocking 
CHI	pieces 
MOT	can you play them loud 
MOT	what's this 
MOT	do you remember 
CHI	warm hat 
MOT	Rick 
MOT	Rick  what's this 
CHI	what put the cellar 
CHI	put away 
CHI	yes 
MOT	say hello  this is Rick 
CHI	no take 
CHI	mustache 
CHI	watermelon 
MOT	what big card Rick 
CHI	a fence 
MOT	good boy 
CHI	you do it 
CHI	one 
CHI	lemons 
MOT	whose shoes are these 
MOT	good 
MOT	what else 
CHI	hide 
CHI	a hurt yourself 
MOT	you're okay 
CHI	kittycat shut off 
CHI	put shoes on kitty  kitty 
MOT	who's a good boy 
MOT	one  two  three  four  five  six  seven  eight  nine 
MOT	you do too 
CHI	jingle bells 
MOT	toys for Rick  good boy 
CHI	no bells 
CHI	get toys 
MOT	Rick look 
CHI	take a shoes off 
CHI	shut off a tv 
CHI	poor kitty 
MOT	Rick  what's this 
MOT	you did it 
MOT	oh  Rick 
MOT	good boy 
CHI	knife get out a house 
MOT	okay 
MOT	what are you doing Rick 
MOT	say thank you 
MOT	can you play the drums loud 
MOT	good boy 
MOT	is there a little man in there 
CHI	count one 
CHI	house 
CHI	tie shoes 
MOT	okay 
MOT	let me see 
MOT	good 
MOT	oh  what goes in there 
MOT	Rick look 
MOT	i  
CHI	little card 
CHI	hurt yourself 
CHI	kittycat got hurt 
MOT	mustache 
CHI	yes 
MOT	it's just the way the little man sits in 
CHI	all away 
MOT	smoke 
MOT	good boy 
CHI	one 
MOT	that's a radio 
MOT	yeah 
CHI	yes 
CHI	 walk 
MOT	you stay here with mommy 
CHI	board 
MOT	okay 
CHI	help please 
MOT	oops  
CHI	help please 
MOT	alright 
CHI	eyes 
CHI	find two 
MOT	do you like those 
CHI	mustache 
MOT	green eyes 
MOT	when it gets dark  right 
CHI	fence 
CHI	 
CHI	is that a horse 
MOT	you did a good job 
CHI	one  two  three  four  five  six  seven  
MOT	what do you wanna make 
MOT	five 
MOT	yes  he's making toys 
MOT	those are nice  huh  
CHI	He_Man 
MOT	it's on our house 
CHI	hello there 
MOT	Rick look 
MOT	Rick  what's this 
MOT	put on your fire hat 
CHI	put shoes on 
MOT	good boy 
MOT	good boy  Rick 
CHI	daddy fix 
MOT	good boy 
CHI	okay 
MOT	put them down here 
CHI	what's this 
MOT	put them down 
MOT	Rick  can you play these quietly 
MOT	Rick  find eight 
MOT	he's standing beside his car 
CHI	table  chair 
MOT	they're puzzles 
MOT	mommy will help you 
CHI	yes 
MOT	good 
CHI	white eyes  white eyes 
MOT	Rick  your hat's on backwards 
CHI	one  two  three  four  five  six  
MOT	find number four Rick 
MOT	okay 
MOT	oh  oh  
MOT	watch 
CHI	take a off 
MOT	we hafta sew that up 
MOT	okay 
MOT	oh  that looks like a fence  huh  Rick 
MOT	where does this go 
MOT	watch 
MOT	you opened up the legos 
MOT	see 
MOT	see 
MOT	who's holding it 
CHI	kittycat 
MOT	can you play it loud 
MOT	is Santa gonna bring you some new presents 
CHI	touch the car 
MOT	that's right here 
MOT	good boy 
MOT	what's this 
CHI	I do 
CHI	bells 
MOT	Rick look 
MOT	turn on the fire engine 
CHI	card 
CHI	move it 
MOT	mommy's shoes 
MOT	look 
CHI	it's green 
CHI	a house 
MOT	come here 
CHI	pears 
MOT	put the shoes on kitty 
CHI	kittycat put on shoe 
CHI	Santa live 
CHI	listen to movies 
CHI	put away 
MOT	you need some help 
MOT	no 
MOT	okay 
MOT	see the mouse 
MOT	what are you doing Rick 
MOT	yes 
MOT	Rick  what's this 
MOT	oh  okay 
MOT	jingle  jingle  jingle 
CHI	cover 
CHI	open 
CHI	see  got in kindergarten 
CHI	little card 
MOT	down here 
MOT	mhm  
MOT	good boy Rick 
MOT	okay 
CHI	Ben 
CHI	not a bell 
MOT	they didn't 
MOT	see we hafta make a littler house because we don't have as much
CHI	Santa treats 
CHI	not apples 
MOT	do you wanna make legos 
MOT	those are nice  huh  
MOT	you're driving nice Rick 
MOT	make the puzzle 
CHI	Ben's 
MOT	they are just turned off 
CHI	shut off the tv 
CHI	yes  yes 
CHI	look_it 
MOT	ten grapes  Rick 
MOT	missing 
MOT	we'll hafta get some new ones Rick 
MOT	those windows are gone 
CHI	put doors on 
MOT	what else 
CHI	what's this 
CHI	one  two  three  
MOT	maracas 
CHI	yes 
MOT	good boy  Rick 
CHI	wrong way 
CHI	turn a on 
MOT	those are four apples 
MOT	e  
CHI	can fit 
MOT	do you wanna make a car 
CHI	a fence 
CHI	count the bananas 
CHI	cover 
MOT	Rick  do you wanna draw some letters 
MOT	 
MOT	what kind of donuts  Rick 
MOT	mhm  
MOT	good job 
MOT	alright 
CHI	hurt okay 
MOT	I see the cards 
CHI	n  
CHI	find nine 
CHI	there's one 
CHI	found it 
CHI	broken 
MOT	sit down here Rick 
MOT	you do 
MOT	good boy 
CHI	find ten 
MOT	three  
MOT	who built this Rick 
MOT	yeah 
MOT	what else 
MOT	there 
CHI	christmas 
MOT	what else 
CHI	Chef_Brocket 
CHI	tie a fence 
CHI	tie 
MOT	good boy 
MOT	Rick 
MOT	Rick  find seven 
MOT	a big square white head 
CHI	daddy fix 
