participant	content
INV:	just tell me anything about this picture .
CHI:	not him [^ ns] .
INV:	what's happening in the picture ?
CHI:	what's wrong with that [^ ns] ?
CHI:	I don't know [^ ns] .
CHI:	0 .
CHI:	he's gonna snip that thing .
CHI:	0 .
CHI:	I don't know [^ ns] .
CHI:	she's not dressed .
CHI:	<they want each &buc> [/?] they want the red bucket .
INV:	what's going to happen in just a little while ?
CHI:	I don't know [^ ns] .
INV:	what else is happening in this picture ?
INV:	what's going to happen in just a little while ?
INV:	tell me about what else you see in the picture .
INV:	and what's going to happen in just a little while ?
CHI:	she doesn't have a coat .
INV:	the children are taking the donuts from the bag .
INV:	and what's going to happen next ?
CHI:	[^ earg] leaning over [^ earg] [^ eu] .
CHI:	&um what's wrong with that [^ ns] ?
CHI:	two of the same girls [^ ns] .
INV:	and what's going to happen next ?
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
CHI:	I don't know [^ ns] .
INV:	and what's going to happen next ?
CHI:	there's another bucket .
INV:	the dog is in front of the bus .
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
INV:	what's going to happen in just a little while ?
CHI:	0 .
CHI:	the dad has a short tie .
INV:	just tell me anything else about the picture .
INV:	just tell me what you see in the picture .
INV:	tell me about what else you see in the picture .
CHI:	<and they're> [/?] and <they're> [/?] they are not raking [^ earg]
INV:	oh_no, the dog ate some of the cake .
INV:	what else is happening in this picture ?
INV:	what's going to happen in just a little while ?
INV:	tell me one more thing about the picture .
INV:	can you tell me that again ?
INV:	what's happening in the picture ?
INV:	can you tell me that again ?
INV:	and what's going to happen next ?
INV:	and what's going to happen in just a little while ?
CHI:	he's very angry .
INV:	the little girl is still in her pajamas .
INV:	what's going to happen in just a little while ?
CHI:	and then he will chop [x 4] [^ earg] [^ eu] .
INV:	just tell me anything else about the picture .
CHI:	and they will be knocked over .
CHI:	and he will be dead on his head .
INV:	just tell me anything else about the picture .
INV:	what else is happening in this picture ?
INV:	just tell me what you see in the picture .
INV:	what's happening in the picture ?
CHI:	I think I like this one, not this one .
CHI:	they will eat all the donuts .
INV:	the dog and the girl have the daddy's shoes .
INV:	just tell me what you see in the picture .
INV:	what's happening in the picture ?
CHI:	she didn't throw bubbles .
CHI:	they're <throwing> [/?] throwing snowballs .
INV:	the boy knocked the boxes off the shelf .
CHI:	they are afraid .
INV:	and what's going to happen next ?
CHI:	the dog splashed water .
CHI:	look at this window .
CHI:	and he's crying .
INV:	tell me one more thing about the picture .
INV:	just tell me what you see in the picture .
CHI:	0 .
CHI:	&um .
INV:	just tell me what you see .
INV:	tell me one more thing about the picture .
CHI:	[^ earg] spilling [^ earg] [^ eu] .
INV:	what's going to happen next ?
CHI:	and she has his tie [^ eu] .
CHI:	so they cannot get them ?
CHI:	he will give it to her .
INV:	tell me about what else you see in the picture .
CHI:	I don't know [^ ns] .
CHI:	these windows are not the same .
CHI:	0 .
INV:	what's happening in the picture ?
INV:	then what will happen in just a little while ?
CHI:	the cat is looking down .
INV:	tell me one more thing about the picture .
CHI:	0 .
INV:	just tell me what you see in the picture .
INV:	what else is happening in this picture ?
CHI:	and his head comes off .
CHI:	they got the dog <after> [/?] after [^ ew] [^ emorph] 0det
INV:	what's happening in the picture ?
INV:	just tell me anything else about the picture .
CHI:	and she will knock him over .
CHI:	<and the other person and the other> [/?] and the other kid is in
CHI:	he will be dirty again .
CHI:	I don't know [^ ns] .
INV:	the boys are throwing snowballs .
INV:	tell me what else you see in the picture .
INV:	and what's going to happen next ?
CHI:	I don't know [^ ns] .
CHI:	he's gonna fall .
CHI:	his momma is driving .
CHI:	I don't know [^ ns] .
CHI:	<the boy> [<] has a donut in his hand .
INV:	just tell me what you see in the picture .
INV:	what's going to happen in just a little while ?
CHI:	this [% pointing to picture] [^ ns] .
INV:	can you tell me that again ?
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
INV:	what's going to happen in just a little while ?
INV:	and what's going to happen next ?
CHI:	what's this doing out here [^ ns] ?
INV:	what else is happening in this picture ?
INV:	and the bus can't move .
CHI:	that looks like a pot .
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
INV:	tell me one more thing about the picture .
INV:	the daddy is hiding a doll behind his back .
INV:	<what else is happening in this picture> [>] ?
INV:	what's going to happen next ?
INV:	what's going to happen in just a little while ?
INV:	tell me about what else you see in the picture .
INV:	tell me one more thing about the picture .
CHI:	I don't know [^ ns] .
CHI:	and they will be dead [^ ns] .
INV:	and what's going to happen next ?
CHI:	and then his neck comes off .
INV:	just tell me what you see in the picture .
CHI:	the doll [^ ns] .
INV:	what else is happening in this picture ?
INV:	the boy is taking his grandma's scissors .
CHI:	why is the bag in front [^ ns] ?
INV:	what's going to happen in just a little while ?
CHI:	0 .
CHI:	why is the lamp dirty [^ ns] ?
INV:	just tell me anything else about the picture .
CHI:	they're both boys .
CHI:	she threw bubbles .
INV:	tell me one more thing about the picture .
CHI:	I don't know [^ ns] .
INV:	what else is happening in this picture ?
CHI:	they will crash and spill [^ earg] [^ eu] .
INV:	what's happening in the picture ?
INV:	and what's going to happen next ?
INV:	what's going to happen in just a little while ?
INV:	what's happening in the picture ?
CHI:	I don't know [^ ns] .
INV:	that's not nice .
INV:	oh_no, the bubbles are spilled .
CHI:	[^ earg] shouldn't be triangles [^ eu] .
CHI:	the scarf is on backwards .
CHI:	this this this this this this [^ ns] .
INV:	thank you .
INV:	what's happening in the picture ?
CHI:	he bumped his head .
CHI:	and one person is in the car .
CHI:	I don't know [^ ns] .
INV:	tell me that again .
CHI:	I don't know [^ ns] .
CHI:	they will be dead .
INV:	tell me one more thing about the picture .
CHI:	0the [^ emorph] crescent moon face's <going this way> [/?] going
INV:	tell me one more thing about the picture .
CHI:	she has bubbles in her hand .
INV:	what's happening in the picture ?
INV:	the cat is stuck up in the tree .
INV:	the children see the cat .
CHI:	&um it's not aiming to [^ ew:at] [^ emorph] the sidewalk at all
INV:	the boy is trying to get the cookies .
CHI:	he's getting [^ ew:putting] [^ elexical] out the leafs in the
INV:	tell me one more thing about the picture .
INV:	just tell me anything else about the picture .
INV:	tell me one more thing about the picture .
CHI:	he's going to do [^ ew] the pop [^ other] [^ eu] .
CHI:	she has his shoes .
CHI:	shouldn't be triangles where my finger is [^ ns] .
INV:	and what's going to happen next ?
INV:	what else is happening in this picture ?
CHI:	the cat is sad .
INV:	tell me one more thing about the picture .
CHI:	I don't know [^ ns] .
INV:	what's happening in this picture ?
INV:	tell me about what else you see in the picture .
CHI:	I don't know [^ ns] .
CHI:	0the [^ emorph] orange juice has got [^ ew:gotten] [^ emorph] all
CHI:	the doggy is under the couch .
INV:	just tell me what you see in the picture .
INV:	what's happening in the picture ?
CHI:	look at the mom and dad .
CHI:	look at the mom and dad [^ ns] .
CHI:	the dog is on the street .
INV:	tell me one more thing about the picture .
INV:	the children are trying to wash the dog .
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
INV:	tell me about what else you see in the picture .
INV:	and what will happen in just a little while ?
INV:	they raked the leaves into a big pile .
INV:	and what's going to happen next ?
INV:	just tell me anything else about the picture .
CHI:	he's crawling .
CHI:	I don't know [^ ns] .
CHI:	I don't know [^ ns] .
INV:	what's going to happen next ?
CHI:	<both of those one of those> [/?] a girl is pushing the cart
