participant	content
INV:	there ?
INV:	oh_no, the dog ate some of the cake and then xxx +...
INV:	oh, driving, okay .
CHI:	<she lifted him> [/?] she lifted <&e> [/?] her [^ ns] .
INV:	okay, what else is happening in this picture ?
CHI:	and his sister's crawling too .
INV:	what else is happening in this picture ?
INV:	and you finish it .
INV:	they rake the leaves into a big pile and then xxx +...
INV:	now I'll start the start the story .
INV:	the dog and the girl have the daddy's shoes and then xxx +...
CHI:	the <daddy &s &h &d> [/?] grandpa says ssh .
INV:	she lifted ?
INV:	what else is happening in the picture ?
INV:	okay .
CHI:	<them take him up &st> [/?] them [^ ew:they] [^ epronoun] taked
INV:	now I'll start the start the story .
CHI:	<the mom's> [/?] the mom's doing [^ earg] [^ eu] .
INV:	and you finish it .
INV:	what else is happening in this picture ?
INV:	and you finish it .
INV:	him's dead ?
CHI:	&um the boy is crawling .
INV:	now I'll start the start the story .
CHI:	&um them [^ ew:they] [^ epronoun] are rollerskating [^ eu] .
INV:	the boy knocked the boxes off the shelf and then xxx +...
INV:	the boys are xxx +...
INV:	what else is happening in this picture ?
INV:	the water is spilling xxx +...
INV:	picking ?
INV:	what's happening in the picture ?
INV:	tell me one more thing about the story .
INV:	she lifted her ?
INV:	she gets dressed ?
CHI:	yeah [^ ns] .
INV:	what's happening in the picture ?
CHI:	she didn't want it to spill .
INV:	what else is happening in this picture ?
INV:	the boys are throwing snowballs and then xxx +...
CHI:	&um them [^ ew:they] [^ epronoun] are throwing snowballs [^ eu] .
CHI:	the boy almost fall [^ ew:fell] [^ ev] [^ eu] .
INV:	what's happening in the picture ?
CHI:	no, wagon [^ ns] .
INV:	him what ?
INV:	running ?
INV:	and you finish it .
INV:	what else is happening in the picture .
CHI:	him [^ ew:he] [^ epronoun] eat [^ ev] the cake [^ eu] .
INV:	tell me one more thing about the story .
CHI:	<the dog the> [/?] the dog is scared .
INV:	tell me one more thing about the story .
CHI:	rollerskating [^ ns] .
INV:	the water is spilling all over the floor and then xxx +...
CHI:	&um him [^ ew:he] [^ epronoun] really wants to <&pla his sand> [/?]
INV:	and you finish it .
CHI:	&um the mommy's driving .
INV:	the boy is taking his grandma's scissors and then xxx +...
INV:	she what ?
INV:	what's happening in the picture ?
CHI:	<&sh> [/?] she's on the tree .
INV:	and you finish it .
CHI:	scared [^ ns] .
CHI:	&um him 0is scared [^ ns] .
INV:	what else is happening in this picture ?
CHI:	the boy want [^ ev] to put water in there [^ eu] .
CHI:	<&s stop> [/?] [% imperative said by mom to boys] “stop fighting” .
CHI:	no, <&h &h> [/?] grass [^ ns] .
