participant	content
INV:	what's happening in the picture ?
CHI:	<he wants> [/?] she wants to ride [^ elexical] her dolly [^ eu] .
CHI:	but <it> [/?] she forgot to put her in her desk drawer .
INV:	what else is happening in this picture ?
CHI:	she's running .
INV:	and what's going to happen next ?
CHI:	he's pointing to go this way and ride <her thing (.) and> [/?] that
INV:	tell me one more thing about the picture .
INV:	just tell me anything else about the picture .
CHI:	<the girl> [/?] but the daddy's holding the doll .
CHI:	and she's holding her with his hand [^ eu] .
INV:	what's happening in the picture ?
CHI:	the girl's holding her shoes on her hand .
CHI:	and <&th> [/?] they're wearing their shoes on their foot
INV:	what else is happening in the picture ?
CHI:	the daddy's getting ready for something .
CHI:	<and the girl was> [/?] and the boy is getting ready too .
INV:	and what's gonna happen next ?
CHI:	the dog is holding a shoe so he can [^ modal] go too .
INV:	tell me one more thing about the picture .
CHI:	the daddy is looking <in the in in the> [/?] in <<I don't know what
INV:	what's happening in the picture ?
CHI:	the girl is standing in love with her dress [^ other] [^ eu] .
INV:	what else is happening in this picture ?
CHI:	the boy got some dirt <and mud> [/?] and &uh some water and mud .
CHI:	<and &uh &uh> [/?] and that's not good .
INV:	and what's gonna happen next ?
CHI:	the boy's carrying it .
INV:	tell me one more thing about the picture .
CHI:	he's gonna [^ cat] carry the bucket .
CHI:	<and> [/?] but [^ econj] the dog splashed the girl [^ eu] .
INV:	what's happening in the picture ?
CHI:	the boy, <he> [/?] he was making something with water and mud .
CHI:	but the girl dropped her thing .
CHI:	<and> [/?] and <the &g> [/?] the other girl was playing .
INV:	what else is happening in this picture ?
CHI:	he [^ ew:she] [^ epronoun] tripped on the feet and the leg [^ eu] .
INV:	and what's going to happen next ?
CHI:	<he> [/?] he's mad
INV:	tell me one more thing about the picture .
CHI:	the bread falled [^ ew:fell] [^ ev] [^ eu] .
INV:	what's happening in the picture ?
CHI:	the girl is raking the leaf pile .
INV:	can you say that again ?
CHI:	the girl is xxx the leaf pile .
CHI:	and the other girl is trying to clean xxx +/.
INV:	what else is happening in this picture ?
CHI:	the girl is trying to clean it up .
CHI:	the girl is trying to clean it up [^ ns] .
INV:	and what's gonna happen next ?
CHI:	the little boy is raking [^ earg] [^ eu] .
CHI:	and the daddy's raking [^ earg] [^ eu] .
CHI:	mother's raking [^ earg] [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	the doggy <&I &I> [/?] is right there .
INV:	what's happening in the picture ?
CHI:	the cake has black on it .
CHI:	but it wasn't sposta .
INV:	what else is happening in the picture ?
CHI:	the dog made all this black .
INV:	and what's gonna happen next ?
CHI:	the cake is all dirty .
CHI:	they hafta make another one .
INV:	and tell me one more thing about the picture .
CHI:	she's gonna [^ cat] &uh wipe it all up .
CHI:	she's gonna wipe it .
INV:	what's happening in the picture ?
CHI:	the girl's pushing the cart .
CHI:	the daddy's pushing the cart .
INV:	what else is happening in this picture ?
CHI:	she's trying to get oranges .
INV:	and what's going to happen next ?
CHI:	the boy's trying to get (.) some <<what's that what's that> [/?]>
INV:	the boy knocked down the boxes off the shelf .
INV:	and then what will happen in just a little while ?
CHI:	they will [^ modal] fall .
INV:	tell me one more thing about the picture .
CHI:	<the the mommy> [/?] that [^ ew:those] [^ emorph] people was
INV:	what's happening in the picture ?
CHI:	the mommy spilled it .
CHI:	he's <&g> [/?] trying to get a cookie .
CHI:	<but> [/?] he's falling .
INV:	what else is happening in this picture ?
CHI:	he's trying to get a cookie [^ ns] .
CHI:	but he's too short to .
CHI:	she hadta get hers .
INV:	and what's gonna happen next ?
CHI:	she's washing the plate .
INV:	tell me one more thing about the picture .
CHI:	<the plate> [/?] that plate 0is [^ ev] already washed [^ eu] .
INV:	can you tell me that again ?
CHI:	the plate 0is already washed [^ ns] .
INV:	what's happening in the picture ?
CHI:	<&h> [/?] he's trying to pour something on him .
CHI:	he's mad .
INV:	what else is happening in this picture ?
CHI:	the mommy, she stand [* m:03s] [^ ev] like this [^ eu] .
INV:	and what's gonna happen next ?
CHI:	the wagon's down there .
CHI:	she's gonna <skip> [/?] (.) trip .
INV:	tell me one more thing about the picture .
CHI:	&um the buckets and the shovel and the other shovel's [^ ew:are]
INV:	what's happening in the picture ?
CHI:	the bus is there .
CHI:	but [^ emorph] they're mad at her [^ eu] .
INV:	what else is happening in this picture ?
CHI:	the dog's in the road .
CHI:	he's trying to drive .
CHI:	the bus is driving .
INV:	and what's going to happen next ?
CHI:	they're pulling him and giving [^ ew:taking] [^ elexical] him for
INV:	tell me one more thing about the picture .
CHI:	these lights are flashing .
INV:	what's happening in the picture ?
CHI:	&um the cat needs help .
INV:	what else is happening in this picture ?
CHI:	they're calling him .
CHI:	he's standing and watching him <and> [/?] and see [* m:0ing]
INV:	and what's going to happen next ?
CHI:	he's falling .
INV:	tell me one more thing about the picture .
CHI:	&uh the branch is falling .
INV:	what's happening in the picture ?
CHI:	they're trying to iceskate in the snow &=laughs .
CHI:	and xxx .
INV:	what else is happening in this picture ?
CHI:	<&uh they're &p> [/?] they're making a snowman .
INV:	and what's going to happen next ?
CHI:	the daddy's shoveling .
CHI:	he's shoveling .
INV:	tell me one more thing about the picture .
CHI:	he's throwing snowballs .
CHI:	he was throwing an oval one .
CHI:	he was throwing a circle [^ ew:round] [^ elexical] one [^ eu] .
CHI:	I'm done [^ ns] .
INV:	what's happening in the picture ?
CHI:	he's toasting some bread .
INV:	what else is happening in this picture ?
CHI:	she's ready to go night_night .
INV:	and what's gonna happen next ?
CHI:	she looks tired .
INV:	tell me one more thing about the picture .
CHI:	&uh she spilled [^ ew:poured] [^ elexical] the milk into something
INV:	what's happening in the picture ?
CHI:	that person and that person and that person 0are [^ ev] crawling
CHI:	she's sitting .
CHI:	the dog will wants [^ ev] to play [^ eu] .
CHI:	but he didn't .
INV:	okay, what else is happening in this picture ?
CHI:	the grandma's sitting in the chair .
INV:	and what's going to happen next ?
INV:	the boy is taking his grandma's scissors .
INV:	what's gonna happen in just a little while ?
CHI:	he's saying ssh .
CHI:	<he> [/?] he's being quiet .
CHI:	he's saying ssh [^ ns] .
CHI:	and <she xxx> [>] xxx +/.
INV:	<tell me> [<] one more thing about the picture .
CHI:	she has different scissors in her hand .
INV:	what's happening in the picture ?
CHI:	they're going in the car .
INV:	what else is happening in this picture ?
