participant	content
CHI:	she get [^ ev] up [^ eu] .
CHI:	tree [^ ns] .
CHI:	back [^ imitation] [^ ns] .
INV:	then hug, good .
INV:	tell me one more thing about the picture .
INV:	okay, good .
INV:	the girl xxx +...
INV:	he is mad, very good job .
CHI:	the picture [^ imitation] [^ ns] .
CHI:	it's messy .
INV:	now I'll start the start the story .
INV:	what'd you say ?
INV:	now I'll start the start the story .
CHI:	grr [^ ns] .
INV:	what ?
INV:	that's right, good job .
INV:	and tell me one more thing about the story .
CHI:	shoes [<] [^ imitation] [^ ns] .
INV:	okay .
CHI:	<that's> [/?] that's xxx +...
INV:	the children are trying to wash the dog .
INV:	the dog and the girl have daddy's shoes <and then> [>] xxx +...
INV:	okay good .
INV:	okay good .
INV:	okay .
CHI:	banana [^ frag] [^ eu] .
INV:	banana eat ?
CHI:	they're looking [^ ns] .
INV:	and tell me one more thing about the story .
INV:	the cake is messy, good job .
INV:	alrighty .
CHI:	then [^ earg] wash the dog [^ eu] .
CHI:	boy [^ ns] .
INV:	what else is happening in the picture ?
CHI:	cooking [^ ns] .
INV:	now I'll start the start the story .
INV:	very good .
CHI:	this [^ ns] .
CHI:	<she 0is [^ ev] holding [^ earg] [^ eu]> [<] .
INV:	the boy the bear ?
CHI:	this [^ ns] .
INV:	just tell something about the picture .
CHI:	then they're pushing [^ earg] [^ eu] .
INV:	the girl hugging ?
INV:	they're blowing ?
CHI:	then [^ earg] give [^ earg] to you [^ eu] .
INV:	and then xxx +...
INV:	actually xxx +...
CHI:	<they trying to bring the &pict> [/?] [^ earg] stop [^ earg] [^ eu]
CHI:	she xxx +...
INV:	the girl, okay good .
INV:	okay, I'll start the start the story and you finish it .
CHI:	<she> [/?] she 0is [^ ev] walking [^ eu] .
INV:	the bus ?
INV:	what the tree ?
CHI:	picture [^ imitation] [^ ns] !
CHI:	he's mad .
INV:	mom ?
INV:	and you finish it .
INV:	mhm .
INV:	he's holding up the donut, right ?
INV:	what did you say ?
INV:	very good .
INV:	that's right, good .
CHI:	picture [x 6] [^ imitation] [^ ns] .
INV:	<okay> [<] good .
CHI:	<yeah> [>], this [^ ns] .
INV:	he's mad, that's right .
INV:	broom, that's right .
CHI:	they blow bubbles [^ ns] .
CHI:	it's picture [x 7] [^ imitation] [^ ns] [^ ns] .
INV:	good job .
CHI:	bag [^ imitation] [^ ns] .
INV:	the children see the cat .
CHI:	xxx [<] .
INV:	what else is happening in the picture ?
CHI:	the doggy [^ frag] [^ eu] .
INV:	the mommy, good job .
INV:	and you finish it .
INV:	what's happening in the picture ?
INV:	what is happening in the picture ?
CHI:	he's mad [^ ns] .
INV:	and then xxx +...
CHI:	catch [^ ns] .
INV:	he's mad ?
INV:	okay, good .
INV:	grr ?
INV:	what did you say ?
INV:	okay, what else is happening in this picture ?
CHI:	they fall down .
INV:	and tell me one more thing about the story .
INV:	good .
CHI:	the boy the bear [^ ns] .
CHI:	bubbles [^ ns] .
CHI:	snow [^ frag] [^ eu] .
INV:	good job with that picture .
CHI:	<then> [/?] then [^ earg] coming [^ eu] .
CHI:	[^ earg] sit down [^ eu] .
INV:	then they're what ?
CHI:	tree cat [^ ns] .
INV:	okay .
INV:	tree ?
INV:	what is the girl doing ?
INV:	and then xxx +...
INV:	tell me something else about the picture .
INV:	she has her hands out like this ?
CHI:	hugging [^ ns] .
CHI:	then they're alright .
CHI:	the daddy [^ ns] .
CHI:	above his head [^ ns] .
INV:	stop ?
CHI:	he's mad too .
CHI:	the picture cry [^ other] [^ eu] .
CHI:	picture [% repeated picture five more times] [^ imitation] [^ ns] .
CHI:	<&th> [/?] the water stop [* m:0ed] [^ ev] [^ eu] .
INV:	and then xxx +...
INV:	catch ?
INV:	alrighty .
INV:	and tell me one more thing about the story .
CHI:	cake [^ imitation] [^ ns] .
INV:	now I'll start the start the story .
CHI:	then (.) [^ earg] catch [^ earg] [^ eu] .
INV:	what else is happening in this picture ?
INV:	and tell me one more thing about the story .
