participant	content
INV	where would you like to sit 
CHI	  
INV	right here 
CHI	  
INV	right here okay 
CHI	  
INV	there's the little red caboose 
INV	look at this Chi 
CHI	  
INV	what is this 
INV	do you see somebody sitting there 
CHI	  
INV	can you tell her hi 
CHI	hi 
INV	 what's that 
CHI	 
INV	the puppy 
INV	what's that 
CHI	a  butterfly 
INV	there's a butterfly 
INV	and a puppy 
CHI	puppy 
INV	what's this 
INV	is it the boy 
CHI	boy 
INV	what's that 
CHI	 
CHI	 
INV	are you looking at the camera 
CHI	 
INV	on my leg [] 
CHI	 [] 
INV	oh 
INV	what is it 
CHI	 
INV	is it an owie 
CHI	owie 
INV	an owie yeah 
INV	let's look at the book 
INV	 what do you see 
CHI	 
INV	the bird 
INV	and there's the little red caboose 
INV	the little red caboose always came 
CHI	last 
INV	last 
INV	 what are those 
CHI	bear 
INV	bear 
INV	let's count them 
INV	one 
CHI	 
INV	two 
CHI	three 
INV	three 
INV	that's right 
INV	where's the 
CHI	butterfly 
INV	butterfly 
INV	one two 
CHI	 
INV	two butterflies 
INV	 look there 
CHI	black 
INV	the big black engine 
INV	first came the big black engine 
CHI	 
INV	puffing and chuffing 
INV	then came the 
CHI	 
INV	box car 
INV	one two 
INV	 what's that 
CHI	bus 
INV	a bus 
INV	what are those 
INV	ponies 
CHI	ponies 
INV	ponies 
INV	let's turn the page 
INV	then the oil cars 
INV	then the coal cars 
INV	 
CHI	 
INV	the lion 
INV	it says 
CHI	grrrroooow 
INV	grroow 
INV	you're right 
INV	let's turn the page 
INV	then the flat cars 
INV	sometimes they were switched around in different ways 
CHI	  
INV	 what is it 
CHI	 
INV	the little red caboose 
INV	but the little red caboose always came 
CHI	last 
INV	last 
INV	what's that 
CHI	 
INV	a bridge 
CHI	 
INV	that's another bridge you're right 
INV	what's this 
CHI	 
INV	it's the barn 
INV	and what are those 
CHI	mooo 
INV	yeah those are cows they say moo 
INV	boys and girls waved at the 
CHI	black 
INV	the big black engine 
INV	they listened to the box cars 
INV	and the oil cars and the coal cars and the flat cars go
INV	  
CHI	bus 
INV	that's a bus 
INV	what's that 
CHI	 
INV	what's that there 
INV	what's that right there 
CHI	 
INV	is it a boy and a bike 
CHI	bike 
INV	but by the time the little red caboose came along the boys and
INV	because the little red caboose always came 
CHI	last 
INV	last 
INV	oh smoke said the little red caboose 
INV	I wish I were a flat car or a coal car or an oil car or a 
CHI	box 
INV	box car 
INV	so boys and girls would wave at me 
INV	how I wish I were a 
CHI	black 
INV	a big black engine 
INV	puffing and chuffing way up at the front of the train 
INV	but I'm just an old little red caboose 
INV	nobody cares for 
CHI	me 
INV	me 
INV	one day the train started 
CHI	up 
INV	up 
CHI	 
INV	up a mountain 
INV	up went the big black engine 
INV	up went the box cars up went the oil cars up went the coal cars up
INV	and up went the little red 
CHI	 
INV	caboose 
INV	 there's the bears again 
CHI	bear 
INV	the bears 
INV	what are those 
CHI	  
INV	can you say goat 
CHI	 
INV	they say baa 
CHI	baa 
INV	hang on tight little caboose called the flat car 
INV	this is a long tall mountain 
INV	and you are the last car on the train 
INV	don't I know it sighed the little red caboose 
INV	poor 
CHI	me 
INV	poor me 
INV	the train went slower and slower and slower 
INV	soon it was hardly moving 
INV	it looked as_if that train could not get 
CHI	up a   
INV	up the mountain 
INV	look out little caboose called the flat car 
INV	the train is starting to slip back down this long tall mountain 
INV	not if I can help it said the little red caboose 
INV	and he slammed on his brakes 
CHI	errrrrr 
INV	errrrr 
INV	and he held tight to the tracks 
INV	and he kept that train from sliding down the mountain 
INV	  
CHI	black 
INV	there's two aren't there 
INV	two big black engines 
INV	then 
CHI	bump 
INV	bump 
INV	the little red caboose felt something 
CHI	 
INV	push him from behind 
INV	it was two big 
CHI	black 
INV	black engines 
INV	they pushed the train up to the top of the mountain 
INV	 what's this 
CHI	 
INV	the smoke 
INV	we couldn't have done it said the big black engines if it had not
INV	everyone cheered 
CHI	yay 
INV	yay 
INV	and the little red caboose nearly burst with pride 
INV	now children wave at the big black engine and all the cars 
INV	what do you see 
CHI	bus and bus 
INV	two buses 
INV	one two 
INV	what else 
INV	what else do you see 
CHI	airplane 
INV	an airplane 
INV	what else 
INV	what are those 
INV	what are these Chi 
INV	right here 
INV	bikes 
CHI	bikes 
INV	those are bikes 
INV	and there's the ponies 
CHI	ponies 
INV	but they save their biggest waves for the little red caboose 
INV	because the little red caboose saved the train 
INV	the end 
CHI	a  end 
INV	beep beep 
INV	is your car going home 
CHI	 
INV	my car's going home now 
INV	she's tired 
INV	she wants to go to sleep 
INV	driving home 
INV	now she's going to bed 
INV	should I give her a kiss 
CHI	kiss 
INV	oh you gave her a kiss 
INV	put her to sleep 
CHI	 
INV	say good night 
CHI	good night 
CHI	 
INV	you rang the doorbell 
INV	she's going to open the door 
INV	hello 
INV	how are you today 
INV	can you say hi 
CHI	hi 
INV	would you like to come in and eat supper 
CHI	yes 
INV	yes 
INV	come right in 
CHI	 
INV	you needta bring him to the table Chi 
CHI	 
INV	bring him to the table 
INV	let him sit down 
INV	they're going to eat supper 
CHI	 
INV	is she going to eat supper too 
CHI	 
INV	come in come in 
CHI	move 
INV	I told him to move 
CHI	 
INV	come in 
INV	would you like to eat 
CHI	  
CHI	help me 
INV	help you 
CHI	help  
INV	okay 
INV	she's in now 
INV	you come on this side 
CHI	 
INV	they needta sit at the table and eat 
CHI	eat  
CHI	  
INV	oh are they coming to the door too 
INV	we needta close the door 
INV	so they can ring the doorbell 
INV	he needs to sit at the table 
INV	he's hungry 
CHI	 
INV	where are they going 
CHI	 
INV	are they going to school 
CHI	yes 
INV	Chi tell Jonathan hi 
CHI	bye 
INV	hi not bye 
CHI	bye 
INV	there you are 
INV	are they going to park here 
CHI	park 
INV	there you go 
INV	oops  uhoh 
CHI	uhoh 
INV	what happened 
CHI	 bump 
INV	we bumped 
INV	you're right 
CHI	  
INV	are they coming home to eat 
CHI	eat  
CHI	  
CHI	  
CHI	  
INV	are they going to ring the doorbell 
CHI	  
CHI	 
INV	ding 
INV	she's coming to the door 
INV	wait 
INV	she needs to open it 
INV	hi 
CHI	hi 
CHI	help me 
INV	help you 
INV	I'll put h 
CHI	help me 
INV	okay 
INV	right there 
INV	come inside and eat supper with us 
INV	is he going to eat supper or is she  is he going to eat
CHI	yes 
INV	yes 
INV	okay 
INV	he's coming to the table 
CHI	help me 
INV	it's  well okay 
INV	it's in 
CHI	 
INV	do they come into the door 
CHI	help me 
INV	okay 
INV	I'll help 
INV	oh 
INV	here she is 
INV	ring the doorbell 
CHI	 
INV	ding 
INV	open the door 
INV	come in and have supper 
CHI	help me 
INV	okay 
INV	should she sit at the table 
CHI	yes 
INV	in this chair 
CHI	yes 
INV	yes 
INV	right there 
INV	 look how many people are at the table 
CHI	 
INV	they need some food 
INV	let's pretend we're putting food on the table 
INV	there's their food 
INV	can you make them eat it 
INV	  
INV	they're eating their food 
INV	what are they eating 
INV	are they eating gold fish 
CHI	goldfish 
INV	goldfish 
INV	okay 
INV	she woke up 
